,TPBGL (100507050)
ACH-000004,-0.17256334876454638
ACH-000005,-0.5585355979584364
ACH-000007,-0.0495020260177406
ACH-000009,-0.3200999307594659
ACH-000011,-0.4521234987029178
ACH-000012,-0.2651902044792472
ACH-000013,-0.23269350648860426
ACH-000014,-0.25391194065239264
ACH-000015,-0.2533372576976354
ACH-000017,-0.2459050785491756
ACH-000018,-0.08702761420863146
ACH-000019,-0.3347882875836957
ACH-000021,-0.2882045182550719
ACH-000022,-0.19296349350510075
ACH-000025,-0.18788930061894546
ACH-000028,-0.3850825184706037
ACH-000030,-0.3063586768806724
ACH-000035,-0.0826042118199572
ACH-000036,-0.39384189458096536
ACH-000037,-0.20691356599805516
ACH-000039,-0.3009000290556903
ACH-000040,-0.27366489547081035
ACH-000041,-0.2158335465334816
ACH-000042,-0.3218830778607913
ACH-000045,-0.3095961102401621
ACH-000047,-0.2396196278079687
ACH-000052,-0.4100707278460175
ACH-000053,-0.20696239587419696
ACH-000054,-0.1548683562966838
ACH-000055,-0.29424006277587417
ACH-000060,-0.19044934800986765
ACH-000067,-0.16580147507132892
ACH-000070,-0.2433248670445441
ACH-000075,-0.2676368226591729
ACH-000078,-0.15237367328432966
ACH-000082,-0.3256452228267885
ACH-000085,-0.2418327491118095
ACH-000086,-0.30070546319411984
ACH-000087,-0.4057161487507333
ACH-000092,-0.2264043084556435
ACH-000095,-0.23704176169213345
ACH-000097,-0.3285594610759585
ACH-000098,-0.14399598759506124
ACH-000099,-0.18932838865054089
ACH-000108,-0.3077409356730313
ACH-000113,-0.17577103373174646
ACH-000116,-0.38673422357908543
ACH-000118,-0.4313116565310882
ACH-000120,-0.4103426334662321
ACH-000123,-0.061660668483721086
ACH-000127,-0.22156498106714295
ACH-000128,-0.2576180493714722
ACH-000132,-0.43815894240571307
ACH-000133,-0.2230558016538708
ACH-000137,-0.1189515657738348
ACH-000138,-0.28654523929911185
ACH-000142,-0.1845859588010212
ACH-000143,-0.4158647469117026
ACH-000146,-0.2643409408867193
ACH-000148,-0.14306130058958794
ACH-000150,-0.08235694213552157
ACH-000152,-0.16605300611148333
ACH-000153,-0.3212753565104303
ACH-000159,-0.2124417102551421
ACH-000160,-0.24988848215726614
ACH-000163,-0.17348342745019985
ACH-000167,-0.3116530526114989
ACH-000168,-0.11240536338302323
