,RIMKLA (284716)
ACH-000004,-0.10908710193691401
ACH-000005,-0.2670644523858943
ACH-000007,-0.03975505958934241
ACH-000009,-0.27847322960442056
ACH-000011,-0.13907947944522964
ACH-000012,-0.11628205220006872
ACH-000013,-0.1849462608070956
ACH-000014,-0.25122789726070704
ACH-000015,-0.18203576886747705
ACH-000017,-0.10286833292022662
ACH-000018,-0.10723726932884158
ACH-000019,-0.10734640813872304
ACH-000021,0.002815428329579445
ACH-000022,-0.05060658594744621
ACH-000025,-0.09674397880416707
ACH-000028,-0.1695490497790338
ACH-000030,-0.09310689938856724
ACH-000035,-0.3909141737290642
ACH-000036,-0.10234991301291743
ACH-000037,-0.006646962503984
ACH-000039,-0.16346640244736138
ACH-000040,-0.10435584769862613
ACH-000041,-0.21028625161294248
ACH-000042,-0.0826224747848234
ACH-000045,-0.11833121284217975
ACH-000047,-0.0551742402105606
ACH-000052,-0.1694713905160644
ACH-000053,-0.18721481704617746
ACH-000054,-0.04772220465843777
ACH-000055,-0.14091120044065178
ACH-000060,-0.2706104984095337
ACH-000067,-0.23012353138232536
ACH-000070,-0.06051216927948426
ACH-000075,-0.38543590499019104
ACH-000078,-0.1820819240720921
ACH-000082,-0.061953842906576226
ACH-000085,-0.2430901890181222
ACH-000086,-0.18821503346993088
ACH-000087,-0.10116495245936323
ACH-000092,-0.2836412713853383
ACH-000095,-0.0037310224972096546
ACH-000097,-0.14738185726855513
ACH-000098,-0.11466112310606773
ACH-000099,-0.13760058194567362
ACH-000108,-0.14654334324296625
ACH-000113,-0.03877630771645327
ACH-000116,-0.18870784275025093
ACH-000118,-0.15618840866670444
ACH-000120,-0.11076745892131996
ACH-000123,-0.18244481462137893
ACH-000127,-0.11712390926809405
ACH-000128,-0.035897260704469275
ACH-000132,-0.12353034279766678
ACH-000133,-0.1279610915208266
ACH-000137,-0.4818974872596978
ACH-000138,-0.04996014342633276
ACH-000142,-0.19481889179390235
ACH-000143,-0.20348078152103188
ACH-000146,-0.3993420499420975
ACH-000148,-0.07919903654625861
ACH-000150,-0.3708509526566687
ACH-000152,-0.2284998683651108
ACH-000153,-0.23616746778447545
ACH-000159,-0.0999116741543683
ACH-000160,-0.1736100137932926
ACH-000163,-0.21530693824661915
ACH-000167,-0.1433640645510222
ACH-000168,-0.18853592934001895
ACH-000169,-0.15057256927229642
ACH-000178,-0.12919333087160484
ACH-000183,-0.24388261968821884
ACH-000188,-0.12618654401029114
ACH-000189,-0.05245023395641251
ACH-000190,-0.2653688319098417
ACH-000198,-0.08862944855634126
ACH-000203,0.08414076417311718
ACH-000204,-0.2083894842432551
ACH-000206,-0.2875855072653407
ACH-000207,-0.10172472717403518
ACH-000208,-0.27416578635880434
ACH-000210,-0.33077318673708783
ACH-000211,-0.10831034335638977
ACH-000215,-0.11300159310169355
ACH-000221,-0.2607573384881583
ACH-000222,-0.08487675788231777
ACH-000223,-0.16942157733388027
ACH-000226,-0.10330881529721993
ACH-000227,-0.2836524739953756
ACH-000228,-0.2620282154187999
ACH-000231,-0.0980413676122544
ACH-000232,-0.14557121058367622
ACH-000233,-0.045057795122720914
ACH-000234,-0.15995924983812349
ACH-000235,-0.1158724586829638
ACH-000237,-0.032560469200812486
ACH-000238,-0.2820230730031552
ACH-000242,-0.3406569262021331
ACH-000243,-0.07366102572672978
ACH-000244,-0.15343998939540482
ACH-000246,-0.15806098716894826
ACH-000248,-0.09442777898714708
ACH-000250,-0.1295765801818084
ACH-000251,0.03464434951274871
ACH-000252,-0.17492057805235894
ACH-000253,-0.16039263616544486
ACH-000255,-0.18537445472906805
ACH-000256,-0.18470334290092807
ACH-000257,-0.21026417178781506
ACH-000258,-0.0004772362720765182
ACH-000259,-0.08035443183491807
ACH-000260,-0.3142310624794976
ACH-000261,-0.1874032754058019
ACH-000262,-0.15965560740505266
ACH-000263,-0.16584151538205616
ACH-000264,-0.07316084100856192
ACH-000265,-0.23745038093849474
ACH-000266,-0.03513121442652723
ACH-000272,-0.2190635277738442
ACH-000274,-0.1458315999374935
ACH-000277,-0.20095109420135715
ACH-000278,-0.17676076537079705
ACH-000279,-0.21521722873146826
ACH-000280,-0.20177352991607989
ACH-000281,0.046412653885589385
ACH-000288,-0.1445909457651212
ACH-000291,-0.0628892871754114
ACH-000293,-0.12482235724109668
ACH-000294,-0.1694932865524688
ACH-000295,0.08611208509626668
ACH-000296,-0.2229293554804286
ACH-000302,-0.209436312053198
ACH-000304,0.02309451234134884
ACH-000307,-0.15057100777445184
ACH-000308,-0.11101344651554164
ACH-000310,-0.3032695004798388
ACH-000311,0.03995131253401005
ACH-000312,-0.2432022787325936
ACH-000315,0.03065874943260807
ACH-000316,0.04304386995032382
ACH-000317,-0.14115963722045508
ACH-000318,-0.18444452372618705
ACH-000319,-0.0774936325714169
ACH-000320,-0.06442517385583901
ACH-000322,-0.0173228823673132
ACH-000323,-0.3678000252738978
ACH-000324,-0.2365652635978112
ACH-000329,-0.09550426034155236
ACH-000330,-0.04777456277727379
ACH-000331,-0.14781988542884836
ACH-000332,-0.12106167066391067
ACH-000334,-0.2962040907521643
ACH-000335,-0.12356918374811078
ACH-000336,-0.31752526663690045
ACH-000337,-0.18553973700655574
ACH-000338,0.05156758954191183
ACH-000339,-0.09428941877644716
ACH-000341,-0.10226526413711544
ACH-000348,-0.15093859984126778
ACH-000350,-0.1164060422203914
ACH-000352,-0.20721522900492206
ACH-000356,-0.2460995335937071
ACH-000361,-0.2334153859490098
ACH-000362,-0.03348563051830463
ACH-000363,-0.05060638458296636
ACH-000364,-0.43919511029710745
ACH-000365,-0.1897409639244704
ACH-000366,-0.16902573111881503
ACH-000368,-0.1201208820130804
ACH-000374,-0.1230789111373495
ACH-000375,-0.13923659145118766
ACH-000376,-0.2861320156992284
ACH-000381,-0.09879439539699876
ACH-000383,-0.10574870294930933
ACH-000387,-0.11363221022878035
ACH-000389,-0.3614736967577661
ACH-000390,-0.2792863968417511
ACH-000393,-0.0905032782501069
ACH-000395,0.062101168397198515
ACH-000396,-0.31538037535249863
ACH-000397,-0.04037467077093873
ACH-000401,-0.3262635365744723
ACH-000402,-0.044177368902792204
ACH-000403,-0.09792665023219442
