,LIN7C (55327)
ACH-000004,-0.24587538226581446
ACH-000005,0.031739541184250125
ACH-000007,-0.1766444804562881
ACH-000009,-0.06102479734517272
ACH-000011,-0.1974636004275068
ACH-000012,-0.016215367430460682
ACH-000013,-0.2425940813628367
ACH-000014,-0.09949757078728214
ACH-000015,-0.17639446342450724
ACH-000017,-0.567901050677095
ACH-000018,-0.2454329772273657
ACH-000019,-0.4141547937267336
ACH-000021,-0.251042419969426
ACH-000022,-0.2385188465418681
ACH-000025,-0.3164042891831996
ACH-000028,-0.15831044946058498
ACH-000030,-0.5029720793028865
ACH-000035,-0.2776723010387843
ACH-000036,-0.3694875728297272
ACH-000037,-0.15206219981714486
ACH-000039,-0.3363472683217204
ACH-000040,-0.21079668310130276
ACH-000041,-0.12577609523074051
ACH-000042,-0.35573438543435976
ACH-000045,-0.3226049222114296
ACH-000047,-0.18362535860116055
ACH-000052,-0.18695588788577466
ACH-000053,-0.25258030511730817
ACH-000054,-0.17001912051268528
ACH-000055,-0.1292530325462089
ACH-000060,-0.27934023291146337
ACH-000067,-0.2130878696585605
ACH-000070,-0.2414087722890853
ACH-000075,0.09927346384903676
ACH-000078,-0.08494790704898073
ACH-000082,-0.03645255364670332
ACH-000085,0.06359232214563684
ACH-000086,-0.28640046112809603
ACH-000087,-0.3564116971776328
ACH-000092,-0.2450366631579473
ACH-000095,-0.20305721389429854
ACH-000097,-0.14631968695786254
ACH-000098,-0.26254408917052713
ACH-000099,-0.1979290409957073
ACH-000108,-0.20541082230583166
ACH-000113,-0.18743289357285828
ACH-000116,-0.27798614199897964
ACH-000118,-0.16339514378771774
ACH-000120,-0.18972583188644385
ACH-000123,-0.32735885969339906
ACH-000127,-0.24832052282021666
ACH-000128,-0.11997901920552308
ACH-000132,-0.3456774207675469
ACH-000133,-0.3470804255885643
ACH-000137,-0.1982934258392392
ACH-000138,-0.25216673723267996
ACH-000142,-0.2491156010001547
ACH-000143,-0.17412486127491614
ACH-000146,-0.11492141973791264
ACH-000148,-0.37546386356272377
ACH-000150,-0.10145253555024428
ACH-000152,-0.11238605989093313
ACH-000153,-0.2629912901657379
ACH-000159,-0.12935901542089584
ACH-000160,-0.2081265965338475
ACH-000163,-0.2388743113664598
ACH-000167,-0.3871664946917818
ACH-000168,-0.06549145082528382
ACH-000169,-0.18748112738886516
ACH-000178,-0.21333334119081726
ACH-000183,-0.15123756744816394
ACH-000188,-0.2353464834313829
ACH-000189,-0.08409120759973844
ACH-000190,-0.25855377056212425
ACH-000198,-0.13515013467936882
ACH-000203,-0.7375746694722439
ACH-000204,-0.3716695744166864
ACH-000206,-0.2647435791808921
ACH-000207,-0.1242526226480968
ACH-000208,-0.4432947501153641
ACH-000210,-0.1927641319649937
ACH-000211,-0.21108938242004624
ACH-000215,-0.20119543617549807
ACH-000221,-0.338137850016738
ACH-000222,-0.08135344519292115
ACH-000223,-0.1569602592929349
ACH-000226,-0.2386158289274368
ACH-000227,-0.11904997459057495
ACH-000228,-0.12175966262911565
ACH-000231,-0.17326574197900374
ACH-000232,-0.4874206420023143
ACH-000233,-0.2767183575825062
ACH-000234,-0.14995595482152738
ACH-000235,-0.2337719136908603
ACH-000237,-0.21906031298434786
ACH-000238,-0.14825902419136333
ACH-000242,-0.2519482586652313
ACH-000243,-0.07222540109843663
ACH-000244,-0.3680994982810088
ACH-000246,-0.24632330867860744
ACH-000248,-0.2310169973333404
ACH-000250,-0.22156618383573987
ACH-000251,-0.3159595427167017
ACH-000252,-0.09102275141256604
ACH-000253,-0.010690243260753084
ACH-000255,-0.100838459234524
ACH-000256,-0.4131613491711289
ACH-000257,-0.22613456986778485
ACH-000258,-0.2024591612827179
ACH-000259,-0.11990007118813502
ACH-000260,-0.1858272274032908
ACH-000261,-0.16135516327757365
ACH-000262,-0.08189496582824167
ACH-000263,-0.3643293142789558
ACH-000264,-0.1511376135313975
ACH-000265,-0.16962162424171506
ACH-000266,-0.07716830242247014
ACH-000272,-0.4564351108988195
ACH-000274,-0.32098484143748346
ACH-000277,-0.24578289305505724
ACH-000278,-0.2443085946822708
ACH-000279,-0.12288523183631217
ACH-000280,-0.14470233340666033
ACH-000281,-0.22185145526838465
ACH-000288,-0.19904470910258806
ACH-000291,0.14006003962600927
ACH-000293,-0.21838045177000728
ACH-000294,-0.18351629871907232
ACH-000295,-0.09318353885729322
ACH-000296,-0.13657182416754696
ACH-000302,-0.20255551564741855
ACH-000304,0.04276827858817772
ACH-000307,-0.30088983114188395
ACH-000308,-0.3529121969871371
ACH-000310,-0.2791523839881885
ACH-000311,-0.08560592486439926
ACH-000312,-0.13460744439695274
ACH-000315,-0.062068791613755
ACH-000316,-0.2092724759644582
ACH-000317,-0.18910059519042266
ACH-000318,-0.3472311168485645
ACH-000319,-0.4547696388000225
ACH-000320,-0.24124299440001046
ACH-000322,-0.38172420958908404
ACH-000323,-0.35857663957864444
ACH-000324,-0.2310639928967641
ACH-000329,-0.1758739288393064
ACH-000330,-0.14400809439103845
ACH-000331,-0.3750521699664674
ACH-000332,-0.14292663020931085
ACH-000334,-0.10909178182319684
ACH-000335,-0.4212157302526745
ACH-000336,-0.02368982724486916
ACH-000337,-0.3707779800003949
ACH-000338,-0.07479921254893672
ACH-000339,-0.3674694756108608
ACH-000341,-0.2707842044273167
ACH-000348,-0.3625879609680616
ACH-000350,-0.17552944415253668
ACH-000352,-0.14855718445345584
ACH-000356,-0.34149334799794306
ACH-000361,-0.13889134593703978
ACH-000362,-0.13920668537787045
ACH-000363,-0.2076650536087178
ACH-000364,-0.29201029418878816
ACH-000365,-0.14668727684594876
ACH-000366,-0.115885793596092
ACH-000368,-0.20376066416006994
ACH-000374,-0.30861991018997903
ACH-000375,-0.1386983669062421
ACH-000376,-0.14142535284932284
ACH-000381,-0.34519526620472674
ACH-000383,-0.1950384538728029
ACH-000387,-0.0764438558074398
ACH-000389,-0.17007503329331394
ACH-000390,-0.3177968774984001
ACH-000393,-0.23280519416203496
ACH-000395,-0.29421930332442314
ACH-000396,-0.4046493622371448
ACH-000397,-0.4729992342643034
ACH-000401,0.010967717739326036
ACH-000402,-0.06668343879314505
ACH-000403,-0.30256717211523904
ACH-000404,-0.3998758148510165
ACH-000406,-0.21982454484200775
ACH-000407,-0.5194279831330467
ACH-000408,-0.3808672515443819
ACH-000410,-0.2601093664692143
ACH-000411,-0.4546722792614391
ACH-000414,-0.23264709895860164
ACH-000415,-0.4807154941779794
ACH-000416,-0.3540639906756864
ACH-000420,-0.20674667709653008
ACH-000421,-0.3927961541818713
ACH-000424,-0.05009225755523037
ACH-000425,-0.2779436304614592
ACH-000426,-0.24928095604147754
ACH-000427,-0.3446396416130058
ACH-000433,-0.4009281488345957
ACH-000435,-0.3871750818869166
ACH-000436,-0.08746519888803328
ACH-000444,-0.1334951664956483
ACH-000445,-0.09348801100745123
ACH-000448,-0.2385387534920475
ACH-000450,-0.548473552078196
ACH-000452,-0.1214703762610989
ACH-000454,-0.16767412917503186
ACH-000458,-0.2598458750095511
ACH-000459,-0.1701971410310702
ACH-000460,-0.23049037500000716
ACH-000461,-0.19176904923103671
ACH-000463,-0.2464154397376312
ACH-000464,-0.276736574500247
ACH-000466,-0.04010606432942977
ACH-000467,-0.3214665661045453
ACH-000468,-0.18902779877233114
ACH-000469,-0.32573076444805577
ACH-000470,-0.1345388947000958
ACH-000471,-0.3612591041237979
ACH-000472,-0.2511014179206809
ACH-000473,-0.32234657380643994
ACH-000475,-0.22200884400454407
ACH-000476,-0.11399520167216015
ACH-000477,-0.04381477290615796
ACH-000479,-0.27029275806152425
ACH-000480,-0.5970206055369064
ACH-000481,-0.14371535973941635
ACH-000483,-0.4675130161016354
ACH-000484,-0.2822692735323116
ACH-000485,-0.09669322993070108
ACH-000486,-0.4280367232244392
ACH-000487,-0.08737954927860853
ACH-000488,-0.10658691044379688
ACH-000490,-0.2481879548371271
ACH-000491,-0.3623995739762828
ACH-000495,-0.19909520451264928
ACH-000496,-0.25740247756797385
ACH-000499,-0.4386804109194244
ACH-000500,-0.23023383217745225
ACH-000502,-0.42872538316742
ACH-000503,-0.004633960871841181
ACH-000505,-0.13575882338271034
ACH-000507,-0.1628588798077203
ACH-000510,-0.301607697458694
ACH-000511,-0.1753335712338094
ACH-000512,-0.44611869656450703
ACH-000516,-0.22792731457005136
ACH-000517,-0.2773769985729043
ACH-000518,-0.3771396226975037
ACH-000520,-0.27510339847050314
ACH-000521,-0.14723858139925766
ACH-000522,-0.29101725897134634
ACH-000524,-0.2921636319735877
ACH-000527,-0.2365616545409177
ACH-000528,-0.3954643309216289
ACH-000537,-0.5120049821372089
ACH-000541,-0.3886960437418176
ACH-000542,-0.2586606832493807
ACH-000544,-0.2782963962157816
ACH-000545,-0.2727749753835848
ACH-000547,-0.7007193014331278
ACH-000548,-0.03473050821128066
ACH-000549,-0.2725527510648761
ACH-000550,-0.16005999559754974
ACH-000552,-0.15055385643907934
ACH-000556,-0.3354452694792411
ACH-000557,-0.02742108591831369
ACH-000569,-0.1481766508906404
ACH-000570,-0.2519455742078372
ACH-000571,-0.25506261364061666
ACH-000573,-0.2082095199863567
ACH-000576,-0.15881939839356246
ACH-000579,-0.2618268021557377
ACH-000580,-0.28924724632851795
ACH-000584,-0.1345160257436449
ACH-000585,-0.3541466747715674
ACH-000588,-0.20817064416577294
ACH-000589,-0.28442380424837355
ACH-000591,-0.20864249886562172
ACH-000593,-0.32047095936255776
ACH-000600,-0.40206013327526
ACH-000601,-0.2080227678639434
ACH-000605,-0.14602276844522652
ACH-000606,-0.15320550118684434
ACH-000608,-0.20046707346862008
ACH-000614,-0.14746295479064794
ACH-000616,-0.2810294861397588
ACH-000618,-0.12415406338358112
ACH-000619,-0.1967393750485913
ACH-000620,-0.21561140185150687
ACH-000621,-0.30718614599174626
ACH-000622,-0.029363337591214206
ACH-000623,-0.2123567870652276
ACH-000624,-0.2763762821232371
ACH-000627,-0.24939537400887304
ACH-000630,-0.2358149226618892
ACH-000631,-0.041859338547207706
ACH-000632,-0.3444174544235548
ACH-000633,-0.29405167155048995
ACH-000637,0.12499577663254695
ACH-000638,-0.18124304208639727
ACH-000646,-0.09035275255238202
ACH-000647,-0.22237554291257824
ACH-000648,-0.2331844689606933
ACH-000649,-0.10028008706876464
ACH-000651,-0.07516831986292004
ACH-000652,-0.3289691167697917
ACH-000653,-0.1278160740721189
ACH-000657,-0.2398053617921672
ACH-000658,-0.1542393978458199
ACH-000661,-0.2815765082560477
ACH-000662,-0.10756833471189364
ACH-000663,-0.32900594170712805
ACH-000665,-0.2259565291037202
ACH-000671,-0.2437103098940933
ACH-000672,-0.6308932397898678
ACH-000673,-0.32629789464744485
ACH-000676,-0.09000701587838439
ACH-000677,-0.07075095290249568
ACH-000681,-0.2378838599522228
ACH-000683,-0.1287818211113456
ACH-000684,-0.4303074140778109
ACH-000688,-0.2476935960866968
ACH-000693,-0.1361054465896913
ACH-000694,-0.18971670095657936
ACH-000695,-0.094303457834634
ACH-000696,-0.20808541920106755
ACH-000697,-0.10201061140728904
ACH-000699,-0.2735394491912787
ACH-000701,-0.15014093844751206
ACH-000706,-0.1166050232539359
ACH-000711,-0.4634674870613077
ACH-000713,-0.4871341163208667
