,UNC45A (55898)
ACH-000004,-0.4574662235597242
ACH-000005,-0.4430057289978518
ACH-000007,-0.4630458468727702
ACH-000009,-0.7383196452100942
ACH-000011,-0.4338590556875479
ACH-000012,-0.4377602467094025
ACH-000013,-0.6043914102618221
ACH-000014,-0.5256845549668634
ACH-000015,-0.35469281155926946
ACH-000017,-0.5506270577199043
ACH-000018,-0.3615692472186453
ACH-000019,-0.27119772376655404
ACH-000021,-0.3054663371578755
ACH-000022,-0.4878419082944476
ACH-000025,-0.6593346641308683
ACH-000028,-0.3463733797675302
ACH-000030,-0.7674920365547728
ACH-000035,-0.2429962366242947
ACH-000036,-0.4395633147826435
ACH-000037,-0.4085923270797912
ACH-000039,-0.3039714193342463
ACH-000040,-0.40877651981957225
ACH-000041,-0.3629554187687933
ACH-000042,-0.31617033246441884
ACH-000045,-0.542669699614584
ACH-000047,-0.2584140150711014
ACH-000052,-0.8019015497966209
ACH-000053,-0.324440105186134
ACH-000054,-0.2456905442260466
ACH-000055,-0.5237023799231704
ACH-000060,-0.6750165610669973
ACH-000067,-0.4664915902591755
ACH-000070,-0.5286420844618662
ACH-000075,-0.021256364695375108
ACH-000078,-0.33514276495438755
ACH-000082,-0.1418210032823321
ACH-000085,-0.5127267303259521
ACH-000086,-0.41195340012732734
ACH-000087,-0.6931654079488037
ACH-000092,-0.30378642661567185
ACH-000095,-0.3717588474472501
ACH-000097,-0.4302116061075116
ACH-000098,-0.3908090648108841
ACH-000099,-0.304071634329615
ACH-000108,-0.3678600450086063
ACH-000113,-0.3299970875586395
ACH-000116,-0.6340447672231014
ACH-000118,-0.548268668479027
ACH-000120,-0.3371194368211253
ACH-000123,-0.4051625160021512
ACH-000127,-0.3701630908128424
ACH-000128,-0.4497880237506437
ACH-000132,-0.3801966317372649
ACH-000133,-0.5369207116087804
ACH-000137,-0.28646927528987604
ACH-000138,-0.4532989320468728
ACH-000142,-0.5836819871320429
ACH-000143,-0.570622302506598
ACH-000146,-0.1954993251684088
ACH-000148,-0.41242040208046377
ACH-000150,-0.6673107254277942
ACH-000152,-0.5021759903477696
ACH-000153,-0.3380057942435638
ACH-000159,-0.2347569349613997
ACH-000160,-0.24200516378657436
ACH-000163,-0.5191132106355922
ACH-000167,-0.1886531197236438
ACH-000168,-0.5683536145219009
ACH-000169,-0.407066879560556
ACH-000178,-0.5203681297214545
ACH-000183,-0.5655134412351019
ACH-000188,-0.4533163462235176
ACH-000189,-0.3982425857470652
ACH-000190,-0.4851504542593685
ACH-000198,-0.2867040293748476
ACH-000203,-0.04972010962591585
ACH-000204,-0.3618201536708379
ACH-000206,-0.3013759532146293
ACH-000207,-0.4497516666295099
ACH-000208,-0.5275443296695199
ACH-000210,-0.2413589147366385
ACH-000211,-0.3686799738755726
ACH-000215,-0.4016327952277112
ACH-000221,-0.4191262555777373
ACH-000222,-0.27808394503751643
ACH-000223,-0.4183790553266276
ACH-000226,-0.4739014902890004
ACH-000227,-0.5155363603193607
ACH-000228,-0.5795646623905589
ACH-000231,-0.6388094446130417
ACH-000232,-0.395055795996892
ACH-000233,-0.6265861050491439
ACH-000234,-0.3952209922919185
ACH-000235,-0.4323957278538975
ACH-000237,-0.3386579507759991
ACH-000238,-0.5234147885481962
ACH-000242,-0.6886384981778613
ACH-000243,-0.6291890320789977
ACH-000244,-0.3857848081966832
ACH-000246,-0.2177287748119463
ACH-000248,-0.6514937930696711
ACH-000250,-0.30155520086913384
ACH-000251,-0.1366260670159125
ACH-000252,-0.4209219861577491
ACH-000253,-0.2445128841103799
ACH-000255,-0.6858286198583233
ACH-000256,-0.39139127570646026
ACH-000257,-0.7880140733562051
ACH-000258,-0.5555770741025982
ACH-000259,-0.5786389186183081
ACH-000260,-0.6140780232451039
ACH-000261,-0.6008677876158065
ACH-000262,-0.4107736734325828
ACH-000263,-0.5763962831845175
ACH-000264,-0.15931646666083196
ACH-000265,-0.6142378827785586
ACH-000266,-0.3562893482912054
ACH-000272,-0.28184817242252896
ACH-000274,-0.3078869464333207
ACH-000277,-0.3164856139799221
ACH-000278,-0.3289199777259291
ACH-000279,-0.4123643292514557
ACH-000280,-0.2128175704076399
ACH-000281,-0.4561997844267602
ACH-000288,-0.6058663719994828
ACH-000291,-0.5717331854802438
ACH-000293,-0.34260671987583946
ACH-000294,-0.6145879512427457
ACH-000295,-0.22276387031251435
ACH-000296,-0.2620674082316303
ACH-000302,-0.2846294126005487
ACH-000304,-0.5771516141906807
ACH-000307,-0.5770571936953874
ACH-000308,-0.3398504407458323
ACH-000310,-0.3924936367977785
ACH-000311,-0.3689036994454757
ACH-000312,-0.6616249854756767
ACH-000315,-0.5442839040631374
ACH-000316,-0.43419744081929856
ACH-000317,-0.49774417403002397
ACH-000318,-0.14047189369941454
ACH-000319,-0.6595851936382487
ACH-000320,-0.7260478953319341
ACH-000322,-0.3078845023020655
ACH-000323,-0.3043527648676813
ACH-000324,-0.3624915443590499
ACH-000329,-0.3726833978423519
ACH-000330,-0.4909094138497759
ACH-000331,-0.3802571293692142
ACH-000332,-0.3890115491894904
ACH-000334,-0.23889781220432596
ACH-000335,-0.1794886062105329
ACH-000336,-0.1872049838195428
ACH-000337,-0.20794457959199847
ACH-000338,-0.8139068847339074
ACH-000339,-0.23620552380147025
ACH-000341,-0.3535446077645774
ACH-000348,-0.5291306392129251
ACH-000350,-0.5239872424255867
ACH-000352,-0.13903540530192948
ACH-000356,-0.3541899029943439
ACH-000361,-0.2857069905141258
ACH-000362,-0.32720003619024024
ACH-000363,-0.2719338176374695
ACH-000364,-0.5799354304394493
ACH-000365,-0.3672781958646573
ACH-000366,-0.4992458749796909
ACH-000368,-0.44771764296294575
ACH-000374,-0.25871941202141485
ACH-000375,-0.5276979760437557
ACH-000376,-0.5447682177972011
ACH-000381,-0.4176521252109585
ACH-000383,-0.4504671280019661
ACH-000387,-0.29958577951182264
ACH-000389,-0.4930866703010936
ACH-000390,-0.33753431560452746
ACH-000393,-0.3283059578040209
ACH-000395,-0.3858792964315835
ACH-000396,-0.5328805559018875
ACH-000397,-0.4301312622239898
ACH-000401,-0.4182221382033233
ACH-000402,-0.5390303929977905
ACH-000403,-0.43125706930400587
ACH-000404,-0.6563745617611253
ACH-000406,-0.2700980144590546
ACH-000407,-0.4726977918908329
ACH-000408,-0.7098516021851832
ACH-000410,-0.7246371982673299
ACH-000411,-0.27053646389705666
ACH-000414,-0.26186387819833484
ACH-000415,-0.6500801058393433
ACH-000416,-0.5453014819475205
ACH-000420,-0.6825881736972599
ACH-000421,-0.2998833805436338
ACH-000424,-0.523354333210237
ACH-000425,-0.3242233469685673
ACH-000426,-0.10036157726359146
ACH-000427,-0.5083840543354471
ACH-000433,-0.4579199606626437
ACH-000435,-0.4074373319118436
ACH-000436,-0.4385427212472805
ACH-000444,-0.3998574507931476
ACH-000445,-0.7231150285888402
ACH-000448,-0.4113751767087809
ACH-000450,-0.3510575297662737
