,APCS (325)
ACH-000004,-0.2324141678987423
ACH-000005,-0.009755364379359508
ACH-000007,-0.25573752971615743
ACH-000009,-0.2236022891693933
ACH-000011,0.025763248218568263
ACH-000012,-0.11020993793740663
ACH-000013,-0.10529629196954696
ACH-000014,-0.04368959418278967
ACH-000015,-0.07581799189475147
ACH-000017,-0.06984379400727751
ACH-000018,-0.2606537399561291
ACH-000019,-0.1854192437132139
ACH-000021,-0.09664614182644314
ACH-000022,-0.2895839969225819
ACH-000025,-0.12010872315876725
ACH-000028,-0.05302073807954216
ACH-000030,-0.15147298881518415
ACH-000035,-0.1589934700438636
ACH-000036,-0.2163373786319052
ACH-000037,-0.11384493092875668
ACH-000039,-0.20969289070167432
ACH-000040,-0.1867530544247671
ACH-000041,-0.20868556228260293
ACH-000042,-0.13862207693120393
ACH-000045,-0.1143892790663159
ACH-000047,-0.2338507347263741
ACH-000052,-0.2291581498054589
ACH-000053,-0.15204374965448095
ACH-000054,-0.16298139613875626
ACH-000055,-0.046731840225047366
ACH-000060,-0.1425134367052172
ACH-000067,-0.13473324755329846
ACH-000070,-0.08473078366205243
ACH-000075,-0.256749077361436
ACH-000078,-0.15618626559406545
ACH-000082,-0.14350276375370666
ACH-000085,-0.12612840556099678
ACH-000086,-0.19798986897809373
ACH-000087,0.051980198022142265
ACH-000092,-0.264225308839352
ACH-000095,-0.1857308081188081
ACH-000097,-0.08508488239641034
ACH-000098,-0.12793786739755664
ACH-000099,-0.11390692331787115
ACH-000108,-0.10681310173758103
ACH-000113,-0.18669212133189486
ACH-000116,-0.14146322187901206
ACH-000118,-0.0514042405232553
ACH-000120,-0.1596127791957725
ACH-000123,-0.17897707831080603
ACH-000127,-0.18131584084738814
ACH-000128,-0.011655774559658409
ACH-000132,-0.15630803489942474
ACH-000133,-0.15939349022377955
ACH-000137,-0.22267975897061126
ACH-000138,-0.050528294630200664
ACH-000142,0.0779710932837448
ACH-000143,-0.2019395142697245
ACH-000146,-0.15271690142753747
ACH-000148,-0.2170668961310494
ACH-000150,0.033817814713733026
ACH-000152,-0.1055416734101082
ACH-000153,-0.0702798476327654
ACH-000159,-0.15206676650631162
ACH-000160,-0.036761650336298746
ACH-000163,-0.06962490159284992
ACH-000167,-0.004364348759660271
ACH-000168,-0.05516888945422162
ACH-000169,0.013606809892796959
ACH-000178,-0.14363126072706509
ACH-000183,-0.047779861543383435
ACH-000188,-0.047549724902941015
ACH-000189,-0.027676492025272448
ACH-000190,-0.12541130752509205
ACH-000198,-0.17614975654357826
ACH-000203,0.003500215809012721
ACH-000204,-0.3159293752622136
ACH-000206,-0.06304733832589236
ACH-000207,0.044294552022299136
ACH-000208,-0.18158009548509493
ACH-000210,-0.12133152819466897
ACH-000211,-0.19535406719024911
ACH-000215,-0.15997617062851546
ACH-000221,-0.03949721111941881
ACH-000222,-0.0401360898403809
ACH-000223,-0.2350897987797395
ACH-000226,-0.2311924697336474
ACH-000227,-0.19844217648700127
ACH-000228,-0.1244153687249726
ACH-000231,-0.12509656713066064
ACH-000232,-0.1280961106964413
ACH-000233,-0.10013039529880853
ACH-000234,-0.17321979669163667
ACH-000235,-0.13055472495377973
ACH-000237,-0.2330253254100323
ACH-000238,-0.031025269228497156
ACH-000242,-0.04365361904917582
ACH-000243,-0.12443388028559353
