,CLPS (1208)
ACH-000004,-0.327367029542557
ACH-000005,-0.6620574074812084
ACH-000007,-0.38090298692362784
ACH-000009,-0.2440081962160161
ACH-000011,-0.30628260133361845
ACH-000012,-0.3191455410855382
ACH-000013,-0.3864105932490157
ACH-000014,-0.3879930945218921
ACH-000015,-0.3459067151129305
ACH-000017,-0.23838460462588776
ACH-000018,-0.21650309592320052
ACH-000019,-0.5081796936414614
ACH-000021,-0.3957772423965278
ACH-000022,-0.3727788131000626
ACH-000025,-0.32193840991820666
ACH-000028,-0.2748417650162049
ACH-000030,-0.2742697691852077
ACH-000035,-0.2047999850038871
ACH-000036,-0.468545399201561
ACH-000037,-0.3966065163534441
ACH-000039,-0.11206244662139324
ACH-000040,-0.4596456229041189
ACH-000041,-0.1909228888441402
ACH-000042,-0.16806188034747582
ACH-000045,-0.4119558188650546
ACH-000047,-0.3304283761078378
ACH-000052,-0.3927767527830265
ACH-000053,-0.2519293244377544
ACH-000054,-0.5320289258038845
ACH-000055,-0.31358973130520856
ACH-000060,-0.5386033639588266
ACH-000067,-0.3515053442696619
ACH-000070,-0.1877099335910718
ACH-000075,-0.16738995495127565
ACH-000078,-0.4293292749256403
ACH-000082,-0.5013177567457505
ACH-000085,-0.3542912905091086
ACH-000086,-0.4481971349424109
ACH-000087,-0.012176683373498002
ACH-000092,-0.4721545336742987
ACH-000095,-0.2542918028960725
ACH-000097,-0.3188541555786504
ACH-000098,-0.29075876649054544
ACH-000099,-0.16923576305912186
ACH-000108,-0.5552299859891126
ACH-000113,-0.31140229399131825
ACH-000116,-0.367096388139298
ACH-000118,-0.32290050446723434
ACH-000120,-0.5400986084969164
ACH-000123,-0.33340389221358785
ACH-000127,-0.3643017888875168
ACH-000128,-0.4370506153773984
ACH-000132,-0.32244972824803336
ACH-000133,-0.2902546024660076
ACH-000137,-0.3570484132763489
ACH-000138,-0.5365881803315977
ACH-000142,-0.4896097543968007
ACH-000143,-0.6034178145310941
ACH-000146,-0.3135653511849684
ACH-000148,-0.22455767537097449
ACH-000150,-0.15017673393811395
ACH-000152,-0.2588671760249328
ACH-000153,-0.28240788082229634
ACH-000159,-0.4043442823755648
ACH-000160,-0.3544030328845795
ACH-000163,-0.17879727557540334
ACH-000167,-0.5958262312073163
ACH-000168,-0.3968083052708518
ACH-000169,-0.29184646513688745
ACH-000178,-0.2746597329831141
ACH-000183,-0.4571518790818089
ACH-000188,-0.4194112978840195
ACH-000189,-0.05667569741480781
ACH-000190,-0.4920500840896196
ACH-000198,-0.41060330679121104
ACH-000203,-0.5434322060922312
ACH-000204,-0.33709630580523986
ACH-000206,-0.2901156560864325
ACH-000207,-0.354477145410503
ACH-000208,-0.6037318127747965
ACH-000210,-0.24440857357749105
ACH-000211,-0.34558395714140777
ACH-000215,-0.26104717292337376
ACH-000221,-0.2772521279467799
ACH-000222,-0.4830712768912488
ACH-000223,-0.4683125443355751
ACH-000226,-0.07623297741928928
ACH-000227,-0.469860119055304
ACH-000228,-0.3913366729548844
ACH-000231,-0.4148763608686471
ACH-000232,-0.3247373455678029
ACH-000233,-0.2486329804939793
ACH-000234,-0.31461504290034903
ACH-000235,-0.28423302427431607
ACH-000237,-0.2380955890617669
ACH-000238,-0.42432921449781336
ACH-000242,-0.6277564527152225
ACH-000243,-0.3262290173918524
ACH-000244,-0.3546319487918416
ACH-000246,-0.3402506292873581
ACH-000248,-0.4051503251846595
ACH-000250,-0.4043793460140467
ACH-000251,-0.4191608298154946
ACH-000252,-0.12160384967325928
ACH-000253,-0.21987905231735266
ACH-000255,-0.2551727788610281
ACH-000256,-0.1799133886745248
ACH-000257,-0.43577337304290653
ACH-000258,-0.27443896616624625
ACH-000259,-0.4354058628163489
ACH-000260,-0.4093412618598932
ACH-000261,-0.3560433551266749
ACH-000262,-0.3505950451046555
ACH-000263,-0.4978164340212258
ACH-000264,-0.2042857477147481
ACH-000265,-0.28163084575593594
ACH-000266,-0.3957435584149324
ACH-000272,-0.3812646748690501
ACH-000274,-0.3526533205402682
ACH-000277,-0.505910321561088
ACH-000278,-0.3196643249137551
ACH-000279,-0.2643422896481016
ACH-000280,-0.4385899964761329
ACH-000281,-0.300518217223177
ACH-000288,-0.2258703883611577
ACH-000291,-0.3419301392618991
ACH-000293,-0.3454531038177189
ACH-000294,-0.1578617905236033
ACH-000295,-0.6262191966737601
ACH-000296,-0.3375455203086368
ACH-000302,-0.42848237933056815
ACH-000304,-0.15789435493081705
ACH-000307,-0.34014046698726713
ACH-000308,-0.4093670327655563
ACH-000310,-0.2701976608350248
ACH-000311,-0.520998841528885
ACH-000312,-0.4485085500095318
ACH-000315,-0.2163511372680809
ACH-000316,-0.6375974875915007
ACH-000317,-0.4948993374169492
ACH-000318,-0.20112453766896785
ACH-000319,-0.4458706924099059
ACH-000320,-0.5170439456450172
ACH-000322,-0.13045175753917915
ACH-000323,-0.3824272954032524
ACH-000324,-0.19653397882392215
ACH-000329,-0.1961654627162431
ACH-000330,-0.246016048526059
ACH-000331,-0.32245615984475146
ACH-000332,-0.4520655960352617
ACH-000334,-0.441673583126343
ACH-000335,-0.18349212417042512
ACH-000336,-0.513687349161036
ACH-000337,-0.5411762228310766
ACH-000338,-0.6829799461502735
ACH-000339,-0.4000541727721165
ACH-000341,-0.4830878838347266
ACH-000348,-0.3697754371001207
ACH-000350,-0.2699756879851471
ACH-000352,-0.4835381516008995
ACH-000356,-0.4447065951974264
ACH-000361,-0.3578365025622445
ACH-000362,-0.3239085285013506
ACH-000363,-0.19667819210483176
ACH-000364,-0.3450021656520362
ACH-000365,-0.07202675590045374
ACH-000366,-0.34496535302958625
ACH-000368,-0.32612646493599273
ACH-000374,-0.45364993161894
ACH-000375,-0.4697039664160832
ACH-000376,-0.3798796579036899
ACH-000381,-0.3217527393722913
ACH-000383,-0.31104763772334737
ACH-000387,-0.3645703537870796
ACH-000389,-0.195135868576088
ACH-000390,-0.20248264806535848
ACH-000393,-0.5273455822715095
ACH-000395,-0.2451425854448795
ACH-000396,-0.30878334501592425
ACH-000397,-0.28087844244698634
ACH-000401,-0.1710363013008388
ACH-000402,-0.431010959304686
ACH-000403,-0.29411240200159683
ACH-000404,0.09895455955829413
ACH-000406,0.16228019888304818
ACH-000407,-0.1376087071737408
ACH-000408,-0.04143245315393503
ACH-000410,-0.4517102133273617
ACH-000411,-0.5363216508615786
ACH-000414,-0.3694370775220992
ACH-000415,-0.3191655279323732
ACH-000416,-0.2702354959501912
ACH-000420,-0.5292900367673381
ACH-000421,-0.3144803938119941
ACH-000424,-0.4440297970869523
ACH-000425,-0.3522767677072327
ACH-000426,-0.31092722869372136
ACH-000427,-0.3297957221358646
ACH-000433,-0.6619654787746206
ACH-000435,-0.1916181950243868
ACH-000436,-0.3545271133112893
ACH-000444,-0.3163535236926158
ACH-000445,-0.273439778383322
