,ALKBH4 (54784)
ACH-000004,-0.06051403273600699
ACH-000005,0.3903950725733485
ACH-000007,-0.24433335869102404
ACH-000009,-0.02536250918179592
ACH-000011,-0.09377575873375824
ACH-000012,-0.053064963001688
ACH-000013,-0.03164543706765833
ACH-000014,-0.3199100051023598
ACH-000015,-0.12855180908618008
ACH-000017,-0.11800112449608473
ACH-000018,-0.056099309500036734
ACH-000019,-0.21151976204086312
ACH-000021,-0.25854329348318705
ACH-000022,-0.061825027576093386
ACH-000025,-0.02505831243295633
ACH-000028,-0.2352049753758969
ACH-000030,-0.06684201104718425
ACH-000035,-0.08933355805549444
ACH-000036,-0.3388446383795166
ACH-000037,-0.31730066013220753
ACH-000039,-0.15885253538402844
ACH-000040,-0.07829759406628042
ACH-000041,-0.0008949661386975087
ACH-000042,-0.03639286012346764
ACH-000045,-0.14722001936839568
ACH-000047,-0.0615416812735671
ACH-000052,-0.035632961825194445
ACH-000053,-0.06057932872326675
ACH-000054,-0.08735440385225604
ACH-000055,-0.12523191732730676
ACH-000060,-0.15372974035704787
ACH-000067,-0.11363050808437668
ACH-000070,0.10237074972966136
ACH-000075,-0.1914292458609113
ACH-000078,-0.2940476350691721
ACH-000082,-0.1881670011668385
ACH-000085,-0.2608629969855366
ACH-000086,-0.013113955678130012
ACH-000087,-0.12238947665799445
ACH-000092,-0.07615872471072678
ACH-000095,-0.18033607518152275
ACH-000097,-0.08773861694264114
ACH-000098,-0.12831378425798204
ACH-000099,-0.17093176727140255
ACH-000108,0.029784659895401824
ACH-000113,-0.13097570695468866
ACH-000116,-0.09042254852717677
ACH-000118,-0.1825674209148259
ACH-000120,-0.27697345016961666
ACH-000123,-0.06872149096660847
ACH-000127,-0.14850626744882933
ACH-000128,0.03395719042909929
ACH-000132,-0.17370827033557826
ACH-000133,-0.12131169396129925
ACH-000137,0.0657120033092676
ACH-000138,-0.15641783317279995
ACH-000142,-0.2053609236404146
ACH-000143,0.029263002229861432
ACH-000146,-0.14529578014222014
ACH-000148,-0.10320869341040233
ACH-000150,-0.011960091611040205
ACH-000152,-0.051737226531074224
ACH-000153,0.049061673804701764
ACH-000159,-0.12007294263260106
ACH-000160,-0.2462714617457571
ACH-000163,-0.21547342874027514
ACH-000167,-0.2148108876295572
ACH-000168,-0.06833156583782928
ACH-000169,-0.0693571275620275
ACH-000178,-0.2824275964743623
ACH-000183,-0.03741878336633564
ACH-000188,-0.0796724051681329
ACH-000189,-0.4436895557924333
ACH-000190,0.014357990714688244
ACH-000198,-0.16379183949300902
ACH-000203,-0.5079812652886808
ACH-000204,-0.04319097999592885
ACH-000206,-0.13023476421021193
ACH-000207,-0.1595541361901685
ACH-000208,-0.2317416157418944
ACH-000210,-0.17469760803474618
ACH-000211,-0.17980452358266558
ACH-000215,-0.08908999904986732
ACH-000221,-0.10615190382469472
ACH-000222,-0.3000266675136727
ACH-000223,-0.1056848220757463
ACH-000226,-0.11514543751218442
ACH-000227,-0.08692847635825349
ACH-000228,0.09777278353477066
ACH-000231,-0.10854131303622848
ACH-000232,-0.10744612394616693
ACH-000233,-0.05405390913931441
ACH-000234,-0.09675571509097207
ACH-000235,-0.1415449224979836
ACH-000237,-0.14256325108527812
ACH-000238,-0.2392462872914904
ACH-000242,-0.013437949035800804
ACH-000243,-0.18731682494090246
ACH-000244,-0.14053092940118286
ACH-000246,-0.2678358298740325
ACH-000248,-0.0003480694788101811
ACH-000250,-0.2312737240540417
ACH-000251,-0.17557505494918885
ACH-000252,-0.30884700653868435
ACH-000253,-0.17305720596289867
ACH-000255,0.008720817844368203
ACH-000256,-0.18638936250235785
ACH-000257,-0.013255253925704057
ACH-000258,-0.1896369558210078
ACH-000259,-0.15054365042970194
ACH-000260,-0.09284761608530558
ACH-000261,-0.17054116377270556
ACH-000262,-0.2539675578473988
ACH-000263,-0.2462107968004004
ACH-000264,-0.11196671201034332
ACH-000265,-0.10055000771561512
ACH-000266,-0.08780696779759603
ACH-000272,0.008477737775826034
ACH-000274,-0.2192721326491984
ACH-000277,-0.11418952745426085
ACH-000278,-0.09502493912792292
ACH-000279,-0.1548365538108545
ACH-000280,0.018256837083374847
ACH-000281,-0.1520144820362506
ACH-000288,-0.12969108551249248
ACH-000291,-0.2358613910535102
ACH-000293,-0.2615239357513394
ACH-000294,0.003435652429235921
ACH-000295,-0.08941954305012914
ACH-000296,-0.22335014966730066
ACH-000302,-0.030441043921635182
ACH-000304,-0.2208960687757266
ACH-000307,-0.13517431039282146
ACH-000308,-0.14004220416970198
ACH-000310,-0.13635466670409965
ACH-000311,-0.0883226162480614
ACH-000312,-0.14988000614124727
ACH-000315,0.20050939409407895
ACH-000316,-0.2397443299530577
ACH-000317,-0.13873384079510212
ACH-000318,-0.09175452518785453
ACH-000319,-0.11536602219161494
ACH-000320,-0.05042992424067312
ACH-000322,-0.3211478610297217
ACH-000323,-0.016625615999969014
ACH-000324,-0.05035147164221607
ACH-000329,-0.0692470173500382
ACH-000330,-0.0816229789161128
ACH-000331,-0.11600114994044493
ACH-000332,-0.08074156140132956
ACH-000334,-0.025436608064855582
ACH-000335,-0.09059283284644076
ACH-000336,0.08034625324399366
ACH-000337,-0.04402369995763567
ACH-000338,-0.28349627849500103
ACH-000339,-0.06626789974006536
ACH-000341,-0.07770017865883222
ACH-000348,-0.1309096382715945
ACH-000350,-0.060940281450616175
ACH-000352,-0.08544630246690496
ACH-000356,-0.028600382382286307
ACH-000361,-0.07075587767067612
ACH-000362,-0.12763331901995742
ACH-000363,-0.08069086888015749
ACH-000364,-0.3236141266911612
ACH-000365,-0.07388929246079208
ACH-000366,-0.11050651672263544
ACH-000368,-0.2819331983688449
ACH-000374,-0.19886993780954296
ACH-000375,-0.020437135153449186
ACH-000376,-0.1719911534600767
ACH-000381,-0.2934437169581577
ACH-000383,-0.3107656684650927
ACH-000387,-0.16482260294609932
ACH-000389,-0.0902948483646809
ACH-000390,-0.1478409640896797
ACH-000393,-0.07447406113000381
ACH-000395,-0.026669193056620168
ACH-000396,-0.24881062087864886
ACH-000397,-0.19241134986549266
ACH-000401,-0.15164353608304867
ACH-000402,-0.2259837796952719
ACH-000403,-0.08661258742567429
ACH-000404,-0.3131299079680732
