,NAPB (63908)
ACH-000004,0.1610975292336087
ACH-000005,0.25504902994302303
ACH-000007,0.12557001045127958
ACH-000009,0.3010579201420964
ACH-000011,0.11040105497957574
ACH-000012,0.2476051823218896
ACH-000013,0.2441121332946683
ACH-000014,0.2616581306388784
ACH-000015,0.3235881993426871
ACH-000017,0.2326620944763224
ACH-000018,0.5301678164856561
ACH-000019,0.10059007327528544
ACH-000021,0.2511055373269792
ACH-000022,0.1949102526680127
ACH-000025,0.3238924261153713
ACH-000028,0.17366850864668956
ACH-000030,0.2426561645837406
ACH-000035,0.13552685977524367
ACH-000036,0.16589111345039928
ACH-000037,0.14960971115390118
ACH-000039,0.22061990191462152
ACH-000040,0.15410501155391465
ACH-000041,0.2662171043987737
ACH-000042,0.1865071551037124
ACH-000045,0.12444231400222328
ACH-000047,0.20392782060241216
ACH-000052,0.3264436761362873
ACH-000053,0.2243102422704042
ACH-000054,0.13772058606669382
ACH-000055,0.2261688106762541
ACH-000060,0.20968472890223694
ACH-000067,0.19316343267987995
ACH-000070,0.2327004441271824
ACH-000075,0.08838203657156468
ACH-000078,0.3443698832686853
ACH-000082,0.23294881552654756
ACH-000085,0.1779442798104153
ACH-000086,0.25648432508647445
ACH-000087,0.14670510557635608
ACH-000092,0.20739364872379848
ACH-000095,0.2093897299886052
ACH-000097,0.07726658526354621
ACH-000098,0.21810182474306147
ACH-000099,0.17622895018341256
ACH-000108,0.13252430224286935
ACH-000113,0.2140114486059093
ACH-000116,0.26192362440877265
ACH-000118,0.13166202887065412
ACH-000120,0.19672154344189388
ACH-000123,0.14022233476326987
ACH-000127,0.21918744363947407
ACH-000128,0.11123196888436856
ACH-000132,0.2505070000864578
ACH-000133,0.19170220036534197
ACH-000137,0.07626913484216444
ACH-000138,0.2814893486514303
ACH-000142,0.4671556984009804
ACH-000143,0.2933819135062582
ACH-000146,0.2327476276461486
ACH-000148,0.20926936911678526
ACH-000150,0.17853783998085695
ACH-000152,0.14941156904216712
ACH-000153,0.31329792639178417
ACH-000159,0.22040545170212972
ACH-000160,0.15269317238566446
ACH-000163,0.08370331584764981
ACH-000167,0.4802619689609162
ACH-000168,0.17201989537473328
ACH-000169,0.23276448107627504
ACH-000178,0.2484809126584349
ACH-000183,0.14951603791402931
