,PHF23 (79142)
ACH-000004,-0.1823800486654017
ACH-000005,-0.025290918761327042
ACH-000007,-0.15989015424801736
ACH-000009,-0.19019269665229216
ACH-000011,-0.3034389943640031
ACH-000012,-0.7237558604129685
ACH-000013,-0.4251150627529997
ACH-000014,-0.1907413976788744
ACH-000015,0.14566330822419174
ACH-000017,0.14220917577248576
ACH-000018,-0.08967147798526719
ACH-000019,-0.14034539691917622
ACH-000021,-0.17966142723627165
ACH-000022,0.0235893916377074
ACH-000025,-0.428671884820908
ACH-000028,-0.3841831276912566
ACH-000030,-0.1050686846343316
ACH-000035,-0.10861505990771933
ACH-000036,-0.5061555591272836
ACH-000037,-0.1453530109171102
ACH-000039,-0.3562261059649752
ACH-000040,-0.4399034162745186
ACH-000041,-0.3376772909242667
ACH-000042,-0.2422439891389028
ACH-000045,-0.4432112390114326
ACH-000047,-0.20302417849855556
ACH-000052,-0.1707481255735509
ACH-000053,-0.18395088604134366
ACH-000054,-0.29225594418430023
ACH-000055,-0.1685830354584544
ACH-000060,-0.22100023897170007
ACH-000067,-0.4826250381524365
ACH-000070,-0.2095672582309109
ACH-000075,-0.3047592008556552
ACH-000078,-0.16254817153651036
ACH-000082,-0.21353586920781711
ACH-000085,-0.3363213830924207
ACH-000086,-0.31020903722342225
ACH-000087,-0.13019374597413896
ACH-000092,-0.2870031715884223
ACH-000095,-0.2602024812557488
ACH-000097,-0.19583622719202
ACH-000098,-0.3788181341022656
ACH-000099,-0.4671776700475005
ACH-000108,-0.2706623918233495
ACH-000113,-0.34195818190733923
ACH-000116,-0.14577885344588815
ACH-000118,-0.2542933550797408
ACH-000120,-0.010436390798901109
ACH-000123,-0.1490431741352715
ACH-000127,0.0657462644550296
ACH-000128,-0.3930373665229516
ACH-000132,-0.29710842225646084
ACH-000133,-0.24473845715677706
ACH-000137,-0.438016480345732
ACH-000138,-0.12538827475339565
ACH-000142,-0.13306977576291906
ACH-000143,-0.399110478771584
ACH-000146,-0.040966704928247034
ACH-000148,-0.3495206908754366
ACH-000150,-0.4656684202273047
ACH-000152,-0.2920589808157857
ACH-000153,0.029582080792751087
ACH-000159,-0.15086351590684924
ACH-000160,0.09433891121347553
ACH-000163,-0.29298011201434243
ACH-000167,0.5528940529169482
ACH-000168,0.2444187373748173
ACH-000169,-0.08167765091151667
ACH-000178,-0.20622116656593847
ACH-000183,-0.10959398776408054
ACH-000188,-0.3352924363305182
ACH-000189,-0.09141547360836708
ACH-000190,-0.00717195724736627
ACH-000198,-0.2302942127805011
ACH-000203,0.2868089627073201
ACH-000204,-0.4097584773647319
ACH-000206,-0.20866628518951094
ACH-000207,-0.07236998159891099
ACH-000208,-0.03781444630340027
ACH-000210,-0.035624180868914536
ACH-000211,-0.2387047012213573
ACH-000215,-0.41022839744079465
ACH-000221,-0.4718413323767229
ACH-000222,-0.062379424339391275
ACH-000223,0.0008320302413392808
ACH-000226,-0.5206879442330989
ACH-000227,-0.07393213005802453
ACH-000228,-0.2120192187367067
ACH-000231,-0.27341532384454825
ACH-000232,0.0212594598557668
ACH-000233,-0.4424354325009031
ACH-000234,-0.3101195437562756
ACH-000235,-0.2411250896194859
ACH-000237,-0.3968935022994041
ACH-000238,-0.3039030515319082
ACH-000242,-0.3601755447465806
ACH-000243,-0.2913486706805552
ACH-000244,-0.5121936376594427
ACH-000246,-0.28850700054551026
ACH-000248,-0.3031412490992013
ACH-000250,-0.3260111194834828
ACH-000251,-0.4716174597234187
ACH-000252,-0.18643223333217135
ACH-000253,-0.112687198133375
ACH-000255,-0.2010057552321337
ACH-000256,-0.4355407920916917
ACH-000257,-0.6514465519809987
ACH-000258,-0.21095534553193385
ACH-000259,-0.25590197311430085
ACH-000260,-0.307228618721337
ACH-000261,-0.16097640614400666
ACH-000262,-0.4197475783204174
ACH-000263,-0.2297801447194513
ACH-000264,-0.3431832422984541
ACH-000265,-0.3585363962991231
ACH-000266,-0.19940297180196773
ACH-000272,-0.1099347944194386
ACH-000274,-0.22341121362258384
ACH-000277,-0.32021874747028223
ACH-000278,-0.2591452137929192
ACH-000279,-0.2270337188224776
ACH-000280,-0.2279112974008237
ACH-000281,-0.2112791409841631
ACH-000288,-0.5333271478189889
ACH-000291,-0.1550642991856392
ACH-000293,-0.3949829769030104
ACH-000294,-0.24180331981881964
ACH-000295,-0.2998992557695509
ACH-000296,-0.40485912060188295
ACH-000302,-0.3393350556747147
ACH-000304,-0.2550293653148672
ACH-000307,-0.09923062624162417
ACH-000308,-0.14647299851028134
ACH-000310,-0.054732486683565014
ACH-000311,-0.16599125114468627
ACH-000312,-0.16628113283318205
ACH-000315,-0.5477388977562269
ACH-000316,-0.2061977693505385
ACH-000317,-0.11725208776273688
ACH-000318,0.010450781748050402
ACH-000319,-0.16729068927766055
ACH-000320,-0.04408727293964745
ACH-000322,-0.4779892282549703
ACH-000323,-0.2821445912249668
ACH-000324,-0.1858034588597267
ACH-000329,-0.24355661669961445
ACH-000330,-0.30318466530497723
ACH-000331,-0.20541327833613893
ACH-000332,-0.2273073589810325
ACH-000334,-0.20104452736611048
ACH-000335,-0.2872557426919493
ACH-000336,-0.15561535533402152
ACH-000337,-0.29304031494293376
ACH-000338,0.23251528304654345
ACH-000339,-0.34614265242166153
ACH-000341,-0.2689858352675781
ACH-000348,-0.1544795577452904
ACH-000350,-0.16739638677231525
ACH-000352,-0.15233702893643866
ACH-000356,-0.20855269304698668
ACH-000361,-0.5225244019352956
ACH-000362,-0.2342429346495084
ACH-000363,-0.11286440014328175
ACH-000364,-0.5552528007592255
ACH-000365,-0.35672768690355816
ACH-000366,-0.4086965088413032
ACH-000368,-0.4811119608390451
ACH-000374,-0.15310232055455664
ACH-000375,-0.3702438985631782
ACH-000376,-0.21636853040601536
ACH-000381,-0.12633243391366392
ACH-000383,-0.08537341901233664
ACH-000387,-0.2397472719942808
ACH-000389,-0.4033876680214664
ACH-000390,-0.15488834966368473
ACH-000393,-0.16866574332656475
ACH-000395,-0.0975223426397541
ACH-000396,-0.2796700899363324
ACH-000397,-0.2708463728712488
ACH-000401,-0.5311036383130974
ACH-000402,0.07787207950309487
ACH-000403,-0.1718535328095062
ACH-000404,-0.3388079138328561
ACH-000406,-0.08484233950837941
ACH-000407,-0.31386932347269275
ACH-000408,-0.23461646125759736
ACH-000410,-0.12592472395050075
ACH-000411,-0.2612760481945085
ACH-000414,-0.2316172896904249
ACH-000415,-0.1925646993270472
ACH-000416,-0.2039137864082106
ACH-000420,-0.34376829046405005
ACH-000421,-0.2114917315553128
ACH-000424,-0.4783785368049165
ACH-000425,-0.08370335058130783
ACH-000426,-0.1496174238183931
ACH-000427,-0.03803080507655792
ACH-000433,-0.2131336104015325
ACH-000435,-0.4385963157233982
ACH-000436,-0.2561821333728945
ACH-000444,-0.23081753526519125
ACH-000445,-0.44634816429555546
ACH-000448,-0.3045978223540583
ACH-000450,-0.24440874725173534
ACH-000452,-0.2568885058374871
ACH-000454,-0.3250258322439901
ACH-000458,-0.11665165266439907
ACH-000459,-0.30116908849191376
ACH-000460,-0.5611130736601395
ACH-000461,-0.10770894883356212
ACH-000463,-0.3295855593898822
ACH-000464,-0.3363902247322652
ACH-000466,-0.009904679419448942
ACH-000467,-0.045552082395094826
ACH-000468,-0.4455624811110777
ACH-000469,-0.4464073689945681
ACH-000470,-0.08983649507103464
ACH-000471,-0.2001738008361826
ACH-000472,-0.13927317587405585
ACH-000473,-0.2066517456982308
ACH-000475,-0.2603417083119011
ACH-000476,-0.05024268552807983
ACH-000477,-0.07650332107011018
ACH-000479,-0.15069433422829526
ACH-000480,-0.3614404587217924
ACH-000481,-0.058130394157209886
ACH-000483,-0.2477739731165406
ACH-000484,-0.4021616807144019
ACH-000485,-0.1515889037386934
ACH-000486,-0.4797031751485695
ACH-000487,-0.14534728587881446
ACH-000488,-0.10917023868777263
ACH-000490,-0.2639477324846466
ACH-000491,-0.19767784364188887
ACH-000495,-0.11616244696558088
ACH-000496,-0.11659936513642136
ACH-000499,-0.3962909526733427
ACH-000500,-0.31553256259172674
ACH-000502,-0.4032735864766623
ACH-000503,-0.2503570651241517
ACH-000505,-0.3059072742538739
ACH-000507,-0.0010421019552309117
ACH-000510,-0.1889754524235644
ACH-000511,-0.24303770527823046
ACH-000512,-0.5830946310151803
ACH-000516,-0.136840675809786
ACH-000517,-0.11129885988192817
ACH-000518,-0.2935692741271797
ACH-000520,-0.3117659316543066
ACH-000521,-0.3578602436679994
ACH-000522,-0.3055973305545596
ACH-000524,-0.6169618547891198
ACH-000527,-0.07497412090617715
ACH-000528,-0.1474036164106806
ACH-000537,-0.36697096481905056
ACH-000541,0.056019615668549766
ACH-000542,-0.43194924991283146
ACH-000544,-0.029344719974486025
ACH-000545,-0.1942124136311872
ACH-000547,-0.2998503393976529
ACH-000548,-0.10978529445764287
ACH-000549,-0.4899004620524864
