,HMGCL (3155)
ACH-000004,-0.4144216062295558
ACH-000005,-0.15011666187446102
ACH-000007,-0.030349457253174263
ACH-000009,-0.19505639145073372
ACH-000011,-0.12719672611646507
ACH-000012,-0.13423117665265946
ACH-000013,-0.13627787652911136
ACH-000014,-0.0896885907637223
ACH-000015,0.15116181159449998
ACH-000017,-0.061962425791030826
ACH-000018,-0.05396140268004187
ACH-000019,-0.07606761911281304
ACH-000021,-0.04396472741636821
ACH-000022,-0.12914042275136975
ACH-000025,-0.12920966761937375
ACH-000028,-0.11164910560403478
ACH-000030,-0.07076651057387813
ACH-000035,-0.34084981450242
ACH-000036,0.06045463946431511
ACH-000037,-0.2607159631523591
ACH-000039,-0.13275724667727862
ACH-000040,-0.13325417786906496
ACH-000041,-0.08588997488916049
ACH-000042,-0.053792717662164216
ACH-000045,-0.0457113161531715
ACH-000047,-0.13185481397267218
ACH-000052,0.02311226591794916
ACH-000053,-0.06993778679304173
ACH-000054,-0.02960690713701625
ACH-000055,-0.16015325258773727
ACH-000060,-0.1203966012679746
ACH-000067,-0.19238755420343065
ACH-000070,-0.5053217490881505
ACH-000075,-0.10559308108455773
ACH-000078,-0.18252918895606496
ACH-000082,-0.11146498974988173
ACH-000085,0.08086862045262533
ACH-000086,-0.11244090381649582
ACH-000087,-0.3195577199957844
ACH-000092,-0.29242787717695284
ACH-000095,-0.11541964921779198
ACH-000097,-0.17207634058114474
ACH-000098,-0.1900434906054254
ACH-000099,-0.10010677201593114
ACH-000108,-0.14015278386881508
ACH-000113,0.16367350923751275
ACH-000116,-0.02337691767253748
ACH-000118,-0.13104866743810598
ACH-000120,-0.018000959779261937
ACH-000123,-0.10057406932081643
ACH-000127,-0.05190117376230215
ACH-000128,-0.19227857290454647
ACH-000132,-0.1914745080328511
ACH-000133,-0.12700696907236916
ACH-000137,-0.273717044840943
ACH-000138,-0.19338462950552507
ACH-000142,-0.1221234664657608
ACH-000143,0.1401948923897597
ACH-000146,-0.14733858916748538
ACH-000148,-0.12214852637324895
ACH-000150,-0.17945666380961114
ACH-000152,-0.2898851090506548
ACH-000153,-0.031975023052187364
ACH-000159,-0.06857183745412221
ACH-000160,-0.08529888194469963
ACH-000163,-0.12028521691805664
ACH-000167,-0.17689155828635436
ACH-000168,-0.013057816668899344
ACH-000169,-0.11221430915177864
ACH-000178,-0.010758658224297859
ACH-000183,-0.0701100609052689
ACH-000188,0.017653693934858748
ACH-000189,0.047218270721236834
ACH-000190,-0.1070104939330602
ACH-000198,-0.252720716426106
ACH-000203,0.10427270641564593
ACH-000204,-0.434122079764904
ACH-000206,0.1637518314613628
ACH-000207,-0.19147691068943853
ACH-000208,-0.0633860773772601
ACH-000210,0.06368208161441308
ACH-000211,0.05516214192687385
ACH-000215,-0.09525607500956897
ACH-000221,0.10247544397050076
ACH-000222,-0.1619123614021592
ACH-000223,-0.083780674926159
ACH-000226,-0.07495280327485121
ACH-000227,-0.054799358873203335
ACH-000228,-0.143940670274999
ACH-000231,-0.04068161048405012
ACH-000232,-0.07752848665531611
ACH-000233,-0.08335541072574049
ACH-000234,-0.10029846839171283
ACH-000235,-0.14867230151050687
ACH-000237,-0.13515069470155486
ACH-000238,-0.14696812346660615
