,EMID1 (129080)
ACH-000004,-0.33772454984515404
ACH-000005,-0.28565258198689075
ACH-000007,-0.024632769931982684
ACH-000009,-0.15398243592560545
ACH-000011,-0.22345197440995854
ACH-000012,-0.2234817591011967
ACH-000013,-0.20111468629303555
ACH-000014,-0.23551493508963706
ACH-000015,-0.207578090252774
ACH-000017,-0.15215180654578386
ACH-000018,0.10157538857651932
ACH-000019,-0.13480966203540812
ACH-000021,-0.2260393560123317
ACH-000022,-0.14017190145105055
ACH-000025,-0.3214979124007284
ACH-000028,-0.2330531341784576
ACH-000030,-0.1402822440953109
ACH-000035,-0.2175204654986087
ACH-000036,-0.0438751092186795
ACH-000037,-0.04376351079390582
ACH-000039,-0.0033763928092117963
ACH-000040,-0.1419347461342934
ACH-000041,-0.1154916783934407
ACH-000042,-0.1386316428833697
ACH-000045,-0.15551620491280402
ACH-000047,-0.025341778551810527
ACH-000052,-0.18427458554247625
ACH-000053,-0.1607355664812151
ACH-000054,-0.08717881592379563
ACH-000055,-0.26440114255407343
ACH-000060,-0.2322600325124519
ACH-000067,-0.043602981775072526
ACH-000070,-0.2896413550526057
ACH-000075,-0.10720166666489536
ACH-000078,0.01802735004278953
ACH-000082,-0.11863836311371398
ACH-000085,0.019485000718246992
ACH-000086,0.06937747426734142
ACH-000087,0.006662367352963481
ACH-000092,-0.2953172152376666
ACH-000095,-0.1112660669427139
ACH-000097,-0.14825734226550352
ACH-000098,-0.002009251455330717
ACH-000099,-0.07448795628378099
ACH-000108,0.03667829305255098
ACH-000113,-0.11195601153548933
ACH-000116,-0.056225708768627765
ACH-000118,-0.15660520683091167
ACH-000120,-0.09209989418567514
ACH-000123,-0.25717282772339617
ACH-000127,-0.10073877754942738
ACH-000128,-0.059855540494745924
ACH-000132,-0.28784706390803505
ACH-000133,-0.1295582959088795
ACH-000137,-0.3335941000301761
ACH-000138,0.0585816789035479
ACH-000142,-0.12176390429843865
ACH-000143,-0.25354813573462565
ACH-000146,-0.19924517032065545
ACH-000148,-0.08345337329009661
ACH-000150,-0.058883867420258536
ACH-000152,-0.11354471466291488
ACH-000153,-0.1433256558920709
ACH-000159,-0.0416723030097184
ACH-000160,-0.0554905851740026
