,TRAPPC6B (122553)
ACH-000004,-0.2007841539472256
ACH-000005,-0.20462570384133946
ACH-000007,-0.2179861415811718
ACH-000009,-0.24308129243185675
ACH-000011,-0.3983274568737069
ACH-000012,-0.11478647348311025
ACH-000013,-0.16741994583503986
ACH-000014,-0.28938258312321835
ACH-000015,-0.12279547954455935
ACH-000017,-0.17144144982137735
ACH-000018,-0.4010156188431733
ACH-000019,-0.15474198659939273
ACH-000021,-0.14815395180573504
ACH-000022,-0.31084558756503017
ACH-000025,-0.2349665870029864
ACH-000028,-0.10951682872533168
ACH-000030,-0.1302100284885596
ACH-000035,-0.010569385875183563
ACH-000036,-0.2513277295858403
ACH-000037,-0.15349453973312174
ACH-000039,-0.07658848803717007
ACH-000040,-0.3343725694209257
ACH-000041,-0.19326248974653587
ACH-000042,-0.16641738968001152
ACH-000045,-0.1715242273417581
ACH-000047,-0.2011943246432368
ACH-000052,-0.037357547095249584
ACH-000053,-0.20220252072611747
ACH-000054,-0.24598996363411596
ACH-000055,-0.16969780409350071
ACH-000060,-0.23504006979087
ACH-000067,-0.2796044923575561
ACH-000070,-0.09488953113509832
ACH-000075,0.007188679856130427
ACH-000078,-0.06514940728520711
ACH-000082,-0.322802647655648
ACH-000085,-0.2638576730812374
ACH-000086,-0.13845486083325606
ACH-000087,-0.13806095542740746
ACH-000092,-0.2641438871007539
ACH-000095,-0.21461453595250976
ACH-000097,-0.2748236898237349
ACH-000098,-0.2934489114468868
ACH-000099,-0.13025634924013724
ACH-000108,-0.08998199127557982
ACH-000113,-0.11529645607974252
ACH-000116,-0.21144508690595976
ACH-000118,-0.08472428597259052
ACH-000120,-0.2440992654130835
ACH-000123,-0.023553668094462358
ACH-000127,-0.18486321782042064
ACH-000128,-0.23885908201464034
ACH-000132,-0.09269512506511228
ACH-000133,-0.26930027162259823
ACH-000137,-0.014830185225356497
ACH-000138,-0.0953203840408637
ACH-000142,-0.11764884095135116
ACH-000143,-0.17267761331747167
ACH-000146,-0.23984886788192575
ACH-000148,-0.2839948547987545
ACH-000150,-0.17494884862349527
ACH-000152,-0.11315947324941622
ACH-000153,-0.13217840311223986
ACH-000159,-0.1526857059589058
ACH-000160,-0.3440019323129139
ACH-000163,-0.17858365678642102
ACH-000167,-0.4055828563966937
ACH-000168,-0.08460231641592751
ACH-000169,-0.07477674917920138
ACH-000178,-0.22244281995099816
ACH-000183,-0.2637386840758777
ACH-000188,-0.16231220240617145
ACH-000189,-0.20753848254378449
ACH-000190,-0.3387181743504528
ACH-000198,-0.12765693498151578
ACH-000203,0.009182717469235113
ACH-000204,-0.3402249245310168
ACH-000206,-0.3175021234164978
ACH-000207,-0.19829092633609785
ACH-000208,-0.26168562558735153
ACH-000210,-0.3117471570745934
ACH-000211,-0.1991892436836554
ACH-000215,-0.2573759919502695
ACH-000221,-0.05505284982676805
ACH-000222,-0.16444115384685404
ACH-000223,-0.3043070343109834
ACH-000226,-0.3536727867058713
ACH-000227,-0.3000718950688281
ACH-000228,-0.2320941033011445
ACH-000231,-0.2509766386577553
ACH-000232,-0.3312534449363612
ACH-000233,-0.07901455306442992
ACH-000234,-0.16031412598149125
ACH-000235,-0.2311128272738147
ACH-000237,-0.08416094143131518
ACH-000238,-0.04966385099085546
ACH-000242,-0.2571078152506835
ACH-000243,-0.2583046630290749
ACH-000244,-0.04139053057376628
ACH-000246,-0.2327241283135511
ACH-000248,-0.1972705996532789
ACH-000250,-0.21719066398865566
ACH-000251,0.036820363983428334
ACH-000252,-0.03453098226097686
