,RCOR2 (283248)
ACH-000004,-0.3221474582695207
ACH-000005,-0.3577182185116295
ACH-000007,-0.07847227291213013
ACH-000009,-0.1522729773835159
ACH-000011,-0.1420545220353095
ACH-000012,-0.22679001331668866
ACH-000013,-0.3076549291416933
ACH-000014,-0.05757475357595788
ACH-000015,-0.15817301500764866
ACH-000017,-0.26726251718207844
ACH-000018,-0.2578313883764144
ACH-000019,-0.2621898393987683
ACH-000021,-0.200219471311692
ACH-000022,-0.18215054663532046
ACH-000025,-0.2880273443727369
ACH-000028,-0.22530801506334594
ACH-000030,-0.2552539101799597
ACH-000035,-0.16327870208993234
ACH-000036,-0.2539262546643836
ACH-000037,-0.3091716069248406
ACH-000039,-0.3698144135256961
ACH-000040,-0.19359333334729464
ACH-000041,-0.2654020550307817
ACH-000042,-0.2913801056503469
ACH-000045,-0.30646450300933303
ACH-000047,-0.13220776626626154
ACH-000052,-0.22423432538539875
ACH-000053,-0.2394047909436465
ACH-000054,0.009130924546390534
ACH-000055,-0.4740759804955758
ACH-000060,-0.1538567751151762
ACH-000067,-0.053364840469742415
ACH-000070,-0.15134309855466493
ACH-000075,-0.23617969051303198
ACH-000078,-0.0393662317629041
ACH-000082,-0.29997900222445617
ACH-000085,-0.4368764989907157
ACH-000086,-0.5044766008899993
ACH-000087,-0.18914942026004625
ACH-000092,-0.1963508916967877
ACH-000095,-0.2798625456874856
ACH-000097,-0.17476650361853874
ACH-000098,-0.1907440899689789
ACH-000099,-0.17340378305280832
ACH-000108,-0.1953969677352417
ACH-000113,-0.2168464875634113
ACH-000116,-0.3436649736532181
ACH-000118,-0.3442166245945182
ACH-000120,-0.19985581244571693
ACH-000123,-0.25632584417793697
ACH-000127,-0.15857662101205014
ACH-000128,-0.2053636006867389
ACH-000132,-0.1866507953610652
ACH-000133,-0.17981733733071684
ACH-000137,-0.2919227242442009
ACH-000138,-0.28188762955705104
ACH-000142,-0.22709613771959625
ACH-000143,-0.2591416194079237
ACH-000146,-0.0818701934377274
ACH-000148,-0.0974213490370593
ACH-000150,-0.37787825162461103
ACH-000152,-0.26629834372856764
ACH-000153,-0.4076900210068457
ACH-000159,-0.1936117054700489
ACH-000160,0.001545435519563384
ACH-000163,-0.21516504713933216
ACH-000167,0.31068944532693404
ACH-000168,-0.14384509095048767
ACH-000169,-0.2665977898428608
ACH-000178,-0.11697886141916634
ACH-000183,-0.2797326701973567
ACH-000188,-0.41890854911868586
ACH-000189,-0.5732642343937788
ACH-000190,-0.005164422620142634
ACH-000198,-0.2259612358604992
ACH-000203,-0.12105251562305427
ACH-000204,-0.2633386982849429
ACH-000206,-0.31836241137938903
ACH-000207,-0.4852815236310453
ACH-000208,0.1871173504940542
ACH-000210,-0.3585085030097241
ACH-000211,-0.2840134578888013
ACH-000215,-0.20794990026320004
ACH-000221,-0.2236581272373805
ACH-000222,-0.2292752664426985
ACH-000223,-0.2328414777582779
ACH-000226,-0.15163435446255433
ACH-000227,-0.10733611939138438
ACH-000228,-0.2482073093251665
ACH-000231,-0.2470323819887961
ACH-000232,-0.19702938740509815
ACH-000233,-0.21577361754632468
ACH-000234,-0.22636128884064385
ACH-000235,-0.2435071500803108
ACH-000237,-0.20495543993011253
ACH-000238,-0.13365789051359148
ACH-000242,-0.033276182975000804
ACH-000243,-0.15639835066249558
