,WAC (51322)
ACH-000004,-0.5990136963629648
ACH-000005,-0.19018873736736414
ACH-000007,-0.4362921039031412
ACH-000009,-0.09527483027298528
ACH-000011,-0.3121361210822644
ACH-000012,-0.4746461584179838
ACH-000013,-0.36164487524977096
ACH-000014,0.04441512838079202
ACH-000015,-0.35270717975747684
ACH-000017,-0.029857487153829538
ACH-000018,-0.3228542229319267
ACH-000019,-0.6499518780672459
ACH-000021,-0.7580895916555689
ACH-000022,-0.2535427262891554
ACH-000025,-0.5934043029643524
ACH-000028,-0.5539282873752002
ACH-000030,-0.3815126956489605
ACH-000035,-0.4563152138006848
ACH-000036,-0.4992036066720339
ACH-000037,-0.7355306661290689
ACH-000039,-0.4909914166394429
ACH-000040,-0.3023113150817923
ACH-000041,-0.11775616099306314
ACH-000042,-0.4983656759360512
ACH-000045,-0.3372236768036603
ACH-000047,-0.6427978940437601
ACH-000052,-0.5949319802633983
ACH-000053,-0.5140212404118941
ACH-000054,-0.4843580280292169
ACH-000055,-0.5298821243679596
ACH-000060,-0.519695017665712
ACH-000067,-0.0993190757845869
ACH-000070,-0.4988743279596691
ACH-000075,-0.4521573869227316
ACH-000078,0.029033832372667663
ACH-000082,-0.5108420276748549
ACH-000085,-0.4459864426683531
ACH-000086,-0.3281384166333348
ACH-000087,-0.5372431823477479
ACH-000092,-0.23368648164124176
ACH-000095,-0.6218742357506446
ACH-000097,-0.6672816916841737
ACH-000098,-0.306277960342989
ACH-000099,0.03231235518820032
ACH-000108,-0.6209508912565392
ACH-000113,-0.01012449779274384
ACH-000116,-0.48969709937755707
ACH-000118,-0.6799449252465279
ACH-000120,-0.480531008109937
ACH-000123,-0.3816146948887622
ACH-000127,-0.37518467900797375
ACH-000128,-0.3642445303396622
ACH-000132,-0.3097776986104132
ACH-000133,-0.320442128492115
ACH-000137,-0.48788414475125
ACH-000138,-0.2759716015892089
ACH-000142,-0.3787208746097079
ACH-000143,-0.4614055441215548
ACH-000146,-0.6340901226530992
ACH-000148,-0.5519975681222806
ACH-000150,-0.6397583238649088
ACH-000152,-0.24519429269866275
ACH-000153,-0.5826291313570038
ACH-000159,-0.23699960013979415
ACH-000160,-0.17310442464339704
ACH-000163,-0.4621900026556414
ACH-000167,0.03985816797978897
ACH-000168,-0.5525807619045596
ACH-000169,-0.2768833382604948
ACH-000178,-0.4710762198741174
ACH-000183,-0.3643865244089347
ACH-000188,-0.4578477781404265
ACH-000189,-0.5054744434569218
ACH-000190,-0.2650626626249188
ACH-000198,-0.4894434798515041
ACH-000203,-0.8925380048322205
ACH-000204,-0.4706605519396183
ACH-000206,-0.36177088638490174
ACH-000207,-0.33682383404789396
ACH-000208,-0.2724993724450232
ACH-000210,-0.3547128818943109
ACH-000211,-0.4441964154233144
ACH-000215,-0.3022751880303876
ACH-000221,-0.2759021833754943
ACH-000222,-0.2116646757201604
ACH-000223,-0.5792160812600508
ACH-000226,-0.3201275457727466
ACH-000227,0.10691406893738298
ACH-000228,-0.297760505857896
ACH-000231,-0.5464858090828127
ACH-000232,-0.29068940977006863
ACH-000233,-0.5243257508060378
ACH-000234,-0.2369226467886553
ACH-000235,-0.21591286346204425
ACH-000237,-0.6247069685507255
ACH-000238,-0.37859853616087663
ACH-000242,-0.3942339279272945
ACH-000243,-0.14425307460111014
ACH-000244,-0.4270291072157173
ACH-000246,-0.4568715806206672
ACH-000248,-0.6468425807263516
ACH-000250,-0.5054714339089149
ACH-000251,-0.1862574944419338
ACH-000252,-0.5788526576564611
ACH-000253,-0.24141132046344735
ACH-000255,-0.5221339078263179
ACH-000256,-0.16731518989281302
ACH-000257,-0.6217984453998476
ACH-000258,-0.45933323366681
ACH-000259,-0.0469090970721741
ACH-000260,-0.4552099102165469
ACH-000261,-0.5249462213569602
ACH-000262,-0.5378320478715013
ACH-000263,-0.7781370112373885
ACH-000264,-0.7556059044905773
ACH-000265,-0.4266255512184053
ACH-000266,-0.2834070450557736
ACH-000272,-0.11141749070222097
ACH-000274,-0.3893998478848931
ACH-000277,-0.7732225794043341
ACH-000278,-0.4912383844380567
ACH-000279,-0.29344300815870594
ACH-000280,-0.4384388199311423
ACH-000281,-0.2384889110186612
ACH-000288,-0.3622850439224653
ACH-000291,-0.2621572400416075
ACH-000293,-0.5719482490166885
ACH-000294,-0.6545633619949177
ACH-000295,-0.043376579154294936
ACH-000296,-0.5946049541358613
ACH-000302,-0.5275810283439238
ACH-000304,-0.13097219884885564
ACH-000307,-0.3633122602332147
ACH-000308,-0.2847630298660585
ACH-000310,-0.4647787066571834
ACH-000311,-0.6010625071883511
ACH-000312,-0.1316630181969389
ACH-000315,-0.5992168424553137
ACH-000316,-0.6350456503435312
ACH-000317,0.06896974623757357
ACH-000318,0.007082845306124533
ACH-000319,-0.41738889686794417
ACH-000320,-0.5488251231145937
ACH-000322,-0.44827051119185385
ACH-000323,-0.3931342939227313
ACH-000324,-0.5851614880222145
ACH-000329,-0.4717972370916335
ACH-000330,-0.3848522562115179
ACH-000331,-0.4104882112384949
ACH-000332,-0.4897742753598545
ACH-000334,-0.20567350188505032
ACH-000335,-0.26926765465424124
ACH-000336,-0.2508339153844444
ACH-000337,-0.7733701028517542
ACH-000338,-0.9672890717458861
ACH-000339,-0.4491510239211032
ACH-000341,-0.29975805795541816
ACH-000348,-0.4177737686827209
ACH-000350,-0.380788504735677
ACH-000352,-0.4876659213196218
ACH-000356,-0.3928110133580068
ACH-000361,-0.3998060680620229
ACH-000362,-0.5371058331041965
ACH-000363,-0.5519736841390203
ACH-000364,-0.26320841974587794
ACH-000365,-0.3627160907734775
ACH-000366,-0.18136021896508195
ACH-000368,-0.6144199082604433
ACH-000374,-0.2910683174357565
ACH-000375,-0.59837821914721
ACH-000376,-0.4505077276678448
ACH-000381,-0.2501802174258668
ACH-000383,-0.17704529885903494
ACH-000387,-0.6789780131564283
ACH-000389,-0.7526237209426593
ACH-000390,-0.45491378181575104
ACH-000393,-0.5128277308092947
ACH-000395,-0.3753256471905856
ACH-000396,-0.4328015357894308
ACH-000397,-0.5736276688959707
ACH-000401,-0.4364127585707636
ACH-000402,-0.5086159583967687
ACH-000403,-0.4184418835608479
ACH-000404,-0.4016301475117076
ACH-000406,-0.3770823373020886
ACH-000407,-0.2540278566325859
ACH-000408,-0.2698964464151623
ACH-000410,-0.4267426897890451
ACH-000411,-0.5799868725787677
ACH-000414,-0.6019421430498505
ACH-000415,-0.3585049362801596
ACH-000416,-0.6249142229038342
ACH-000420,-0.2723249280600998
ACH-000421,-0.4455979532648531
ACH-000424,-0.29469125416988823
ACH-000425,-0.6876301191504585
ACH-000426,-0.7227182501417218
ACH-000427,-0.3614877521683295
ACH-000433,-0.2849625966293446
ACH-000435,-0.4205492134932691
ACH-000436,-0.14792586417611242
ACH-000444,-0.41095484830456064
ACH-000445,-0.2912019616503315
ACH-000448,-0.6100956623967261
ACH-000450,-0.35089200919484576
ACH-000452,-0.5144528374069909
ACH-000454,-0.4294334108351281
ACH-000458,-0.4563678026176681
ACH-000459,-0.6423066610981387
ACH-000460,-0.6311576442313195
ACH-000461,-0.43208694638358863
ACH-000463,-0.34476628422462297
ACH-000464,-0.4909732371358529
ACH-000466,-0.5162158177099987
ACH-000467,-0.7063417370392511
ACH-000468,-0.27430528232631124
ACH-000469,-0.31889660594147945
ACH-000470,-0.2786849037069237
ACH-000471,0.08787090008556253
ACH-000472,-0.4229050684084255
ACH-000473,-0.3449517618505217
ACH-000475,-0.27131085827878465
ACH-000476,-0.6543729271834662
ACH-000477,-0.3862363918194366
ACH-000479,-0.5945124877341625
ACH-000480,-0.6212849819307039
ACH-000481,-0.2881100043660695
ACH-000483,-0.5940486252029724
ACH-000484,-0.8025137394488691
ACH-000485,-0.4009101458490995
ACH-000486,-0.16058355275863553
ACH-000487,-0.4068467781802124
ACH-000488,-0.4965561086891335
ACH-000490,-0.5193703342698544
ACH-000491,-0.2078173322072896
ACH-000495,-0.5437368359109868
ACH-000496,-0.2045559632700339
ACH-000499,-0.4092976243789272
ACH-000500,-0.6107818503430668
ACH-000502,-0.6429634002661571
ACH-000503,-0.16438738153628338
ACH-000505,-0.6079260409710708
ACH-000507,-0.4699537418142809
ACH-000510,-0.5475626204280393
ACH-000511,-0.2891564332497813
ACH-000512,-0.4611370565579225
ACH-000516,-0.2970934540425733
ACH-000517,-0.5127491698694696
ACH-000518,-0.3945602875107563
ACH-000520,-0.3488266098733103
ACH-000521,-0.22948379791962026
ACH-000522,-0.4136612186637229
ACH-000524,-0.2971426550058222
ACH-000527,-0.6220750434257221
ACH-000528,-0.5026265402989117
ACH-000537,-0.27131241462934463
ACH-000541,-0.4000534488130124
ACH-000542,-0.3871069690755728
ACH-000544,-0.6135999033683495
ACH-000545,-0.4690032307167938
ACH-000547,-0.4611504769707007
ACH-000548,-0.6007332574092087
ACH-000549,-0.41454600401170894
ACH-000550,-0.3238595885709762
ACH-000552,-0.3259647568196727
ACH-000556,-0.331177657027605
ACH-000557,-0.3327316373625557
ACH-000569,-0.41569500066340587
