,EXOC7 (23265)
ACH-000004,-0.5554398492218561
ACH-000005,-0.06361874521183428
ACH-000007,-0.35113647840012946
ACH-000009,-0.6236095479640766
ACH-000011,-0.3219543055791373
ACH-000012,-0.6509401885399201
ACH-000013,-0.4531141931861708
ACH-000014,-0.35539519596513064
ACH-000015,-0.3144093553133796
ACH-000017,-0.5931161743190448
ACH-000018,-0.5022807114759311
ACH-000019,-0.5486275670366866
ACH-000021,-0.4154903986173781
ACH-000022,-0.5471892135486535
ACH-000025,-0.5631414058914909
ACH-000028,-0.3982515964486919
ACH-000030,-0.5178467409681128
ACH-000035,-0.4802974806605584
ACH-000036,-0.2673439717007396
ACH-000037,-0.35788405230936565
ACH-000039,-0.4439305770673668
ACH-000040,-0.4693063218249296
ACH-000041,-0.5056494338761245
ACH-000042,-0.4580512729568732
ACH-000045,-0.24866415369869185
ACH-000047,-0.4723339785462477
ACH-000052,-0.5062328773995354
ACH-000053,-0.3974973337909337
ACH-000054,-0.463332157026581
ACH-000055,-0.4764877779673084
ACH-000060,-0.5142611965140692
ACH-000067,-0.3998633339032904
ACH-000070,-0.3462019641644356
ACH-000075,-0.3869869199243906
ACH-000078,-0.3912016174966811
ACH-000082,-0.4545708763757157
ACH-000085,-0.2658558769085402
ACH-000086,-0.4889601521234671
ACH-000087,-0.7039020975161839
ACH-000092,-0.6649504440713381
ACH-000095,-0.443603947966242
ACH-000097,-0.4575237371481122
ACH-000098,-0.5314872362419001
ACH-000099,-0.4974550616401304
ACH-000108,-0.5612758804327334
ACH-000113,-0.37937249465288775
ACH-000116,-0.44394079375545453
ACH-000118,-0.5872566798181251
ACH-000120,-0.3838949497745136
ACH-000123,-0.5736021167195405
ACH-000127,-0.4611572055723317
ACH-000128,-0.5066700597298353
ACH-000132,-0.5835549342846899
ACH-000133,-0.4692162594986838
ACH-000137,-0.22006840544425985
ACH-000138,-0.4087798657004697
ACH-000142,-0.5231420879472807
ACH-000143,-0.3092865332078101
ACH-000146,-0.3788379550426427
ACH-000148,-0.4898890221893865
ACH-000150,-0.5218465922777579
ACH-000152,-0.4108734745389511
ACH-000153,-0.3026214883385456
ACH-000159,-0.2901369147964707
ACH-000160,-0.5094265283376666
ACH-000163,-0.510719069868591
ACH-000167,-0.923147912210235
ACH-000168,-0.378674630629135
ACH-000169,-0.3053441114529351
ACH-000178,-0.5826730296041309
ACH-000183,-0.468157330555479
ACH-000188,-0.4200413444662445
ACH-000189,-0.7523552415629462
ACH-000190,-0.6013471151235401
ACH-000198,-0.38367237954223293
ACH-000203,-0.5085266967154528
ACH-000204,-0.5744033884514793
ACH-000206,-0.6032829857186847
ACH-000207,-0.3447886898962492
ACH-000208,-0.08425068351128373
ACH-000210,-0.7059143905184727
ACH-000211,-0.5186908959623883
ACH-000215,-0.3653312317398684
ACH-000221,-0.43919465608260216
ACH-000222,-0.3594794257031174
ACH-000223,-0.4939510377127214
ACH-000226,-0.4429660804723025
ACH-000227,-0.4831358479704242
ACH-000228,-0.5012219972996137
ACH-000231,-0.5440474735110128
ACH-000232,-0.2838097389219306
ACH-000233,-0.3190082995732183
ACH-000234,-0.4780128341993863
ACH-000235,-0.4396573181231745
ACH-000237,-0.5514758114674481
ACH-000238,-0.7426516709321866
ACH-000242,-0.2695929124281349
ACH-000243,-0.534281023367341
ACH-000244,-0.4083412959514567
ACH-000246,-0.4817564377622128
ACH-000248,-0.5007178630643482
ACH-000250,-0.4284909929617696
ACH-000251,-0.5241801905984084
ACH-000252,-0.5106608874641231
ACH-000253,-0.4811051696025733
ACH-000255,-0.3602761985407487
ACH-000256,-0.439411339433846
ACH-000257,-0.5515237131357192
ACH-000258,-0.3828721300127024
ACH-000259,-0.4988190120855141
ACH-000260,-0.4491936458131336
ACH-000261,-0.5685390648627966
ACH-000262,-0.3570985495165193
ACH-000263,-0.4364455520194671
ACH-000264,-0.6482294381885427
ACH-000265,-0.34273065899432176
ACH-000266,-0.4843971978715742
ACH-000272,-0.4256239339302129
ACH-000274,-0.4847539454016812
ACH-000277,-0.5756240657489172
ACH-000278,-0.4273567796186967
ACH-000279,-0.4171052275453158
ACH-000280,-0.4428871528333994
ACH-000281,-0.4646167125336929
ACH-000288,-0.5619467251768585
ACH-000291,-0.5044294881395563
ACH-000293,-0.32095242586464395
ACH-000294,-0.28196233568000073
ACH-000295,-0.4851984962152513
ACH-000296,-0.592988965387422
ACH-000302,-0.4516639031753259
ACH-000304,-0.5260374166772823
ACH-000307,-0.5831135424371201
ACH-000308,-0.4519011331179936
ACH-000310,-0.4324315082349195
ACH-000311,-0.4055189847127549
ACH-000312,-0.4874995553750544
ACH-000315,-0.4017797800350808
ACH-000316,-0.3151184368284569
ACH-000317,-0.5146457971544387
ACH-000318,-0.4162641262010195
ACH-000319,-0.4657737474426477
ACH-000320,-0.2490137461049673
ACH-000322,-0.398265714303873
ACH-000323,-0.36767394845001306
ACH-000324,-0.40685700351534
ACH-000329,-0.29286053616198765
ACH-000330,-0.3106980668384052
ACH-000331,-0.5679070529334395
ACH-000332,-0.4369892940051781
ACH-000334,-0.3239018130724947
ACH-000335,-0.3821641779976462
ACH-000336,-0.6430578922710797
ACH-000337,-0.5552136821278378
ACH-000338,0.14566805927654206
ACH-000339,-0.4674103546045336
ACH-000341,-0.3997653835937446
ACH-000348,-0.4405726905559765
ACH-000350,-0.27099956528402336
ACH-000352,-0.5307617595222978
ACH-000356,-0.6124216711966377
ACH-000361,-0.4885461299626657
ACH-000362,-0.40176109461094
ACH-000363,-0.4112718126423936
ACH-000364,-0.474223057289057
ACH-000365,-0.4054096823225479
ACH-000366,-0.5373337742332019
ACH-000368,-0.6534099357108827
ACH-000374,-0.3834305289564591
ACH-000375,-0.27951095900802464
ACH-000376,-0.2901196554532102
ACH-000381,-0.7299810704259407
ACH-000383,-0.5086253866565215
ACH-000387,-0.5217834035718217
ACH-000389,-0.477827421181446
ACH-000390,-0.4275265050485236
ACH-000393,-0.4817708971441744
ACH-000395,-0.5516022178784018
ACH-000396,-0.5810538212437482
ACH-000397,-0.44240150446176063
ACH-000401,-0.5011327009189568
ACH-000402,-0.4826305915087808
ACH-000403,-0.4877572014251642
ACH-000404,-0.37611764952412935
ACH-000406,-0.40215690853095776
ACH-000407,-0.3106051352635176
ACH-000408,-0.637439787337056
ACH-000410,-0.3373338247986161
ACH-000411,-0.4993389239785372
ACH-000414,-0.4211639662290857
ACH-000415,-0.3642613576925937
ACH-000416,-0.4951532305677098
ACH-000420,-0.5482792541404334
ACH-000421,-0.5695244210607945
ACH-000424,-0.25271158214202016
ACH-000425,-0.4703263005826183
ACH-000426,-0.1633676621419279
ACH-000427,-0.5162037655906397
ACH-000433,-0.5215191750714155
ACH-000435,-0.5574721871191999
ACH-000436,-0.3457776547283074
ACH-000444,-0.32475028820135904
ACH-000445,-0.6931210194330911
ACH-000448,-0.4184912924736003
ACH-000450,-0.5900193253646531
ACH-000452,-0.4335787809160913
ACH-000454,-0.3226444338006319
ACH-000458,-0.4750930194621745
ACH-000459,-0.31892506603936777
ACH-000460,-0.5363682943365847
ACH-000461,-0.3826271662621186
ACH-000463,-0.3412977335169673
ACH-000464,-0.5885064468125628
ACH-000466,-0.4874144579702322
ACH-000467,-0.43040553740032456
ACH-000468,-0.4361428422095561
ACH-000469,-0.3870890242196237
ACH-000470,-0.657900506010742
ACH-000471,-0.28104201839524634
ACH-000472,-0.5247886802598752
ACH-000473,-0.2517659278187318
ACH-000475,-0.6058707023701277
ACH-000476,-0.3089324560043358
ACH-000477,-0.4918821478369228
ACH-000479,-0.483929413665606
ACH-000480,-0.5021185829229825
ACH-000481,-0.4022257476097145
ACH-000483,-0.3603944451643944
ACH-000484,-0.25633113851384826
ACH-000485,-0.36208510805486654
ACH-000486,-0.5009734714854243
ACH-000487,-0.5306514001762056
ACH-000488,-0.3707613074552072
ACH-000490,-0.42518660892604665
ACH-000491,-0.2461796695844241
ACH-000495,-0.5195150981580282
ACH-000496,-0.4567235057494124
ACH-000499,-0.4276516345594262
ACH-000500,-0.41256474712489866
ACH-000502,-0.3513332091361722
ACH-000503,-0.43177093985580495
ACH-000505,-0.5283733547325926
ACH-000507,-0.6457750078546207
ACH-000510,-0.5568896723954293
ACH-000511,-0.4996581070165213
ACH-000512,-0.2991012627056077
ACH-000516,-0.6251685484947415
ACH-000517,-0.463355767923409
ACH-000518,-0.3579302719796945
ACH-000520,-0.4632093091239235
ACH-000521,-0.7132070781063563
ACH-000522,-0.4305417763349084
ACH-000524,-0.5694554579356563
ACH-000527,-0.43978893126889385
ACH-000528,-0.5994065157663057
ACH-000537,-0.4507660357711066
ACH-000541,-0.5137302457972002
ACH-000542,-0.4186611907828185
ACH-000544,-0.5682385763325897
ACH-000545,-0.3224037258327139
ACH-000547,-0.3965336089672295
ACH-000548,-0.4543391064872817
ACH-000549,-0.30251930762138657
ACH-000550,-0.5144159025343384
ACH-000552,-0.5151427031388587
ACH-000556,-0.333244947153488
ACH-000557,-0.3771379819994512
ACH-000569,-0.17910926668458366
ACH-000570,-0.3935610294562328
ACH-000571,-0.40758393724956943
ACH-000573,-0.6729004338833221
ACH-000576,-0.3355761665928768
ACH-000579,-0.4962807820621868
ACH-000580,-0.459640254522025
ACH-000584,-0.3972580102343709
ACH-000585,-0.5393299915448949
ACH-000588,-0.3466861142600534
ACH-000589,-0.2841311267184401
ACH-000591,-0.5870603813637932
ACH-000593,-0.5198681929353683
ACH-000600,-0.5569876858595629
ACH-000601,-0.32642122815059577
ACH-000605,-0.5200010590348989
ACH-000606,-0.26946251685580114
ACH-000608,-0.5542773341482392
ACH-000614,-0.5629137123453836
ACH-000616,-0.4153569119941603
ACH-000618,-0.5625274934760176
ACH-000619,-0.5841669758738006
ACH-000620,-0.4404841112071429
ACH-000621,-0.4902011350928772
ACH-000622,-0.37208864602776615
ACH-000623,-0.3585240096838488
ACH-000624,-0.3800564034587949
ACH-000627,-0.4558891813357541
ACH-000630,-0.39716613259818295
ACH-000631,-0.3672173618314941
ACH-000632,-0.35970369386133483
ACH-000633,-0.4184697897000005
ACH-000637,-0.6134787340341943
ACH-000638,-0.26996038864069405
ACH-000646,-0.5212122984377089
ACH-000647,-0.4836768031423213
ACH-000648,-0.3158825935120257
ACH-000649,-0.4310146813914175
ACH-000651,-0.36759186838068897
ACH-000652,-0.5962501759919929
ACH-000653,-0.4817819628754734
ACH-000657,-0.4050981402369122
ACH-000658,-0.2612507359485849
ACH-000661,-0.4009720717626348
ACH-000662,-0.5366693350911592
ACH-000663,-0.5817626094951109
ACH-000665,-0.4292039931911895
ACH-000671,-0.5080205973278206
ACH-000672,-0.6381156501338892
ACH-000673,-0.5196593325786526
ACH-000676,-0.4545528842465185
ACH-000677,-0.270999958495645
ACH-000681,-0.3406521649170689
ACH-000683,-0.2752815124502559
ACH-000684,-0.4552582879451225
ACH-000688,-0.5229473170435188
ACH-000693,-0.3010061409188325
ACH-000694,-0.47346464289137
ACH-000695,-0.4410135283730911
ACH-000696,-0.4604566090871517
ACH-000697,-0.780044963143772
ACH-000699,-0.4416308213373343
ACH-000701,-0.4592725644053408
ACH-000706,-0.4726056917032219
ACH-000711,-0.4693091064088665
ACH-000713,-0.494115352949883
ACH-000714,-0.26519677156023297
ACH-000718,-0.3023948442117704
