,TUBE1 (51175)
ACH-000004,-0.6424134098183885
ACH-000005,-0.4685310305862233
ACH-000007,-0.6347625127677519
ACH-000009,-0.5302374807276864
ACH-000011,-0.7018565203713107
ACH-000012,-0.4861339742529055
ACH-000013,-0.4160721716517733
ACH-000014,-0.7552136792800671
ACH-000015,-0.8113937316007577
ACH-000017,-0.4224059301428606
ACH-000018,-0.4732396447603044
ACH-000019,-0.3865446937303732
ACH-000021,-0.3421254704135516
ACH-000022,-0.3144264354657076
ACH-000025,-0.32734236045658993
ACH-000028,-0.6660316170668
ACH-000030,-0.4039095855109128
ACH-000035,-0.4510571518914657
ACH-000036,-0.597796917858912
ACH-000037,-0.5841600837705647
ACH-000039,-0.5400732870731996
ACH-000040,-0.554139491802385
ACH-000041,-0.3570654887319321
ACH-000042,-0.7180097638187103
ACH-000045,-0.3247332900536492
ACH-000047,-0.4247448691743375
ACH-000052,-0.5792116338578719
ACH-000053,-0.5056164153673601
ACH-000054,-0.20024649406866066
ACH-000055,-0.9291288500560976
ACH-000060,-0.4429120899911404
ACH-000067,-0.36590823764579056
ACH-000070,-0.5542149163272667
ACH-000075,-0.3103872933086179
ACH-000078,-0.8708311334482031
ACH-000082,-0.3794614935072008
ACH-000085,0.03324972090418605
ACH-000086,-0.31242066261703993
ACH-000087,-0.5481439834655836
ACH-000092,-0.4083687025576592
ACH-000095,-0.7158909534667733
ACH-000097,-0.4215463917581919
ACH-000098,-0.456257589865898
ACH-000099,-0.7315399549155608
ACH-000108,-0.3975763897903484
ACH-000113,-0.2405372975383636
ACH-000116,-0.2618898331851941
ACH-000118,-0.2503704163276375
ACH-000120,-0.7734355824614836
ACH-000123,-0.5274857531257761
ACH-000127,-0.5056827692144643
ACH-000128,-0.5394160802867837
ACH-000132,-0.5770555508592838
ACH-000133,-0.4335887595230066
ACH-000137,-0.4280422520139418
ACH-000138,-0.6537602853764771
ACH-000142,-0.3417248675258156
ACH-000143,-0.6276873003824005
ACH-000146,-0.33245613474640673
