,UBE2K (3093)
ACH-000004,-0.5079913167747561
ACH-000005,-0.2955472896471463
ACH-000007,-0.08674886024344051
ACH-000009,0.13458613896956248
ACH-000011,0.014361843967478088
ACH-000012,-0.2238738496282837
ACH-000013,-0.1320840350762274
ACH-000014,0.289906001401784
ACH-000015,-0.4487718058588999
ACH-000017,0.2675998028428898
ACH-000018,-0.2256572289935313
ACH-000019,-0.13971492285490927
ACH-000021,-0.3756258159327424
ACH-000022,-0.14233888252226284
ACH-000025,0.008853811291131945
ACH-000028,-0.2598025783532402
ACH-000030,-0.181025492117956
ACH-000035,-0.16096131956077858
ACH-000036,-0.08466667968786785
ACH-000037,-0.25153565436777936
ACH-000039,-0.6574174994091301
ACH-000040,-0.09072788064925373
ACH-000041,-0.1339774262571196
ACH-000042,-0.3558970460791194
ACH-000045,-0.5148226023905932
ACH-000047,-0.2686460222485173
ACH-000052,-0.1430971948512984
ACH-000053,-0.2979421032218367
ACH-000054,-0.12629017856379515
ACH-000055,-0.15816500774951842
ACH-000060,-0.3449744020286017
ACH-000067,-0.13073594100171426
ACH-000070,-0.08588923531599052
ACH-000075,0.008754435756874334
ACH-000078,-0.07022615628934817
ACH-000082,-0.17380136801321772
ACH-000085,-0.390156560230686
ACH-000086,-0.29350918270851784
ACH-000087,-0.04612085209261637
ACH-000092,-0.2510716066699703
ACH-000095,-0.2061438610347409
ACH-000097,0.21490062894782969
ACH-000098,-0.19511169438192874
ACH-000099,-0.2373796699092636
ACH-000108,-0.2616108155365558
ACH-000113,-0.3981903852889438
ACH-000116,-0.3047929399673967
ACH-000118,-0.5077707682014576
ACH-000120,-0.3062127311552176
ACH-000123,-0.26086265388338503
ACH-000127,-0.18561718811509534
ACH-000128,-0.25840046206667344
ACH-000132,-0.097135015083599
ACH-000133,-0.4111039112915069
ACH-000137,-0.1359391983073223
ACH-000138,-0.4595664035905435
ACH-000142,-0.3097653221595936
ACH-000143,-0.24391543845804636
ACH-000146,-0.2332991287418644
ACH-000148,-0.21562808024852995
ACH-000150,-0.03525201659294493
ACH-000152,-0.30882174731899564
ACH-000153,-0.34906543906480997
ACH-000159,-0.0293435257896751
ACH-000160,-0.2084620757290052
ACH-000163,-0.5845370370876573
ACH-000167,0.0339427179467797
ACH-000168,-0.008407218964848572
ACH-000169,-0.06230426468482425
ACH-000178,-0.28948364051850817
ACH-000183,0.09912624647052476
ACH-000188,-0.29374768206046026
ACH-000189,0.2203317024208166
ACH-000190,-0.2210447309362192
ACH-000198,-0.6904728637833366
ACH-000203,-0.5754467746853026
ACH-000204,-0.3850225081540044
ACH-000206,-0.20363721695104234
ACH-000207,-0.3881457867594314
ACH-000208,-0.2355992322852336
ACH-000210,-0.4007411098646633
ACH-000211,-0.024355127482589646
ACH-000215,-0.31511993418230894
ACH-000221,-0.2658774897605874
ACH-000222,-0.5062746095134524
ACH-000223,-0.25019941036020354
ACH-000226,-0.19569333003366787
ACH-000227,-0.14935769053226966
ACH-000228,-0.2194740707796464
ACH-000231,-0.3382384252901438
ACH-000232,0.017957405539735787
ACH-000233,-0.06374087421086791
ACH-000234,0.26021887691453705
ACH-000235,-0.25910840456698364
ACH-000237,-0.2194593603852235
ACH-000238,-0.3811013381526036
ACH-000242,-0.03433187353401758
ACH-000243,-0.2841888201298621
ACH-000244,0.6066082003859473
ACH-000246,0.08797684674627558
ACH-000248,-0.3424230050725086
ACH-000250,-0.3794731894189322
ACH-000251,-0.7511087450035483
ACH-000252,-0.1162781859053581
ACH-000253,-0.33268711914342564
ACH-000255,-0.17735719301273922
ACH-000256,-0.18603240119600373
ACH-000257,-0.4379268040827624
ACH-000258,-0.9097122784491328
ACH-000259,-0.19202276702780866
ACH-000260,-0.07988129918500025
ACH-000261,-0.3485682330542897
ACH-000262,-0.2399609957445063
ACH-000263,-0.2867013731079524
ACH-000264,-0.5194972082085005
ACH-000265,-0.2143464107496352
ACH-000266,-0.28815589160941685
ACH-000272,-0.2671563892718519
ACH-000274,0.009756494624516386
ACH-000277,-0.5048543561467946
ACH-000278,-0.13496988325114595
ACH-000279,-0.13001072266813393
ACH-000280,-0.08656610444475125
ACH-000281,-0.1163434577469642
ACH-000288,-0.21536666446178152
ACH-000291,-0.1031073875552932
ACH-000293,-0.18880831199610146
ACH-000294,-0.5424510362618113
ACH-000295,-0.4867334897809093
ACH-000296,-0.17498181841349453
ACH-000302,-0.14122563427765875
ACH-000304,-0.09565509914964612
ACH-000307,-0.2681604309290421
ACH-000308,-0.3231566082719968
ACH-000310,-0.1514057706103558
ACH-000311,-0.2211770730613364
ACH-000312,0.009969271775344164
ACH-000315,-0.16558476998937602
ACH-000316,-0.3835388124759602
ACH-000317,0.1085743322204084
ACH-000318,-0.2072079186955085
ACH-000319,-0.223172041153374
ACH-000320,-0.1199536638312536
ACH-000322,0.19482775171030506
ACH-000323,-0.20522142252939835
ACH-000324,-0.29634889208643106
ACH-000329,-0.16143749609386546
ACH-000330,-0.2976763685832163
ACH-000331,-0.2860638093211635
ACH-000332,-0.16646262402938694
ACH-000334,-0.2671671526934524
ACH-000335,-0.1020638248024406
ACH-000336,-0.3118082332135529
ACH-000337,-0.5047603684592101
ACH-000338,-0.5512484975930861
ACH-000339,-0.16963164484236687
ACH-000341,-0.05733820200131825
ACH-000348,-0.3002779353659826
ACH-000350,-0.1802259145770704
ACH-000352,-0.16566777827365312
ACH-000356,-0.2670741222585977
ACH-000361,-0.08677032663418294
ACH-000362,-0.21880718724935272
ACH-000363,-0.08683157230719125
ACH-000364,-0.4971084928777198
ACH-000365,-0.0901134766337174
ACH-000366,-0.2373566013948765
ACH-000368,-0.3345008835465403
ACH-000374,-0.19651666842273247
ACH-000375,-0.6259094162897646
ACH-000376,-0.14873904529062512
ACH-000381,-0.08797241528690743
ACH-000383,-0.2006398008972136
ACH-000387,-0.4485506715827489
ACH-000389,0.09913347079638814
ACH-000390,-0.17251367619328933
ACH-000393,-0.28744096755590937
ACH-000395,-0.5271099443747477
ACH-000396,-0.08778497979469158
ACH-000397,-0.3201196697895918
ACH-000401,-0.4408588247278496
ACH-000402,-0.4848069488816037
ACH-000403,-0.09355439585475687
ACH-000404,0.17831984832992873
ACH-000406,-0.3132028238318464
ACH-000407,-0.2554334746684651
ACH-000408,-0.1929566336234909
ACH-000410,-0.380754785077399
ACH-000411,-0.1459773169985313
ACH-000414,-0.23891713125489736
ACH-000415,-0.34213030935844224
ACH-000416,0.02277129221034748
ACH-000420,-0.12875513487599913
ACH-000421,-0.2203364328915556
ACH-000424,-0.2573880631985833
ACH-000425,-0.07565978405995448
ACH-000426,-0.5729049445297205
ACH-000427,0.08343028290224297
ACH-000433,-0.1662084339517205
ACH-000435,-0.08852820481126558
ACH-000436,-0.369541181909872
ACH-000444,-0.06716070408837113
ACH-000445,-0.15703808208081246
ACH-000448,-0.011378314062781412
ACH-000450,-0.2111083291473244
ACH-000452,-0.3116061021213297
ACH-000454,-0.4381730481792879
ACH-000458,-0.3614600730996228
ACH-000459,0.10058547868014728
ACH-000460,-0.06441001244120502
ACH-000461,-0.3848467839058908
ACH-000463,-0.3615893369988173
ACH-000464,-0.5467724063995324
ACH-000466,-0.2797248800068334
ACH-000467,-0.10035389155002228
ACH-000468,-0.3331056860998761
ACH-000469,0.20621196056996574
ACH-000470,-0.243812791852394
ACH-000471,-0.4257463546408132
ACH-000472,-0.19958005875617832
ACH-000473,-0.15295502072763725
ACH-000475,-0.14561788553657562
ACH-000476,-0.3120268091109069
ACH-000477,0.3198295432486813
ACH-000479,-0.27882114373590045
ACH-000480,-0.4443942748439376
ACH-000481,-0.12939720310295585
ACH-000483,-0.1174729897593339
ACH-000484,-0.34930060039893623
