,DSPP (1834)
ACH-000004,-0.11287474693139478
ACH-000005,0.2752723802851934
ACH-000007,-0.11429734486876665
ACH-000009,-0.06716384646277775
ACH-000011,-0.12906999985239367
ACH-000012,-0.05774077667827885
ACH-000013,-0.061875677670096337
ACH-000014,-0.0006104761859125472
ACH-000015,-0.10774892998509876
ACH-000017,-0.2797774629660408
ACH-000018,-0.2538896841028405
ACH-000019,-0.19202277285037447
ACH-000021,-0.0761291763244826
ACH-000022,0.06209642506118852
ACH-000025,-0.08009220801244879
ACH-000028,-0.20607464577401652
ACH-000030,-0.04093859437978875
ACH-000035,-0.21738800096435
ACH-000036,-0.09198896577775824
ACH-000037,-0.2896856505816485
ACH-000039,-0.17245538124144924
ACH-000040,-0.2385390466878762
ACH-000041,-0.2706063197816265
ACH-000042,-0.17075406336285984
ACH-000045,-0.13313538255657606
ACH-000047,-0.1851546040522724
ACH-000052,-0.08181151040329403
ACH-000053,-0.023095128086117703
ACH-000054,-0.024589775747126112
ACH-000055,0.1250553988098911
ACH-000060,-0.12648487916530418
ACH-000067,-0.3093692904522129
ACH-000070,-0.06402205509578893
ACH-000075,0.04410684765036694
ACH-000078,0.046248684507829714
ACH-000082,-0.190190439336596
ACH-000085,-0.11693435317526273
ACH-000086,-0.0469516482985193
ACH-000087,-0.18250804528513515
ACH-000092,0.09302756442850103
ACH-000095,-0.05504025488252006
ACH-000097,-0.07117898421750353
ACH-000098,-0.10603755254558528
ACH-000099,-0.008460514494440708
ACH-000108,-0.17290714228472326
ACH-000113,0.035993949122686116
ACH-000116,-0.013446825373864634
ACH-000118,-0.08639445234052841
ACH-000120,-0.09068943346977636
ACH-000123,-0.03936263399961771
ACH-000127,-0.08986683134879102
ACH-000128,-0.23932598778644534
ACH-000132,0.08136308389051408
ACH-000133,0.007676213616698574
ACH-000137,-0.1928541849517657
ACH-000138,-0.0742411072961169
ACH-000142,0.02990162630760098
ACH-000143,-0.2313698300880008
ACH-000146,0.09157551543912207
ACH-000148,0.004927331747988915
ACH-000150,-0.13600920684187445
ACH-000152,-0.04602857223579869
ACH-000153,-0.15157555890637806
ACH-000159,-0.06861672480448781
ACH-000160,-0.07914341948257511
ACH-000163,-0.15219214073654974
