,IPO9 (55705)
ACH-000210,-0.4609344475528949
ACH-000211,-0.5524015627468809
ACH-000215,-0.5773740926624661
ACH-000221,-0.5147661663415332
ACH-000222,-0.8781655852245847
ACH-000223,-0.6849104930081225
ACH-000226,-0.5353692511231166
ACH-000227,-0.6634645583305229
ACH-000228,-0.6510805956205008
ACH-000231,-0.828004109293256
ACH-000232,-0.7700352596765113
ACH-000233,-0.5150294894689458
ACH-000234,-0.9647197647236028
ACH-000235,-0.8009009673092231
ACH-000237,-0.9434185746560754
ACH-000238,-0.7819659024590533
ACH-000242,-0.6916262884508645
ACH-000243,-0.9007452268975508
ACH-000244,-0.9850639442274942
ACH-000246,-1.0651263123683812
ACH-000248,-0.6994181370827638
ACH-000250,-0.7935189003725269
ACH-000251,-1.010606644967715
ACH-000252,-0.5407652434318322
ACH-000253,-0.8557853101547476
ACH-000255,-0.9540310783306538
ACH-000256,-0.5085943070585298
ACH-000257,-0.4774660138323611
ACH-000258,-0.3945083582563295
ACH-000259,-0.5633041712141906
ACH-000260,-0.6997202347877793
ACH-000261,-0.8287218167857383
ACH-000262,-0.7620761243041604
ACH-000263,-0.6339570781388087
ACH-000264,-0.8920291621094143
ACH-000265,-0.7154597998125124
ACH-000266,-0.6195943181476249
ACH-000272,-0.6701072782155454
ACH-000274,-0.9928621615216832
ACH-000277,-0.862870921517852
ACH-000278,-0.623114698911822
ACH-000279,-0.571177103710699
ACH-000280,-0.8733387392085636
ACH-000281,-0.8229683573895816
ACH-000288,-0.9737828299317238
ACH-000291,-0.7068043546362172
ACH-000293,-0.7062418852819594
ACH-000294,-0.8299017213831207
ACH-000295,-0.8278064192418287
ACH-000296,-0.4714024180201721
ACH-000302,-0.4998629920970577
ACH-000304,-1.1213454854865
ACH-000307,-1.002818064862126
ACH-000308,-0.6676017017138569
ACH-000310,-0.3094402789980445
ACH-000311,-0.7879663289144798
ACH-000312,-0.7902865539431245
ACH-000315,-0.9853863586833784
ACH-000316,-1.1322657260382758
ACH-000317,-1.117729131747397
ACH-000318,-0.8449490628827505
ACH-000319,-0.615413866404143
ACH-000320,-0.6581609302086494
ACH-000322,-0.9169229542609524
ACH-000323,-0.7216964898319409
ACH-000324,-0.6653837523639065
ACH-000329,-0.4251705172564172
ACH-000330,-0.8668924926305241
ACH-000331,-0.9791641847392226
ACH-000332,-1.0881681544358166
ACH-000334,-0.32237900955298177
ACH-000335,-1.1723498905105492
ACH-000336,-0.8665325159965925
ACH-000337,-0.9821259693336888
ACH-000338,-1.1060034192664054
ACH-000339,-0.5928686813457669
ACH-000341,-0.7215722222347537
ACH-000348,-0.7078675253863316
ACH-000350,-0.5368559425549373
ACH-000352,-0.848743408198448
ACH-000356,-0.9203852588777198
ACH-000361,-1.1816319097709842
ACH-000362,-0.8189489800567797
ACH-000363,-0.7095803787137842
ACH-000364,-1.0434062967512103
ACH-000365,-0.37239320773651335
ACH-000366,-0.7208323552053505
ACH-000368,-0.6282691899792311
ACH-000374,-0.8600558757672446
ACH-000375,-0.7479273336281805
ACH-000376,-0.8318278888342594
ACH-000381,-0.8620793918568117
ACH-000383,-0.5115897693463981
ACH-000387,-0.9039392934178104
ACH-000389,-0.8235593514318269
ACH-000390,-0.7037787591477432
ACH-000393,-0.6002187403258642
ACH-000395,-0.4590026264525149
ACH-000396,-1.0560001521120157
ACH-000397,-0.7590552511584062
ACH-000401,-0.6293397373467607
ACH-000402,-0.6337094628337595
ACH-000403,-0.4154709577555616
ACH-000404,-0.9254621238229459
ACH-000406,-0.761480681272686
ACH-000407,-0.6983685663855022
ACH-000408,-0.9819997563510879
ACH-000410,-0.8350639015637207
ACH-000411,-0.9235263357769392
ACH-000414,-0.7586705417227536
ACH-000415,-1.0821545307347429
ACH-000416,-0.8288920368067109
ACH-000420,-0.6499580700791997
ACH-000421,-0.8453484487074588
ACH-000424,-0.929774321425942
ACH-000425,-0.7369451158458314
ACH-000426,-1.0219747657293516
ACH-000427,-0.8145508355464449
ACH-000433,-0.8197978752563241
ACH-000435,-0.8387336989469495
ACH-000436,-0.9074245069649666
ACH-000444,-1.1145388310239421
ACH-000445,-0.5926498739138821
ACH-000448,-0.824897053572941
ACH-000450,-0.9573501228015634
ACH-000452,-0.8627610045253719
ACH-000454,-0.9643286117771444
ACH-000458,-1.0495310229734387
ACH-000459,-0.8746485519306597
ACH-000460,-0.6993236597808952
ACH-000461,-0.6734253274742872
ACH-000463,-0.7566600423330393
ACH-000464,-0.9241307960028166
ACH-000466,-0.7779532294692094
ACH-000467,-0.7748626880058996
ACH-000468,-0.8527204038636969
ACH-000469,-0.6553054258418318
ACH-000470,-0.4205927048684587
ACH-000471,-0.6538655703419838
ACH-000472,-0.6109655046992584
ACH-000473,-0.8515288568115481
ACH-000475,-0.5995129396938152
ACH-000476,-0.30654660463531025
ACH-000477,-0.8640539876420509
ACH-000479,-0.530625209212215
ACH-000480,-0.7285042401207128
ACH-000481,-0.601495032029791
ACH-000483,-0.651002134866805
ACH-000484,-0.4509791423520929
ACH-000485,-0.950402156046026
ACH-000486,-0.9768286405967443
ACH-000487,-0.6577245706702624
ACH-000488,-0.7325663582492574
ACH-000490,-0.7722493856911841
ACH-000491,-0.4831821383024364
ACH-000495,-0.8245215401906422
ACH-000496,-0.9016754901990379
ACH-000499,-0.7515219553454663
ACH-000500,-0.6964542722045632
ACH-000502,-0.8947150468971509
ACH-000503,-0.6909858109842559
ACH-000505,-0.8123281168999862
ACH-000507,-0.8232563117661519
ACH-000510,-0.7976718920599245
ACH-000511,-0.8618514137353821
ACH-000512,-0.7861458907097637
ACH-000516,-1.1145405158407409
ACH-000517,-0.7824789500229549
ACH-000518,-1.0087153291829671
ACH-000520,-0.6565588529066806
ACH-000521,-1.0179726809086096
ACH-000522,-0.9841464899922512
ACH-000524,-0.7517531456564088
ACH-000527,-0.9549581022950202
ACH-000528,-0.8455729036930804
ACH-000537,-1.1107947364982858
ACH-000541,-0.8496313991946578
ACH-000542,-1.0427417470225122
ACH-000544,-1.1561538275055956
ACH-000545,-1.1054136463444904
ACH-000547,-0.9728041541480984
ACH-000548,-0.7793016404379972
ACH-000549,-0.7668903626648103
ACH-000550,-1.057181837457367
ACH-000552,-0.5841872218679969
ACH-000556,-0.3896296612967117
ACH-000557,-0.7682621874167499
ACH-000569,-0.8815767882541637
ACH-000570,-0.7033304772645455
ACH-000571,-0.6591623709291888
ACH-000573,-0.4890622706880207
ACH-000576,-0.9105144583521084
ACH-000579,-1.0989137404722094
ACH-000580,-1.0371528795184053
ACH-000584,-0.8372685144682668
ACH-000585,-0.9662044696901604
ACH-000588,-1.0287019969356679
ACH-000589,-0.8102118555260067
ACH-000591,-0.8042804844417496
ACH-000593,-0.7348325451022025
ACH-000600,-0.6276188378497712
ACH-000601,-0.7620792152394317
ACH-000605,-1.185591722624967
ACH-000606,-1.0858996810575738
ACH-000608,-0.5020020258632736
ACH-000614,-1.1444347201627652
ACH-000616,-0.6333476329663493
ACH-000618,-1.0938248217537403
ACH-000619,-1.0078546517386244
ACH-000620,-0.8648533080361639
ACH-000621,-0.4699801437806018
ACH-000622,-0.4613999394198519
ACH-000623,-0.6147065513792994
ACH-000624,-0.6060603827468093
ACH-000627,-1.0145296799641892
ACH-000630,-0.7974488360935594
ACH-000631,-1.080793145110552
ACH-000632,-0.8121286171414851
ACH-000633,-0.5109800502871008
ACH-000637,-0.7012656947532037
ACH-000638,-0.8687344630114542
ACH-000646,-0.7444450851771208
ACH-000647,-0.5854036461510895
ACH-000648,-0.4350947809275562
ACH-000649,-0.9052024566155052
ACH-000651,-0.5970364695810476
ACH-000652,-0.9882496511411744
ACH-000653,-0.7332287323614659
ACH-000657,-0.8025725733863163
