,YAP1 (10413)
ACH-000004,-0.10132560560591844
ACH-000005,-0.20384191413151526
ACH-000007,-0.5782990588551661
ACH-000009,-0.3924835497963156
ACH-000011,-0.12075200677668853
ACH-000012,-0.004523729753708833
ACH-000013,-0.20539736203956524
ACH-000014,0.04194107063143608
ACH-000015,-0.3768193162221764
ACH-000017,-0.6206560171677028
ACH-000018,-0.3949292418524965
ACH-000019,-0.270348180546915
ACH-000021,-0.9160621508170129
ACH-000022,-0.3323521934788433
ACH-000025,-0.16957838016285515
ACH-000028,-0.21835737822085974
ACH-000030,-0.17846755151482105
ACH-000035,-0.2129943231166658
ACH-000036,-0.12030781451972801
ACH-000037,-0.07749852524108247
ACH-000039,0.01473976794661563
ACH-000040,-0.2504315374409121
ACH-000041,-0.047460687281341264
ACH-000042,-0.2035634342411688
ACH-000045,-0.3333758760459776
ACH-000047,-0.21619411929339274
ACH-000052,-0.17289910379373585
ACH-000053,-0.10949594571180728
ACH-000054,-0.14429542928864064
ACH-000055,0.0007618852371819467
ACH-000060,-0.15863207746195754
ACH-000067,-0.43583355234607496
ACH-000070,-0.1427854163324809
ACH-000075,-0.05481563805520282
ACH-000078,-0.17557072911769722
ACH-000082,-0.2665205687053319
ACH-000085,-0.31096310502231306
ACH-000086,-0.4756301863569813
ACH-000087,-0.2893276981531087
ACH-000092,-0.2923799224749645
ACH-000095,-0.15336835312303762
ACH-000097,-0.6080553551938235
ACH-000098,-0.23132652787939176
ACH-000099,-0.13634035295784208
ACH-000108,-0.25670824434533346
ACH-000113,-0.19384307202067225
ACH-000116,-0.6674485062954345
ACH-000118,0.010492455487991395
ACH-000120,-0.15011306223752938
ACH-000123,-0.1982865214925428
ACH-000127,-0.2574863066429188
ACH-000128,-0.2381857572136148
ACH-000132,-0.9169206385761242
ACH-000133,-0.25672972618449713
ACH-000137,-0.13236784207788185
ACH-000138,0.06237133779048281
ACH-000142,-0.4451013386873048
ACH-000143,-0.06543614303609639
ACH-000146,-0.033785958544313564
ACH-000148,-0.15409072071946214
ACH-000150,-0.42452594898859775
ACH-000152,-0.4641663191722114
ACH-000153,-0.8920705341993361
ACH-000159,-0.07730654398269228
ACH-000160,0.15123195189026567
ACH-000163,-0.10846537413639888
ACH-000167,0.23092265060808045
ACH-000168,-0.11507877147966415
ACH-000169,-0.19900781374930945
ACH-000178,-0.2540362637396712
ACH-000183,-0.23385155336863175
ACH-000188,-0.5193201569805234
ACH-000189,-0.13475954883473426
ACH-000190,0.02990534161587325
ACH-000198,-0.22990729644190175
ACH-000203,-0.06224343877113876
ACH-000204,-0.15552080319016034
ACH-000206,-0.0782302782563807
ACH-000207,-0.2828027770586912
ACH-000208,-0.4674444250118951
ACH-000210,0.025161940097147062
ACH-000211,-0.09837889896752093
ACH-000215,-0.23242294653223014
