,PSENEN (55851)
ACH-000004,0.06972133630122641
ACH-000005,0.061667341374717966
ACH-000007,-0.20004655590930984
ACH-000009,0.04639418807812929
ACH-000011,-0.31615223541869925
ACH-000012,-0.18158296914082744
ACH-000013,-0.4857753351053822
ACH-000014,-0.18208674458314703
ACH-000015,-0.27135229271612943
ACH-000017,-0.0023354486204983462
ACH-000018,-0.1927566315901819
ACH-000019,-0.12727821685095578
ACH-000021,-0.1378136314454053
ACH-000022,-0.2167645704437629
ACH-000025,-0.03844327032809526
ACH-000028,0.01709636610278946
ACH-000030,-0.024531319945573792
ACH-000035,-0.12438376284740248
ACH-000036,0.9180966714901484
ACH-000037,-0.06633013414342433
ACH-000039,-0.012566621852135628
ACH-000040,-0.011049609902453591
ACH-000041,-0.09756966485923299
ACH-000042,-0.3060427644617093
ACH-000045,-0.02962896624962905
ACH-000047,-0.04434200686536829
ACH-000052,-0.3211590835982977
ACH-000053,-0.30686250547360866
ACH-000054,0.0030838465144049838
ACH-000055,-0.05781950910995786
ACH-000060,-0.13762804263179962
ACH-000067,-0.015162474087443346
ACH-000070,-0.1378845860754046
ACH-000075,-0.04371794151461541
ACH-000078,-0.08788507516195149
ACH-000082,-0.199233811266852
ACH-000085,-0.1672725646630366
ACH-000086,-0.12886896123823807
ACH-000087,-0.1973875417398028
ACH-000092,-0.10794171052476426
ACH-000095,-0.06492049373641727
ACH-000097,0.02823759240760848
ACH-000098,0.08170917767178243
ACH-000099,-0.13390272960285365
ACH-000108,-0.2568289569483966
ACH-000113,-0.03757667915827414
ACH-000116,-0.10131115719526136
ACH-000118,0.061144886691086114
ACH-000120,-0.19414642560366746
ACH-000123,-0.22146565036576105
ACH-000127,-0.023921472718977915
ACH-000128,-0.033113765329805464
ACH-000132,0.14058359126863876
ACH-000133,-0.08799355774685835
ACH-000137,-0.3568728004662203
ACH-000138,-0.1818337619689248
ACH-000142,-0.4167814727412735
ACH-000143,0.0874315460404069
ACH-000146,-0.2120764409032842
ACH-000148,0.18362714773300826
ACH-000150,0.0960610464962539
ACH-000152,0.053083494111664485
