,ATMIN (23300)
ACH-000004,-0.3893207735542609
ACH-000005,-0.7281719276968643
ACH-000007,-0.40874844898027785
ACH-000009,-0.34489898042143
ACH-000011,-0.5927929306233485
ACH-000012,-0.34374562187882496
ACH-000013,-0.061542517836298286
ACH-000014,-0.11549928048801465
ACH-000015,-0.13882606117048804
ACH-000017,-0.06954892378657676
ACH-000018,-0.4558469523910985
ACH-000019,-0.3138746547698764
ACH-000021,-0.27947038304932914
ACH-000022,-0.3071621351073183
ACH-000025,-0.5833423475240679
ACH-000028,-0.0518503354973819
ACH-000030,-0.15957756927183944
ACH-000035,-0.3172980609456808
ACH-000036,-0.15072980633174887
ACH-000037,-0.4507557771240262
ACH-000039,-0.19076867783397586
ACH-000040,-0.5547211563001533
ACH-000041,-0.09231348746784107
ACH-000042,-0.3378851413236441
ACH-000045,-0.18695650419283796
ACH-000047,-0.3416541948069093
ACH-000052,-0.3701295191169212
ACH-000053,0.0667701085722329
ACH-000054,-0.40717685708018375
ACH-000055,-0.3022841889233687
ACH-000060,-0.6491255682590155
ACH-000067,-0.264753948674883
ACH-000070,-0.4514258889558557
ACH-000075,-0.537133409568458
ACH-000078,0.0067587837088209975
ACH-000082,-0.380210148402154
ACH-000085,-0.3934779985565315
ACH-000086,-0.6096501664953771
ACH-000087,-0.3693457195193844
ACH-000092,-0.3579582894104505
ACH-000095,-0.2312796531224359
ACH-000097,-0.043098377185765945
ACH-000098,-0.3547900442816314
ACH-000099,-0.12832698038911966
ACH-000108,-0.4619357658103493
ACH-000113,-0.4764741148955888
ACH-000116,-0.2529989995275997
ACH-000118,-0.2514864025075648
ACH-000120,-0.31705578743662605
ACH-000123,-0.31823063614285835
ACH-000127,-0.2284929600778297
ACH-000128,-0.1252142849764558
ACH-000132,-0.16662481929993056
ACH-000133,-0.39252776301417136
ACH-000137,-0.4541276715143766
ACH-000138,-0.26160090907360994
ACH-000142,-0.1843545563148475
ACH-000143,-0.3325524586531784
ACH-000146,-0.2531736861552851
ACH-000148,-0.4778694717177492
ACH-000150,-0.381796582108761
ACH-000152,-0.3910833121813685
ACH-000153,-0.5075166033031768
ACH-000159,-0.15757482601039985
ACH-000160,-0.4341509365283564
ACH-000163,-0.3681202204836336
ACH-000167,-0.34702031365800184
ACH-000168,-0.5537354351364069
ACH-000169,-0.28437484281547737
ACH-000178,-0.5404355576999587
ACH-000183,-0.10667803364985523
ACH-000188,-0.19562887943338847
ACH-000189,-0.055263027339075614
ACH-000190,-0.2923512880473001
ACH-000198,-0.13175878072453587
ACH-000203,-0.2919567198662116
ACH-000204,-0.4091431679279053
ACH-000206,-0.26029815673040696
ACH-000207,-0.31306101490062616
ACH-000208,-0.6153731439736189
ACH-000210,-0.32659186638001136
ACH-000211,-0.3474689084985637
ACH-000215,-0.32053196742292145
ACH-000221,-0.4165485078648258
ACH-000222,-0.4045741361614973
ACH-000223,-0.16664934737985934
ACH-000226,-0.531961060383924
ACH-000227,-0.20463574699356807
ACH-000228,-0.3674428312269606
ACH-000231,-0.6011953473801984
ACH-000232,-0.538838849064788
ACH-000233,-0.24009329681114394
ACH-000234,-0.17498739779069022
ACH-000235,-0.3688439149265169
ACH-000237,-0.6308185624990305
ACH-000238,-0.7023728207977684
ACH-000242,-0.7863635684278555
ACH-000243,-0.2020382629530378
ACH-000244,-0.4862744424357922
ACH-000246,-0.009598577721517223
ACH-000248,-0.5722361457275573
ACH-000250,-0.6674038056180017
ACH-000251,-0.24367210295206845
ACH-000252,-0.3100422719549573
ACH-000253,-0.27846405970992266
ACH-000255,-0.06668082777408274
ACH-000256,-0.2637824724445573
ACH-000257,-0.1352737027018298
ACH-000258,-0.3702638721852632
ACH-000259,-0.3258998676209637
ACH-000260,-0.3603407414426713
ACH-000261,-0.3132423261208197
ACH-000262,-0.4758985281228648
ACH-000263,-0.21422228182823072
ACH-000264,-0.4672552906377796
ACH-000265,-0.2003266928880304
ACH-000266,-0.5793668943786049
ACH-000272,-0.1274232883799388
ACH-000274,-0.16468181461281414
ACH-000277,-0.4751227126021472
ACH-000278,-0.3283095477670964
ACH-000279,-0.2365757778546673
ACH-000280,-0.21521849062601067
ACH-000281,-0.577546167350639
ACH-000288,-0.4658169858498444
ACH-000291,-0.12177699808978926
ACH-000293,-0.03937397573173704
ACH-000294,-0.4106234105437449
ACH-000295,-0.16123891018083533
ACH-000296,-0.34973459258868783
ACH-000302,-0.06422279800272042
ACH-000304,-0.4201407083836489
ACH-000307,-0.2281187229709008
ACH-000308,-0.190640345412692
ACH-000310,-0.11454499733081536
ACH-000311,-0.39571259498658096
ACH-000312,-0.4997645734447659
ACH-000315,-0.3640553715301351
ACH-000316,-0.498837987981677
ACH-000317,-0.2625689775860035
ACH-000318,-0.35329782904448825
ACH-000319,-0.3869145631888741
ACH-000320,-0.3058461071513825
ACH-000322,-0.27012279602243805
ACH-000323,-0.21893950743056315
ACH-000324,-0.4204554987285463
ACH-000329,-0.4041003495876772
ACH-000330,-0.29208724463709834
ACH-000331,-0.3646542105579426
ACH-000332,-0.3983487360522139
ACH-000334,-0.8087834466445989
ACH-000335,-0.3919816354177414
ACH-000336,-0.14790843050487268
ACH-000337,-0.38120142710412935
ACH-000338,-0.06827566203720745
ACH-000339,-0.44423469005761995
ACH-000341,-0.4785918560317036
ACH-000348,-0.2509003402355479
ACH-000350,-0.04486565355009437
ACH-000352,-0.30886277358557457
ACH-000356,-0.4338993921504367
ACH-000361,-0.7275218418325099
ACH-000362,-0.3308340635523776
ACH-000363,-0.15527691494142354
ACH-000364,-0.44711310016872574
ACH-000365,0.12823435364054447
ACH-000366,-0.25438716517316906
ACH-000368,-0.3942481024194741
ACH-000374,-0.14681062157110786
ACH-000375,-0.40130976607839697
ACH-000376,-0.15967608120213184
ACH-000381,-0.2709205372469972
ACH-000383,-0.3240873537793761
ACH-000387,-0.21996939885214373
ACH-000389,-0.24418856963039776
ACH-000390,-0.2330946907132488
ACH-000393,-0.3962784513401351
ACH-000395,-0.5107459463785738
ACH-000396,-0.4282791798949664
ACH-000397,-0.4161540368072287
ACH-000401,-0.4598726069377188
ACH-000402,-0.4614250936362014
ACH-000403,-0.20258459190821212
