,CRB2 (286204)
ACH-000004,-0.1552559275890679
ACH-000005,0.013270057080747941
ACH-000007,-0.2215535594982311
ACH-000009,-0.14147365125293065
ACH-000011,-0.2135851750776584
ACH-000012,-0.19202415206674686
ACH-000013,-0.188332625177478
ACH-000014,-0.2017179830087356
ACH-000015,-0.20016119400981847
ACH-000017,-0.200885885319024
ACH-000018,-0.1602959745040854
ACH-000019,-0.03782934577120013
ACH-000021,-0.27392170147638073
ACH-000022,-0.17432117820950827
ACH-000025,-0.15405572879653562
ACH-000028,-0.0994012912365418
ACH-000030,-0.18665227052629105
ACH-000035,-0.18982412953948813
ACH-000036,-0.2287110963869352
ACH-000037,-0.006804696400397321
ACH-000039,-0.3030892475446629
ACH-000040,-0.17027424308720668
ACH-000041,-0.26381381152293704
ACH-000042,-0.2316614759149754
ACH-000045,-0.012783000825098464
ACH-000047,-0.2267167638072518
ACH-000052,-0.2343226810345341
ACH-000053,-0.050603494974737234
ACH-000054,-0.19340817936158344
ACH-000055,-0.16739405639317265
ACH-000060,-0.20972765039953864
ACH-000067,-0.05496512329774094
ACH-000070,0.014515663471466794
ACH-000075,-0.5174794692143129
ACH-000078,-0.2551985726096533
ACH-000082,-0.16329457223217442
ACH-000085,-0.09553326268724914
ACH-000086,-0.2621512616143177
ACH-000087,-0.34565122247038216
ACH-000092,-0.15959752234716634
ACH-000095,-0.15037100493818606
ACH-000097,-0.19314820253155845
ACH-000098,-0.10991391280606716
ACH-000099,-0.09686453485902034
ACH-000108,-0.22595101174249765
ACH-000113,-0.23473685417537554
ACH-000116,-0.20546563216526692
ACH-000118,-0.1889926017466801
ACH-000120,-0.20037499323159727
ACH-000123,-0.2351642838134729
ACH-000127,-0.13272705923438885
ACH-000128,-0.12586008543777638
ACH-000132,0.012568471766198849
ACH-000133,-0.1971197401121744
ACH-000137,-0.20844848807184707
ACH-000138,-0.10493619897329667
ACH-000142,-0.23665270684640174
ACH-000143,-0.1878001958821474
ACH-000146,-0.1487201245585586
ACH-000148,-0.1977234885338536
ACH-000150,-0.013278878775160036
ACH-000152,-0.2654874530882296
ACH-000153,0.18464453844327047
ACH-000159,-0.06227726131757904
ACH-000160,-0.30186038016875943
ACH-000163,-0.15551778749010653
ACH-000167,-0.036004277467842044
ACH-000168,-0.09051884097145747
ACH-000169,-0.15364427895986618
ACH-000178,-0.2146351684146714
ACH-000183,-0.13785590526569774
ACH-000188,-0.2604938716495057
ACH-000189,-0.4039782493367546
ACH-000190,-0.2576680529155016
ACH-000198,-0.08220180573621579
ACH-000203,0.00704463261400661
ACH-000204,-0.2583974113540159
ACH-000206,-0.2420480807587703
ACH-000207,-0.27506284245448803
ACH-000208,-0.4358563043400839
ACH-000210,-0.008424845853720872
ACH-000211,-0.16737368237226194
ACH-000215,-0.187011358415944
ACH-000221,-0.27474305004353045
ACH-000222,-0.3545564766661247
ACH-000223,-0.18200103651889088
ACH-000226,-0.4075302293467423
ACH-000227,-0.2929447570328726
ACH-000228,0.07142075336934052
ACH-000231,-0.17686140552081628
ACH-000232,-0.21367857351693295
ACH-000233,-0.25518780640902616
ACH-000234,-0.1835206322590497
ACH-000235,-0.14111207708190654
ACH-000237,-0.1943433648236729
ACH-000238,-0.1848093549215556
ACH-000242,-0.25144904660996004
ACH-000243,-0.1014607952167596
ACH-000244,-0.14734933993874824
ACH-000246,-0.07562537100396848
ACH-000248,-0.1481311570611138
ACH-000250,-0.2331995539665965
ACH-000251,0.11577137218419906
ACH-000252,-0.1820796671605496
ACH-000253,-0.1924351391217012
ACH-000255,-0.2476521179768033
ACH-000256,-0.3254941152408596
ACH-000257,-0.07942661534340516
ACH-000258,-0.2651818864993077
ACH-000259,-0.19048723905630746
ACH-000260,-0.2258814461024008
ACH-000261,-0.0651734489699018
ACH-000262,-0.11643123395327686
ACH-000263,0.10495911073204588
ACH-000264,-0.20843870347533214
ACH-000265,-0.08813701327751425
ACH-000266,-0.16821452532379047
ACH-000272,-0.09126727706147973
ACH-000274,-0.26453049418712515
ACH-000277,-0.24418778429112714
ACH-000278,-0.2199643085707804
ACH-000279,-0.16299400636023745
ACH-000280,-0.2616517900639686
ACH-000281,-0.19416186842348954
ACH-000288,-0.0952383293320023
ACH-000291,-0.018402159596393925
ACH-000293,-0.2209173704546632
ACH-000294,-0.11340554438401647
ACH-000295,-0.010789226767381872
ACH-000296,-0.10626069446531823
ACH-000302,-0.2727548206268263
ACH-000304,-0.24879455117249066
ACH-000307,-0.05363664190681623
ACH-000308,-0.13988411001058154
ACH-000310,-0.16978692079569765
ACH-000311,-0.0897483611805859
ACH-000312,-0.09192329482009724
ACH-000315,-0.4970869291840109
ACH-000316,-0.3469211171414156
ACH-000317,-0.19293707965181256
ACH-000318,-0.17724389427744985
ACH-000319,-0.2385204149187615
ACH-000320,-0.1764707208851767
ACH-000322,-0.3072259393379779
ACH-000323,-0.27422147829284715
ACH-000324,-0.23276343563086
ACH-000329,-0.1944476529684755
ACH-000330,-0.18964307389847526
ACH-000331,-0.7319277724704214
ACH-000332,-0.1108304007365014
ACH-000334,-0.055193072269796084
