,ANGEL2 (90806)
ACH-000004,0.12288477870406532
ACH-000005,0.013089819794160486
ACH-000007,-0.043346575186538096
ACH-000009,-0.17617604470685616
ACH-000011,-0.008295402076486555
ACH-000012,-0.0205861714536605
ACH-000013,-0.08253073412046869
ACH-000014,-0.07211654867536994
ACH-000015,-0.049338921198111986
ACH-000017,0.0036404818302500017
ACH-000018,-0.13521139444491995
ACH-000019,0.11661245826304095
ACH-000021,-0.017453449695876155
ACH-000022,0.04589303731556158
ACH-000025,-0.1828556584631885
ACH-000028,-0.07096683103572272
ACH-000030,0.030236837982254707
ACH-000035,-0.0133431252820441
ACH-000036,0.0306171153353892
ACH-000037,-0.2531260894118005
ACH-000039,-0.004573941329685467
ACH-000040,-0.05720941970442646
ACH-000041,0.07212524199013122
ACH-000042,-0.05268828320052223
ACH-000045,-0.17149337399426853
ACH-000047,0.08607576624229532
ACH-000052,-0.04191482674011985
ACH-000053,-0.014995120798990309
ACH-000054,0.024436805147453257
ACH-000055,-0.004321791986964376
ACH-000060,0.07443022287089948
ACH-000067,0.03279889103364954
ACH-000070,0.021321371945159484
ACH-000075,-0.17655888647280935
ACH-000078,-0.03869555798867273
ACH-000082,-0.12727113121480693
ACH-000085,0.08789147262609902
ACH-000086,-0.11072735960932116
ACH-000087,-0.1808397642081808
ACH-000092,-0.08826200296440352
ACH-000095,-0.08590482997834176
ACH-000097,0.020470644413516238
ACH-000098,-0.031913466078234004
ACH-000099,0.033805829296619634
ACH-000108,0.013610228903030316
ACH-000113,-0.18817353322647196
ACH-000116,0.03416244805766565
ACH-000118,0.057868648554109677
ACH-000120,0.06316342619799882
ACH-000123,-0.010612885220932976
ACH-000127,-0.016606991702469133
ACH-000128,-0.015363112932594812
ACH-000132,-0.2311856281296937
ACH-000133,-0.04741113046966832
ACH-000137,0.01978822949421851
ACH-000138,-0.008153131576871746
ACH-000142,0.020030156201560626
ACH-000143,0.108482703178731
ACH-000146,0.013845753211815434
ACH-000148,-0.09183983842847834
ACH-000150,0.11849744594877153
ACH-000152,-0.0938756165187282
ACH-000153,-0.05651084645121264
ACH-000159,-0.08046089843131463
ACH-000160,-0.2051568670292572
ACH-000163,-0.07174029950777518
ACH-000167,-0.3162297799987805
ACH-000168,-0.001490721128825536
ACH-000169,-0.034881278724349665
ACH-000178,-0.06144195886377505
ACH-000183,0.045545534625940604
ACH-000188,-0.10110768551437553
ACH-000189,-0.0668330907657737
ACH-000190,-0.1330337191433542
ACH-000198,-0.09236187996764847
ACH-000203,0.11867970696822824
ACH-000204,-0.3138203983824229
ACH-000206,-0.14163353994415592
ACH-000207,-0.12111915688011833
ACH-000208,-0.2612366891910258
ACH-000210,-0.009825386404584418
ACH-000211,-0.0326116284231175
ACH-000215,-0.03430875121838533
ACH-000221,-0.05333542389432873
ACH-000222,-0.04151617241158718
ACH-000223,-0.02335513454457548
ACH-000226,-0.1704160586194568
ACH-000227,-0.09301619497656974
ACH-000228,-0.06405861331180235
ACH-000231,-0.07015272835276729
ACH-000232,-0.03441942006673936
ACH-000233,-0.1548540941689551
ACH-000234,-0.034467445622428566
ACH-000235,-0.043136181895340166
ACH-000237,-0.013874436045934344
ACH-000238,0.07662339795231138
ACH-000242,-0.33997025901136224
ACH-000243,-0.03181898616535138
ACH-000244,-0.03221828607558421
ACH-000246,-0.0402696978485029
ACH-000248,-0.10240684489942592
ACH-000250,-0.06805291616339165
ACH-000251,-0.03786162376438426
ACH-000252,0.12402436290948303
ACH-000253,-0.03462312097739705
ACH-000255,0.009937260373049294
ACH-000256,-0.09829004430869827
ACH-000257,-0.12602190846008116
ACH-000258,-0.08696944958552444
ACH-000259,0.007737909032422127
ACH-000260,-0.039668765705118916
ACH-000261,-0.08187994830929166
ACH-000262,0.08947410079202796
ACH-000263,-0.220898858801587
ACH-000264,-0.03941669597925206
ACH-000265,0.09735363026703282
ACH-000266,-0.06360011926157629
ACH-000272,-0.16176165549254728
ACH-000274,-0.11751721681891203
ACH-000277,0.02093152901096151
ACH-000278,0.07456979600468618
ACH-000279,0.033636009180745434
ACH-000280,0.10888748806577724
ACH-000281,-0.10129811175816474
ACH-000288,0.010321174840103748
ACH-000291,-0.021086897564804974
ACH-000293,-0.035135084944855365
