,FLII (2314)
ACH-000004,-0.5222616856724768
ACH-000005,-0.17099656351151274
ACH-000007,-0.5888067986942773
ACH-000009,-0.4671934686757369
ACH-000011,-0.3531294032907133
ACH-000012,-0.3010034560368377
ACH-000013,-0.4739105767299636
ACH-000014,-0.19524824492959827
ACH-000015,-0.3448617002510729
ACH-000017,-0.5398185642671571
ACH-000018,-0.4983874878312726
ACH-000019,-0.2944344460341577
ACH-000021,-0.3807493793972218
ACH-000022,-0.6691745275319217
ACH-000025,-0.6400222026824675
ACH-000028,-0.006255959158327065
ACH-000030,-0.4048305784356311
ACH-000035,-0.5084603074948167
ACH-000036,-0.3631167217092242
ACH-000037,-0.5623671060070378
ACH-000039,-0.3151017010669514
ACH-000040,-0.2557542274757058
ACH-000041,-0.4686246551312909
ACH-000042,-0.8431192328606519
ACH-000045,-0.3467416423295919
ACH-000047,-0.7147315846406359
ACH-000052,-0.5452945503232526
ACH-000053,-0.5435728652024611
ACH-000054,-0.08427957704237911
ACH-000055,-0.17756999966241088
ACH-000060,-0.7934933515648342
ACH-000067,-0.4582415057614483
ACH-000070,-0.3021115661238445
ACH-000075,-0.3810576234021973
ACH-000078,-0.30150597583490074
ACH-000082,-0.30697905515737145
ACH-000085,-0.4526954237621419
ACH-000086,-0.3939002318900214
ACH-000087,-0.5126785103171425
ACH-000092,-0.20104642360571065
ACH-000095,-0.26195176055723673
ACH-000097,-0.3757017213832203
ACH-000098,-0.3795652924079296
ACH-000099,-0.35316481846945186
ACH-000108,-0.4034296934094622
ACH-000113,-0.4338607350387951
ACH-000116,-0.25962718800006146
ACH-000118,-0.11230926394433742
ACH-000120,0.05876091773994877
ACH-000123,-0.5280718673614582
ACH-000127,-0.4495901765471649
ACH-000128,-0.3087078908497793
ACH-000132,-0.1631360468426677
ACH-000133,-0.14436807341113495
ACH-000137,-0.3123416649933638
ACH-000138,-0.8055100865033819
ACH-000142,-0.7862309465047526
ACH-000143,-0.3637401706982077
ACH-000146,-0.4506847229057369
ACH-000148,-0.272973230380614
ACH-000150,-0.6709648796219735
ACH-000152,-0.655999747598516
ACH-000153,-0.7431583292643352
ACH-000159,-0.09176495506917286
ACH-000160,-0.5473843969430383
ACH-000163,-0.2598547628733557
ACH-000167,-0.07807799721498984
ACH-000168,-0.4993560435755028
ACH-000169,-0.9583034203829284
ACH-000178,-0.5427462565762337
ACH-000183,-0.3830780858305509
ACH-000188,-0.7144954619149503
ACH-000189,-0.5824372083961434
ACH-000190,-0.32467786896696416
ACH-000198,-0.14654659079566876
ACH-000203,0.16019332036166678
ACH-000204,-0.09887259076939084
ACH-000206,-0.3266791415924176
ACH-000207,-0.35121476726395817
ACH-000208,-0.2651553971549857
ACH-000210,-0.1770562008784449
ACH-000211,-0.3547183371860079
ACH-000215,-0.4013654335446178
ACH-000221,-0.27283085101431304
ACH-000222,-0.6637162405476008
ACH-000223,-0.09108211924148148
ACH-000226,-0.19222074062914707
ACH-000227,-0.3751748338701919
ACH-000228,-0.5585933531163525
ACH-000231,-0.2682113668193861
ACH-000232,-0.3012463529775584
ACH-000233,-0.1859873585102768
ACH-000234,-0.3811563295108887
ACH-000235,-0.3796063545250037
ACH-000237,-0.2146920139459033
ACH-000238,-0.5107188603943515
ACH-000242,-0.7016903375973945
ACH-000243,-0.5808757769577111
ACH-000244,-0.7555475331926207
ACH-000246,-0.038040260178376965
ACH-000248,-0.5173265130982785
ACH-000250,-0.6966622222117911
ACH-000251,-0.6581384736420121
ACH-000252,-0.7405029686801745
ACH-000253,-0.5012695896003255
ACH-000255,-0.5912257473336049
ACH-000256,-0.476009218818705
ACH-000257,-0.4281390025241173
ACH-000258,-0.3591899866636411
ACH-000259,-0.3302109902157325
ACH-000260,-0.2897932870594962
ACH-000261,-0.22932307466241544
ACH-000262,-0.12186299167865768
ACH-000263,-0.4123527193772093
ACH-000264,-0.5225234202130468
ACH-000265,-0.5564753971784264
