,HIST1H2BL (8340)
ACH-000004,-1.0571134678677372
ACH-000005,-1.4223561113292795
ACH-000007,-0.7123041494730059
ACH-000009,-0.6595526848154274
ACH-000011,-1.034566044290058
ACH-000012,-0.6805229554183266
ACH-000013,-0.6229660935378083
ACH-000014,-0.7567050891304925
ACH-000015,-0.5864107373601648
ACH-000017,-0.900967106194758
ACH-000018,-0.6290645899213618
ACH-000019,-0.734626074548436
ACH-000021,-0.6865037700081958
ACH-000022,-0.6450964873259447
ACH-000025,-0.7520153004161395
ACH-000028,-0.7697638816047236
ACH-000030,-0.8470433124397575
ACH-000035,-0.9138593413605934
ACH-000036,-0.7329499953360387
ACH-000037,-0.6401680962734441
ACH-000039,-0.4612610655901762
ACH-000040,-0.8102486436669987
ACH-000041,-0.9170506732943182
ACH-000042,-0.8316383695214675
ACH-000045,-0.7198299635593938
ACH-000047,-0.7782689196986189
ACH-000052,-0.6719767338746959
ACH-000053,-0.6988239960933614
ACH-000054,-0.6323893770203759
ACH-000055,-0.7950345012749496
ACH-000060,-0.7693476245130859
ACH-000067,-0.7052614391015777
ACH-000070,-0.7524612394444407
ACH-000075,-0.8949998318456509
ACH-000078,-0.7901350618407523
ACH-000082,-0.9999662847217248
ACH-000085,-0.8818824487097802
ACH-000086,-0.9504274351654856
ACH-000087,-0.7408830863992001
ACH-000092,-0.6567473104780687
ACH-000095,-0.945635232993838
ACH-000097,-0.8273247899669937
ACH-000098,-0.7329354075997189
ACH-000099,-0.7414885615696558
ACH-000108,-0.7967630089113574
ACH-000113,-0.634580343164083
ACH-000116,-0.6584031557778768
ACH-000118,-0.7463711252471089
ACH-000120,-0.6203966220434068
ACH-000123,-0.7880881702925402
ACH-000127,-0.7535983763300796
ACH-000128,-0.4819120488466256
ACH-000132,-0.6810111793118692
ACH-000133,-0.8592851221667217
ACH-000137,-0.8053802680066228
ACH-000138,-0.7778062144307691
ACH-000142,-0.7328923905441095
ACH-000143,-0.7391365452841071
ACH-000146,-0.8492134408249775
ACH-000148,-0.7744746430049505
ACH-000150,-0.6186669345261251
ACH-000152,-0.6074182714778769
ACH-000153,-0.4696464771228742
ACH-000159,-0.6340068246476015
ACH-000160,-0.4957144019636338
ACH-000163,-0.7109546804125088
ACH-000167,-0.07054915566342687
ACH-000168,-0.8540687321757958
ACH-000169,-0.9326853950465293
ACH-000178,-0.7672325588076886
ACH-000183,-0.7244588459368748
ACH-000188,-0.7170034088063819
ACH-000189,-0.4648303480249987
ACH-000190,-0.2224681593162906
ACH-000198,-0.8931471431094029
ACH-000203,-0.4956034372065453
ACH-000204,-0.6557385465920401
ACH-000206,-1.3694149334293255
ACH-000207,-0.7505067485014663
ACH-000208,-0.7152690919146035
ACH-000210,-0.6125208530227889
ACH-000211,-0.6469317025562642
ACH-000215,-0.7506055837244646
ACH-000221,-0.4358116795459341
ACH-000222,-0.7982825324032705
ACH-000223,-0.851473566716312
ACH-000226,-0.8924323125102932
ACH-000227,-0.8423522111520564
ACH-000228,-0.6248944545252975
ACH-000231,-0.9612315180825984
ACH-000232,-0.7889415247329915
ACH-000233,-1.1028245683745166
ACH-000234,-0.9726852203890536
ACH-000235,-0.7424016551097574
ACH-000237,-0.78826691201913
ACH-000238,-0.7331441621358067
ACH-000242,-0.7446944619476452
ACH-000243,-0.7384522693444744
ACH-000244,-0.5284945454321917
ACH-000246,-0.6410914209391128
