,DICER1 (23405)
ACH-000004,-0.6454677213107795
ACH-000005,-0.7515471899923664
ACH-000007,-0.7777642401415327
ACH-000009,-0.29365692428422874
ACH-000011,-0.6171281952159902
ACH-000012,-0.5750529137832279
ACH-000013,-0.5786066427906349
ACH-000014,-0.8640887436323145
ACH-000015,-0.6765022179886467
ACH-000017,-0.31223681788619245
ACH-000018,-0.7139571415330827
ACH-000019,-0.4559355758551004
ACH-000021,-0.4602998774163661
ACH-000022,-0.12537794590019474
ACH-000025,-0.520425241986029
ACH-000028,-0.4673249346664751
ACH-000030,-0.9061958649663652
ACH-000035,-0.8569954931513041
ACH-000036,-0.7158439586179576
ACH-000037,-0.4830632398926698
ACH-000039,-0.6838939042222285
ACH-000040,-0.6871857758842012
ACH-000041,-0.8825941599621407
ACH-000042,-0.5305816584013076
ACH-000045,-0.8205670082244391
ACH-000047,-0.8030535842721908
ACH-000052,-0.6378897289856075
ACH-000053,-0.7104819297310583
ACH-000054,-0.5335151800571637
ACH-000055,-0.8351798236174092
ACH-000060,-0.8697699200460558
ACH-000067,-0.576486231413259
ACH-000070,-0.4191883341926072
ACH-000075,-0.6259657988137887
ACH-000078,-0.6353101602704877
ACH-000082,-0.8087398605419737
ACH-000085,-1.0744349108019862
ACH-000086,-0.6150433126147297
ACH-000087,-0.7067860884516767
ACH-000092,-0.8199951564373783
ACH-000095,-0.3918677061885505
ACH-000097,-0.5796940194872175
ACH-000098,-1.027609075495744
ACH-000099,-0.5692536465808189
ACH-000108,-0.6216085603103286
ACH-000113,-0.6068652782538855
ACH-000116,-0.5692738425538251
ACH-000118,-0.704755878475277
ACH-000120,-0.8531360527691397
ACH-000123,-0.5743102682811312
ACH-000127,-0.6491771383253521
ACH-000128,-0.8671590283605307
ACH-000132,-0.3943445306141803
ACH-000133,-0.8075374614089109
ACH-000137,-0.4343647436001798
ACH-000138,-0.7073045418686675
ACH-000142,-0.7848415100115792
ACH-000143,-0.8076472360073023
ACH-000146,-0.34201627100256177
ACH-000148,-0.6215064032604447
ACH-000150,-0.2868377751015106
ACH-000152,-0.7854897626114016
ACH-000153,-0.8611209878992919
ACH-000159,-0.4463034055769863
ACH-000160,-0.6876552997764946
ACH-000163,-0.7956189035834778
ACH-000167,-0.5523983001293791
ACH-000168,-0.3100462008414233
ACH-000169,-0.540026926690467
ACH-000178,-0.7316600968009457
ACH-000183,-0.9367042686096284
ACH-000188,-0.5246218332271138
ACH-000189,-0.5512315365138197
ACH-000190,-0.7216343130186738
ACH-000198,-0.5466170614842151
ACH-000203,-0.4606843695062984
ACH-000204,-0.5582377935556005
ACH-000206,-0.04351673547380335
ACH-000207,-0.4337079685663156
ACH-000208,-0.7957397067836498
ACH-000210,-1.0455055970910614
ACH-000211,-0.5717966368456356
ACH-000215,-0.7076828606974329
ACH-000221,-0.15021642146466346
ACH-000222,-0.7315409189205904
ACH-000223,-0.5836631594872189
ACH-000226,-0.5472031252344893
ACH-000227,-0.41536342150593536
ACH-000228,-0.4630810472324255
ACH-000231,-0.5177777192412285
ACH-000232,-0.7320375434301803
ACH-000233,-0.5905079434522716
ACH-000234,-0.5681099292049129
ACH-000235,-0.6813967101927026
ACH-000237,-0.35541019690597914
ACH-000238,-0.5165121873515998
ACH-000242,-0.03461558692733493
ACH-000243,-0.7337805394085626
ACH-000244,-0.503433472729607
ACH-000246,-0.9001421121951599
ACH-000248,-0.6705493713237537
ACH-000250,-0.6289082193781594
ACH-000251,-0.605174998245138
ACH-000252,-0.6099482845853728
ACH-000253,-0.7902896960715632
ACH-000255,-0.4398524047392001
ACH-000256,-0.3804056217067075
ACH-000257,-0.6180908736767363
ACH-000258,-0.6459535744764893
ACH-000259,-0.3578054101303723
ACH-000260,-0.5641788293688802
ACH-000261,-0.4736671401527641
ACH-000262,-0.5987721328914583
ACH-000263,-0.7594878562285134
ACH-000264,-0.7449600126273836
ACH-000265,-0.6278920658020489
ACH-000266,-0.4933463034054242
ACH-000272,-0.8501553600932914
ACH-000274,-0.5406418418787092
ACH-000277,-0.013982115763387058
ACH-000278,-0.4331236335420303
ACH-000279,-0.7964405576535941
ACH-000280,-0.6306216171851998
ACH-000281,-0.8138459556012909
ACH-000288,-0.5360857619407357
ACH-000291,-0.6614710942254437
ACH-000293,-0.3162099267185983
ACH-000294,-0.4842879622934613
ACH-000295,-0.7217356383885265
ACH-000296,-0.4815424404559585
ACH-000302,-0.3836839215296281
ACH-000304,-0.6832879464160388
ACH-000307,-0.43867116375781373
ACH-000308,-0.7236615381053181
ACH-000310,-0.4070330898734593
ACH-000311,-0.4096223145075612
ACH-000312,-0.6589167874745094
ACH-000315,-0.5593358626947584
ACH-000316,-0.5046074947315252
ACH-000317,-0.5605593882303581
ACH-000318,-0.3992047908685074
ACH-000319,-0.5699383760035531
ACH-000320,-0.7560598005889114
ACH-000322,-0.6358955764241365
ACH-000323,-0.7179107607713158
ACH-000324,-0.6336801831887633
ACH-000329,-0.29384828515047823
ACH-000330,-0.6015865342751232
ACH-000331,-0.5802891797504742
ACH-000332,-0.6653917030822373
ACH-000334,-1.015070535577955
ACH-000335,-0.6106558512367143
ACH-000336,-0.5027312806550213
ACH-000337,-0.3689271161976413
ACH-000338,-0.2725796141513949
ACH-000339,-0.2295978377596381
ACH-000341,-0.4924610526547575
ACH-000348,-0.6496277945608784
ACH-000350,-0.5293889197895711
ACH-000352,-0.6048617270831766
ACH-000356,-0.5077284410847024
ACH-000361,-0.2762963524097511
ACH-000362,-0.5459579093346435
ACH-000363,-0.7287899530121366
ACH-000364,-0.7152493509360826
ACH-000365,-0.6940302372425999
ACH-000366,-0.9166134944100568
ACH-000368,-0.7087466161223777
ACH-000374,-0.6567754853279351
ACH-000375,-0.5269220892844254
ACH-000376,-0.7850137399220256
ACH-000381,-0.6011361532241333
ACH-000383,-0.7311923841240225
ACH-000387,-0.5890397820243709
ACH-000389,-0.783762479959389
ACH-000390,-0.6375314712699888
ACH-000393,-0.7580126458082206
ACH-000395,-0.6288774099237785
ACH-000396,-0.2822559321898768
ACH-000397,-0.7653466651410441
ACH-000401,-0.5886191341460826
ACH-000402,-0.486639093091685
ACH-000403,-0.34422697814067843
ACH-000404,-0.8526155157283491
ACH-000406,-0.6394260726285704
ACH-000407,-0.8170268125597423
ACH-000408,-0.7867849698826059
ACH-000410,-0.607227485569175
ACH-000411,-0.9050894541916517
ACH-000414,-0.5526843008677912
ACH-000415,-0.6580224513443103
ACH-000416,-0.32050602606448203
ACH-000420,-0.5216072194820087
ACH-000421,-0.552202319514603
ACH-000424,-0.5903756787806392
ACH-000425,-0.6953632467334855
ACH-000426,-0.4412919797992789
ACH-000427,-0.7126138977616192
ACH-000433,-0.7270998590483398
ACH-000435,-0.8115928244886349
ACH-000436,-0.6771971675659912
ACH-000444,-0.6689459518937029
ACH-000445,-0.7151753351549549
ACH-000448,-0.6722558229055792
ACH-000450,-0.4295986241821315
ACH-000452,-0.9022712866141752
ACH-000454,-0.6101006549807075
ACH-000458,-0.5150426086546254
ACH-000459,-0.7520625140735634
ACH-000460,-0.5903528227659326
ACH-000461,-0.3559763762567685
ACH-000463,-0.4784796918683134
ACH-000464,-0.5688230161212969
ACH-000466,-0.5997811508079651
ACH-000467,-0.4921249259161731
ACH-000468,-0.3827135590820369
ACH-000469,-0.3881678691747363
ACH-000470,-0.3826353153837705
ACH-000471,-0.6308225276009316
ACH-000472,-0.5153248656892244
ACH-000473,-0.9235627243168666
ACH-000475,-0.20417674750038586
ACH-000476,-0.7125409926067479
ACH-000477,-0.6060501421319474
ACH-000479,-0.8215685028503017
