,UBQLN4 (56893)
ACH-000004,-0.6368528395671741
ACH-000005,-0.3523131076710828
ACH-000007,-0.6191097416021952
ACH-000009,-0.6667909716655458
ACH-000011,-0.5018271033906981
ACH-000012,-0.512696645798323
ACH-000013,-0.4963909093161836
ACH-000014,-0.4481087092125286
ACH-000015,-0.44853674225246337
ACH-000017,-0.3105958542045055
ACH-000018,-0.5231240671688857
ACH-000019,-0.28776276411546936
ACH-000021,-0.4372129488654907
ACH-000022,-0.4692841721152538
ACH-000025,-0.5068972656723408
ACH-000028,-0.3828581219808969
ACH-000030,-0.4382891120176624
ACH-000035,-0.44760799935820506
ACH-000036,-0.34833265214207265
ACH-000037,-0.5684943781034391
ACH-000039,-0.6061071060266401
ACH-000040,-0.484973437801246
ACH-000041,-0.4216371783915096
ACH-000042,-0.4131323670783786
ACH-000045,-0.4756273414387442
ACH-000047,-0.3752912600130357
ACH-000052,-0.4826668627147525
ACH-000053,-0.4893491268179708
ACH-000054,-0.5439153212515495
ACH-000055,-0.7815213104624374
ACH-000060,-0.4113833936815193
ACH-000067,-0.4060316396539576
ACH-000070,-0.5008455354254204
ACH-000075,-0.3929756853186998
ACH-000078,-0.5726483195873262
ACH-000082,-0.3673406194709122
ACH-000085,-0.533500717107549
ACH-000086,-0.5822766879180233
ACH-000087,-0.3540690136109874
ACH-000092,-0.5017651622002114
ACH-000095,-0.5267075337401698
ACH-000097,-0.5052403659852615
ACH-000098,-0.4421720760601158
ACH-000099,-0.4436526125031954
ACH-000108,-0.5134384475490612
ACH-000113,-0.3338129808735797
ACH-000116,-0.6187592169586777
ACH-000118,-0.37581998880255896
ACH-000120,-0.4842311241017375
ACH-000123,-0.3247786787814263
ACH-000127,-0.5597108104717571
ACH-000128,-0.3781283941231657
ACH-000132,-0.3963240697771408
ACH-000133,-0.5063735536888926
ACH-000137,-0.5293117939837572
ACH-000138,-0.5316897319008348
ACH-000142,-0.536707145167541
ACH-000143,-0.471369068903437
ACH-000146,-0.3692665888907891
ACH-000148,-0.4906672944603776
ACH-000150,-0.6243372576531597
ACH-000152,-0.4622188832939742
ACH-000153,-0.3333336164334115
ACH-000159,-0.4635369996986627
ACH-000160,-0.393615266279268
ACH-000163,-0.5874541617192323
ACH-000167,-0.18369346922200105
ACH-000168,-0.4843053002992375
ACH-000169,-0.4696184823603114
ACH-000178,-0.3963833102073022
ACH-000183,-0.42264439368963547
ACH-000188,-0.4703896401687804
ACH-000189,-0.5783955817772606
ACH-000190,-0.3930384578361068
ACH-000198,-0.4142280976748704
ACH-000203,-0.6141953178906361
ACH-000204,-0.6330752891311062
ACH-000206,-0.13699250714361436
ACH-000207,-0.501958916165491
ACH-000208,-0.5651914290999218
ACH-000210,-0.4056502581124612
ACH-000211,-0.4792060026359898
ACH-000215,-0.5232112915056258
