,NSUN4 (387338)
ACH-000004,-0.17636123039910967
ACH-000005,-0.5253941392625103
ACH-000007,-0.28479924030711523
ACH-000009,-0.4366261948059437
ACH-000011,-0.11896389570800052
ACH-000012,-0.4213814232692004
ACH-000013,-0.4505919142670951
ACH-000014,-0.3921907662098957
ACH-000015,-0.4834170228034401
ACH-000017,-0.3519069774382693
ACH-000018,-0.4713673216936206
ACH-000019,-0.5359302169480051
ACH-000021,-0.46106273635003797
ACH-000022,-0.5561423568468078
ACH-000025,-0.43870825731972
ACH-000028,-0.6336820077918814
ACH-000030,-0.29982344899216035
ACH-000035,-0.4855172423273795
ACH-000036,-0.14577381235243905
ACH-000037,-0.3877965682555815
ACH-000039,-0.2549920936902848
ACH-000040,-0.5554993225393601
ACH-000041,-0.3554884893306399
ACH-000042,-0.2673426551997489
ACH-000045,-0.4424749106886789
ACH-000047,-0.5554138704244019
ACH-000052,-0.4896859442274055
ACH-000053,-0.11921420582457093
ACH-000054,-0.2067408231201336
ACH-000055,-0.35277833921503915
ACH-000060,-0.4526995332357056
ACH-000067,-0.5825266817526029
ACH-000070,-0.4742753905853338
ACH-000075,-0.5282591978985556
ACH-000078,-0.20731795413006965
ACH-000082,-0.2490314239992138
ACH-000085,-0.08883487347306848
ACH-000086,-0.7431506561730533
ACH-000087,-0.8732065917263174
ACH-000092,-0.5210107667158088
ACH-000095,-0.1713638440862967
ACH-000097,-0.2883820992381606
ACH-000098,-0.4259192671973767
ACH-000099,-0.4517442405534056
ACH-000108,-0.39121298807420224
ACH-000113,-0.6858838861982072
ACH-000116,-0.43780543104748143
ACH-000118,-0.6281886967976471
ACH-000120,-0.3986512090590423
ACH-000123,-0.4391644117425575
ACH-000127,-0.6405687068746214
ACH-000128,-0.3842089542838112
ACH-000132,-0.28352846366790385
ACH-000133,-0.4450989242609055
ACH-000137,-0.3742021246670139
ACH-000138,-0.4506452641502258
ACH-000142,-0.3710436368833303
ACH-000143,-0.3403522628585249
ACH-000146,-0.3171766676962859
ACH-000148,-0.5303690855037984
ACH-000150,-0.8940351848007329
ACH-000152,-0.4813414675848069
ACH-000153,-0.5350933401832365
ACH-000159,-0.3300094730009942
ACH-000160,-0.5426256812919679
ACH-000163,-0.3439437355248113
ACH-000167,-0.2625008085765313
ACH-000168,-0.15653319570016871
ACH-000169,-0.4281339965420698
ACH-000178,-0.3155095962630677
ACH-000183,-0.5096073489039762
ACH-000188,-0.5100635666833164
ACH-000189,-0.4545279888495571
ACH-000190,-0.5654857651415873
ACH-000198,-0.5070531124068538
ACH-000203,-0.23663043463185185
ACH-000204,-0.3700299167409711
ACH-000206,-0.21859599563793206
ACH-000207,-0.6024205820832891
ACH-000208,-0.3540277983478154
ACH-000210,-0.26939888953532265
ACH-000211,-0.2436847087410549
ACH-000215,-0.5536923126884947
ACH-000221,-0.6818720387870848
ACH-000222,-0.42898753475493945
ACH-000223,-0.4159350048298451
ACH-000226,-0.2818016529278985
ACH-000227,-0.3005016774359152
ACH-000228,-0.36880988284773336
ACH-000231,-0.4054660990909363
ACH-000232,-0.6319303668438904
ACH-000233,-0.4052711037519985
ACH-000234,-0.35130607984421186
ACH-000235,-0.2902508387334102
ACH-000237,-0.26801929956954074
ACH-000238,-0.5148449933778299
ACH-000242,-0.6605821613912668
ACH-000243,-0.3321836558764603
ACH-000244,-0.3075394552626612
ACH-000246,-0.4918406904604496
ACH-000248,-0.6776076802668428
ACH-000250,-0.06575596327403048
ACH-000251,-0.4056622162074676
ACH-000252,-0.27325778591280114
ACH-000253,-0.2316768011873435
ACH-000255,-0.4522486698725473
ACH-000256,-0.29966672347284634
ACH-000257,-0.6563352728858076
ACH-000258,-0.4395525739279049
ACH-000259,-0.6197096745797133
ACH-000260,-0.25261378290083664
ACH-000261,-0.17809317077788722
ACH-000262,-0.18818783233703246
ACH-000263,-0.45515150544335
ACH-000264,-0.25949953267154546
ACH-000265,-0.7642371086849591
ACH-000266,-0.23684594628815514
ACH-000272,-0.323746827425148
ACH-000274,-0.4213344592683992
ACH-000277,-0.3920946022777289
ACH-000278,-0.3306765924103651
ACH-000279,-0.5039816770062859
ACH-000280,-0.31975714940269545
ACH-000281,-0.4247150042390155
ACH-000288,-0.6747370678967826
ACH-000291,-0.4438209606441085
ACH-000293,-0.5965065166418279
ACH-000294,-0.24253723232990002
ACH-000295,-0.4371944093514946
ACH-000296,-0.2701161879534623
ACH-000302,-0.3763504438581961
ACH-000304,-0.5089046579549418
ACH-000307,-0.3616716634801193
ACH-000308,-0.2868087302537532
ACH-000310,-0.2301436357897902
ACH-000311,-0.35916868876813324
ACH-000312,-0.4388806355750037
ACH-000315,-0.24561883760235564
ACH-000316,-0.3648186799512255
ACH-000317,-0.4655327062467217
ACH-000318,-0.4897131026607429
ACH-000319,-0.2926613501227733
ACH-000320,-0.5053269951240557
ACH-000322,-0.5114117330271356
ACH-000323,-0.6024109780592121
ACH-000324,-0.12787804573155814
ACH-000329,-0.42845360872168253
ACH-000330,-0.5192568770008288
ACH-000331,-0.3653823929991166
ACH-000332,-0.2766908362071722
ACH-000334,-0.2393475589550261
ACH-000335,-0.7244584440537145
ACH-000336,-0.37577348130222
ACH-000337,-0.3576253012123761
ACH-000338,0.19812138307872065
ACH-000339,-0.2590777017994482
ACH-000341,-0.42879001364984143
ACH-000348,-0.3461685878232901
ACH-000350,-0.2880023877428416
ACH-000352,-0.2920487288293488
ACH-000356,-0.3164635234439765
ACH-000361,-0.5105508009176245
ACH-000362,-0.11414312430987927
ACH-000363,-0.3040482914928996
ACH-000364,-0.4847192268050281
ACH-000365,-0.4453620345097338
ACH-000366,-0.23359872163068096
ACH-000368,-0.3831235491596453
ACH-000374,-0.6350583002090004
ACH-000375,-0.24939414392949474
ACH-000376,-0.5771641016983161
ACH-000381,-0.5082944534439492
ACH-000383,-0.3267211918397493
ACH-000387,-0.29840999439745536
ACH-000389,-0.15831719461351446
ACH-000390,-0.4345341427124413
ACH-000393,-0.3737532670931217
ACH-000395,-0.19233174421815047
ACH-000396,-0.5644874687702827
ACH-000397,-0.19494532452450614
ACH-000401,-0.3797453103802532
ACH-000402,-0.14630976728130854
ACH-000403,-0.30401279372871026
ACH-000404,-0.5662861077539667
ACH-000406,-0.4641723014501215
ACH-000407,-0.450316154066872
ACH-000408,-0.4632576764823874
ACH-000410,-0.3654877458143443
ACH-000411,-0.26546549096897915
ACH-000414,-0.3928719449646214
ACH-000415,-0.39665528006607503
ACH-000416,-0.2155187945423548
ACH-000420,-0.4128482909748604
ACH-000421,-0.2073632317175646
ACH-000424,-0.7113740640483328
ACH-000425,-0.4258463733154886
ACH-000426,-0.2368083886139195
ACH-000427,-0.3677431116370568
ACH-000433,-0.4818845263406091
ACH-000435,-0.3248274479657974
ACH-000436,-0.2560949944272177
ACH-000444,-0.3634674210235966
ACH-000445,-0.570480682405723
ACH-000448,-0.4092750202462069
ACH-000450,-0.3739879967845133
ACH-000452,-0.274702513512401
ACH-000454,-0.5836795533026071
ACH-000458,-0.6462333836324726
ACH-000459,-0.7541502619941347
ACH-000460,-0.2550690222520388
ACH-000461,-0.6693996262974427
ACH-000463,-0.20275903187815486
ACH-000464,-0.5056154739717913
ACH-000466,-0.18763070266608944
ACH-000467,-0.5429652213874129
ACH-000468,-0.4104043052896851
ACH-000469,-0.6211918135063764
ACH-000470,-0.2327116361593456
ACH-000471,-0.27568906565080176
ACH-000472,-0.2626330516238751
ACH-000473,-0.5030970231728055
ACH-000475,-0.37357079414678057
ACH-000476,-0.2405328791049755
ACH-000477,-0.2896614241771892
ACH-000479,-0.5543693988247184
ACH-000480,-0.6269984800377058
ACH-000481,-0.26643623130675004
ACH-000483,-0.4995826116576579
ACH-000484,-0.32123851988448937
ACH-000485,-0.18750276022886614
ACH-000486,-0.3488766347494013
ACH-000487,-0.6025973641089525
ACH-000488,-0.5896443332907444
ACH-000490,-0.4804509877264098
ACH-000491,-0.3254637060233048
ACH-000495,-0.4397403491367217
ACH-000496,-0.39537733139414266
ACH-000499,-0.620876913049949
ACH-000500,-0.2671085765961472
ACH-000502,-0.2053276448739824
ACH-000503,-0.32040840814075805
ACH-000505,-0.3060563266021571
ACH-000507,-0.42434521941239495
ACH-000510,-0.4103632181389316
ACH-000511,-0.19209277525064772
ACH-000512,-0.7124683967747079
ACH-000516,-0.2029832584597328
ACH-000517,-0.2502413638375693
ACH-000518,-0.27807044543955856
ACH-000520,-0.19004771159597256
ACH-000521,-0.4607233155546305
ACH-000522,-0.522601904604614
ACH-000524,-0.2362319474934545
ACH-000527,-0.3257065367166337
ACH-000528,-0.371280789635804
ACH-000537,-0.4331461929231105
ACH-000541,-0.4196542245582954
ACH-000542,-0.2963761386985265
ACH-000544,-0.5885922351997478
ACH-000545,-0.5794155713988368
ACH-000547,-0.6055789989130118
ACH-000548,-0.29955216101589194
ACH-000549,-0.4559293830816232
ACH-000550,-0.6835019284085335
ACH-000552,-0.5512947217307009
ACH-000556,-0.2496795874466273
ACH-000557,-0.20252171106546527
ACH-000569,-0.20011894737220656
ACH-000570,-0.5483936003515095
ACH-000571,-0.4022772328222899
ACH-000573,-0.3560334852574378
ACH-000576,-0.1678114682184882
ACH-000579,-0.6944244791115515
ACH-000580,-0.416305918143859
ACH-000584,-0.3871656716399195
ACH-000585,-0.497823421029905
ACH-000588,-0.4990542136472905
ACH-000589,-0.5976131822846893
ACH-000591,-0.4853988524296834
ACH-000593,-0.5663850334488404
ACH-000600,-0.3773703256111021
ACH-000601,-0.5227850091826249
ACH-000605,-0.4830769038673707
ACH-000606,-0.5035243237042463
ACH-000608,-0.4141637346744634
ACH-000614,-0.6454462312800007
ACH-000616,-0.3591290328606989
ACH-000618,-0.4900370604625157
ACH-000619,-0.2572751169509617
ACH-000620,-0.3913656462105948
ACH-000621,-0.4030802793486394
ACH-000622,-0.3295524024091596
ACH-000623,-0.4232840425230761
ACH-000624,-0.18103251482755714
ACH-000627,-0.43899770856322745
ACH-000630,-0.5944402576265118
ACH-000631,-0.4676778130742208
ACH-000632,-0.4060259647039206
ACH-000633,-0.6564890033736507
ACH-000637,-0.4695602447170717
ACH-000638,-0.4239302532168977
ACH-000646,-0.34392611202935314
ACH-000647,-0.5405724374796061
ACH-000648,-0.3718651824060051
ACH-000649,-0.2813672348096419
ACH-000651,-0.8783955529375989
ACH-000652,-0.5283813536930669
ACH-000653,-0.3181647946154331
ACH-000657,-0.5602948542803168
ACH-000658,-0.2570364596657545
ACH-000661,-0.2270613997882174
ACH-000662,-0.15905008192238665
ACH-000663,-0.27546679016818953
ACH-000665,-0.2849560725194434
ACH-000671,-0.7852620705322247
ACH-000672,-0.8435132800395482
ACH-000673,-0.28992250514207324
ACH-000676,-0.5605704281928281
ACH-000677,-0.5226086392556459
ACH-000681,-0.3488039442423709
ACH-000683,-0.5540941182549359
ACH-000684,-0.512681941236687
ACH-000688,-0.5065740256568168
ACH-000693,-0.6775845348409183
ACH-000694,-0.6444512818133933
ACH-000695,-0.35955194199051205
ACH-000696,-0.4918661237848098
ACH-000697,-0.5361103944126187
ACH-000699,-0.4062672849862444
ACH-000701,-0.4893002870222901
ACH-000706,-0.6674449805708025
ACH-000711,-0.43944174415708026
ACH-000713,-0.3583362696440988
ACH-000714,-0.2432104266368846
ACH-000718,-0.5168360977785571
ACH-000720,-0.4791527207379228
ACH-000721,-0.6007912458795519
ACH-000724,-0.3640529199753223
ACH-000725,-0.3766775796970221
ACH-000732,-0.6349650249818488
ACH-000734,-0.6860370755726107
ACH-000735,-0.37630968031097545
ACH-000736,-0.3785212647938563
ACH-000738,-0.52993154988803
ACH-000746,-0.18950460936470345
ACH-000747,-0.6771514388642049
