,LEKR1 (389170)
ACH-000004,0.21015555367880184
ACH-000005,0.1734766637722181
ACH-000007,0.1893709205075004
ACH-000009,0.1948302004419188
ACH-000011,0.17620312609375466
ACH-000012,0.13958472919758935
ACH-000013,0.23812026051652646
ACH-000014,0.1746278651284738
ACH-000015,0.24321974532118806
ACH-000017,0.2755036627569767
ACH-000018,0.1399571426939302
ACH-000019,0.10377941108829844
ACH-000021,0.21412149672092934
ACH-000022,0.2501308365078425
ACH-000025,0.26839181397160283
ACH-000028,0.1393851624591708
ACH-000030,0.15858455448958206
ACH-000035,0.2082846345386156
ACH-000036,0.22742708531099004
ACH-000037,0.2408613332729561
ACH-000039,0.14163090736994666
ACH-000040,0.15052273215003106
ACH-000041,0.1573246979025964
ACH-000042,0.18061227805690372
ACH-000045,0.36947049866385945
ACH-000047,0.2346792742596544
ACH-000052,0.07220232230031601
ACH-000053,0.19033202465659302
ACH-000054,0.0533974255634851
ACH-000055,0.13462120845649006
ACH-000060,0.21192772219152686
ACH-000067,0.25267604863216103
ACH-000070,0.1950426842497829
ACH-000075,0.29366723484200474
ACH-000078,0.20288937724747705
ACH-000082,0.12744878854579186
ACH-000085,0.3726840769744892
ACH-000086,0.18326063795339564
ACH-000087,0.23257320931202646
ACH-000092,0.22378690145620286
ACH-000095,0.15059261418309974
ACH-000097,0.2527006057653403
ACH-000098,0.2658091837056715
ACH-000099,0.13967020203358665
ACH-000108,0.08009827518444282
ACH-000113,0.14269211369463336
ACH-000116,0.1892356076625562
ACH-000118,0.2311147998331337
ACH-000120,0.3209820167509834
ACH-000123,0.1881607969137284
ACH-000127,0.1850204591028515
ACH-000128,0.22255079051739646
ACH-000132,0.1518813701070672
ACH-000133,0.13808929583537802
ACH-000137,0.2229920208466176
ACH-000138,0.2145925553922072
ACH-000142,0.2719312006176953
ACH-000143,0.06242884279917059
ACH-000146,0.14202075949748413
ACH-000148,0.2438600877197468
ACH-000150,0.09742471275253034
ACH-000152,0.1965252650199769
ACH-000153,0.4456622964520388
ACH-000159,0.1911641805864251
ACH-000160,0.1794570532344162
ACH-000163,0.1700219683776605
ACH-000167,0.07642464440509451
ACH-000168,0.2285110554585437
ACH-000169,0.13537834465516804
ACH-000178,0.20831188915753734
ACH-000183,0.279237133892042
ACH-000188,0.2657738324443288
ACH-000189,-0.0455682972030866
ACH-000190,0.17658264433080387
ACH-000198,0.13819461069116806
ACH-000203,0.05240471937267911
ACH-000204,0.13382513331377027
ACH-000206,0.2935542414299783
ACH-000207,0.1317729449127959
ACH-000208,0.3400330509903353
ACH-000210,0.3292108673039688
ACH-000211,0.1899936666289484
ACH-000215,0.2656150550450315
ACH-000221,0.20260494152783284
ACH-000222,0.1866967699721847
ACH-000223,0.19832714125046733
