,SKA1 (220134)
ACH-000004,-0.4547275038800774
ACH-000005,-0.015246925739417275
ACH-000007,-0.6217602487214952
ACH-000009,-0.4367117942219895
ACH-000011,-0.5716201491777735
ACH-000012,-0.4907469531905354
ACH-000013,-0.9018338628888559
ACH-000014,-0.5530308960099602
ACH-000015,-0.5465636988773974
ACH-000017,-0.4124601180758091
ACH-000018,-0.30369110312482483
ACH-000019,-0.15097515141806672
ACH-000021,-0.04314736648051976
ACH-000022,-0.4662229326197245
ACH-000025,-0.6497307751607343
ACH-000028,-0.35693771304711136
ACH-000030,-0.6722750979184884
ACH-000035,-0.3924323796281584
ACH-000036,-0.4703069479095983
ACH-000037,-0.6595420555518906
ACH-000039,-0.4194148749149844
ACH-000040,-0.5399870381253723
ACH-000041,-0.2528512659106373
ACH-000042,-0.7377488106847663
ACH-000045,-0.3001852394182151
ACH-000047,-0.5745579646972496
ACH-000052,-0.4944401731221232
ACH-000053,-0.4869446945188067
ACH-000054,-0.519929107758768
ACH-000055,-0.2295263595860002
ACH-000060,-0.7759532138985622
ACH-000067,-0.5485191145579347
ACH-000070,-0.30689298519244457
ACH-000075,-0.4294847992956021
ACH-000078,-0.4879376708766077
ACH-000082,-0.6132461379369515
ACH-000085,-0.922975206096294
ACH-000086,-0.3697862605109902
ACH-000087,-0.5272372869289593
ACH-000092,-0.2706032652942951
ACH-000095,-0.2581004659281871
ACH-000097,-0.4199739720027034
ACH-000098,-0.8402730611848003
ACH-000099,-0.22185824601439494
ACH-000108,-0.4647001744974816
ACH-000113,-0.4603812104872802
ACH-000116,-0.6342054946083968
ACH-000118,-0.521685156799077
ACH-000120,-0.2877626265958432
ACH-000123,-0.4184617341548363
ACH-000127,-0.37147132215411177
ACH-000128,-0.34458650017300857
ACH-000132,-0.5885046676411395
ACH-000133,-0.3184483221447169
ACH-000137,-0.3981259884164431
ACH-000138,-0.5049374263474222
ACH-000142,-0.3346921462792619
ACH-000143,-0.6058461364360309
ACH-000146,-0.4135671088708663
ACH-000148,-0.5402235200267506
ACH-000150,-0.2822554651456556
ACH-000152,-0.2900546708637433
ACH-000153,-0.3081267693896994
ACH-000159,-0.3101285912604793
ACH-000160,-0.6475357099804533
ACH-000163,-0.2240912844786992
ACH-000167,-0.6848828187099586
ACH-000168,-0.38868107775437455
ACH-000169,-0.5145005178950488
ACH-000178,-0.3966824728044391
ACH-000183,-0.15257273587249678
ACH-000188,-0.5995092905632908
ACH-000189,-0.4837079543701175
ACH-000190,-0.5878068224297222
ACH-000198,-0.44886162031963467
ACH-000203,-0.18803853027822756
ACH-000204,-0.3374333030812842
ACH-000206,-0.4426150602822999
ACH-000207,-0.5835660507515672
ACH-000208,-0.6150162604404044
ACH-000210,-0.5096767453912723
ACH-000211,-0.4914128764068943
ACH-000215,-0.4393644461546265
ACH-000221,-0.6069798994379562
ACH-000222,-0.5792831556218558
ACH-000223,-0.4926822023169046
ACH-000226,-0.2799157162128846
ACH-000227,-0.4034326304285455
ACH-000228,-0.837457003101171
ACH-000231,-0.22758950012509946
ACH-000232,-0.8538556413412558
ACH-000233,-0.627621129337219
ACH-000234,-0.5835564841782284
ACH-000235,-0.5795920783187689
ACH-000237,-0.5167926130264353
ACH-000238,-0.726865163998676
ACH-000242,-0.7495609192556408
ACH-000243,-0.33919450090007386
ACH-000244,-0.7043517077871337
ACH-000246,-0.5757382229607327
ACH-000248,-0.6684659740161607
ACH-000250,-0.5365006809213897
ACH-000251,-0.4958838119372768
ACH-000252,-0.4359572498118083
ACH-000253,-0.10492617171706398
ACH-000255,-0.4943467554289652
ACH-000256,-0.4508135494620745
ACH-000257,-0.3174208125177949
ACH-000258,-0.24907657467862626
ACH-000259,-0.4239309158979659
ACH-000260,-0.5199699491221375
ACH-000261,-0.7167985427638376
ACH-000262,-0.31565777441077675
ACH-000263,-0.3933463401557706
ACH-000264,-0.5308208208805043
ACH-000265,-0.4689673448164694
ACH-000266,-0.7202832807596572
ACH-000272,-0.23328672205730785
ACH-000274,-0.566362775063248
ACH-000277,-0.3766518556082365
ACH-000278,-0.4220960823464472
ACH-000279,-0.42181335613840415
ACH-000280,-0.6912881911775804
ACH-000281,-0.6265012948448084
ACH-000288,-0.4533949044618042
ACH-000291,-0.8349327789835534
ACH-000293,-0.21436501468159308
ACH-000294,-0.4981308211126144
ACH-000295,-0.13034330563056554
ACH-000296,-0.5306942290208652
ACH-000302,-0.4999454607072962
ACH-000304,-0.3559172494593942
ACH-000307,-0.6032831156125925
ACH-000308,-0.3744147317742059
ACH-000310,-0.428552172980313
ACH-000311,-0.457774000642617
ACH-000312,-0.29521309916092753
ACH-000315,-0.4071516885379642
ACH-000316,-0.3514627557577456
ACH-000317,-0.4308345208132241
ACH-000318,-0.5082111903000667
ACH-000319,-0.3545366591733933
ACH-000320,-0.41239378050769937
