,POLR2I (5438)
ACH-000004,-1.4834385747664287
ACH-000005,-1.290187691442959
ACH-000007,-1.3583954741884101
ACH-000009,-1.5101696842037067
ACH-000011,-1.4837495914603285
ACH-000012,-1.3305578180866702
ACH-000013,-1.552928123239912
ACH-000014,-1.3866763968067906
ACH-000015,-1.4569881243504816
ACH-000017,-1.372332799848352
ACH-000018,-1.3936589073937953
ACH-000019,-1.1432150238781298
ACH-000021,-1.3986777036640743
ACH-000022,-1.3890755918528408
ACH-000025,-1.3294365743486156
ACH-000028,-1.2050767613086315
ACH-000030,-1.5625598522312518
ACH-000035,-1.445400136631732
ACH-000036,-1.3751377517834262
ACH-000037,-1.6279306434752567
ACH-000039,-1.4531311408800591
ACH-000040,-1.0585628095912785
ACH-000041,-1.4915618904061003
ACH-000042,-1.3251232491742189
ACH-000045,-1.4891960433926053
ACH-000047,-1.2295514657379087
ACH-000052,-1.4225200888695682
ACH-000053,-1.3149239239987172
ACH-000054,-1.3666597283607635
ACH-000055,-1.5073062944270548
ACH-000060,-1.4169275176934983
ACH-000067,-1.3125906917578407
ACH-000070,-1.3062675308923373
ACH-000075,-1.194547561126155
ACH-000078,-1.5091311110999213
ACH-000082,-1.4007258085889898
ACH-000085,-1.5226428967125405
ACH-000086,-1.292594291128416
ACH-000087,-1.4575399899892152
ACH-000092,-1.2078964399836836
ACH-000095,-1.3480428362537389
ACH-000097,-1.5213589654944106
ACH-000098,-1.3373587816733783
ACH-000099,-1.1816434613484974
ACH-000108,-1.4056434549404846
ACH-000113,-1.5195312322472159
ACH-000116,-1.4217038980939762
ACH-000118,-1.4573026401519276
ACH-000120,-1.2929545694631288
ACH-000123,-1.4334245412900612
ACH-000127,-1.3772783231379542
ACH-000128,-1.1928076934754588
ACH-000132,-1.3677860503290382
ACH-000133,-1.2702566161771018
ACH-000137,-1.5049039235733108
ACH-000138,-1.4721687277107824
ACH-000142,-1.2371469740871217
ACH-000143,-1.3169321769314686
ACH-000146,-1.7227272539094671
ACH-000148,-1.2993662179518979
ACH-000150,-1.4445633991536315
ACH-000152,-1.230916347923967
ACH-000153,-1.3796914666061177
ACH-000159,-1.210946492959416
ACH-000160,-1.1927061500040497
ACH-000163,-1.4138333657830382
ACH-000167,-2.1698968457058125
ACH-000168,-1.738771392087629
ACH-000169,-1.360627135520084
ACH-000178,-1.4064673099477052
ACH-000183,-1.3818689863063982
ACH-000188,-1.3246172387255504
ACH-000189,-1.0755523616063465
ACH-000190,-1.0031459861583512
ACH-000198,-1.3597477452734972
ACH-000203,-0.9130295793999932
ACH-000204,-1.3799496594057077
ACH-000206,-1.7199490009920453
ACH-000207,-1.4732225832007102
ACH-000208,-1.04046401088783
ACH-000210,-1.5496436894341912
ACH-000211,-1.2714014462435013
ACH-000215,-1.343828054006882
ACH-000221,-1.5194870294595464
ACH-000222,-1.4372543729682647
ACH-000223,-1.4369435691528
ACH-000226,-1.2623275602888018
ACH-000227,-1.5503262965513458
ACH-000228,-1.3920589610386584
ACH-000231,-1.4063244165652375
ACH-000232,-1.4962385113337051
ACH-000233,-1.3605165265363264
ACH-000234,-1.3701242991630689
ACH-000235,-1.3584446432957489
ACH-000237,-1.4327923867948384
ACH-000238,-1.1854612636639252
ACH-000242,-1.1116328343325677
ACH-000243,-1.439332950996537
ACH-000244,-1.452521953379256
ACH-000246,-1.4335220897682224
ACH-000248,-1.1901235579429308
ACH-000250,-1.3725218309384295
ACH-000251,-1.3715630551559734
ACH-000252,-1.3239362602444862
ACH-000253,-1.4870837024981531
ACH-000255,-1.285542929708686
ACH-000256,-1.4866096580712937
ACH-000257,-1.6265213072469646
ACH-000258,-1.1297003342798906
ACH-000259,-1.5310866214380552
ACH-000260,-1.342533243047927
ACH-000261,-1.4309199610190348
ACH-000262,-1.3071035593328395
ACH-000263,-1.6188178198311238
ACH-000264,-1.3571085481169551
ACH-000265,-1.3721420792174164
ACH-000266,-1.5095850408804408
ACH-000272,-1.1743635885963783
ACH-000274,-1.2352116146103105
ACH-000277,-1.3897729345097227
ACH-000278,-1.4411474373702564
ACH-000279,-1.4535145816856143
ACH-000280,-1.3998778415243502
ACH-000281,-1.4253004567103758
ACH-000288,-1.381885039171544
ACH-000291,-1.2669471079654608
ACH-000293,-1.6895435972497312
ACH-000294,-1.7648517489824052
ACH-000295,-1.2717408433830768
ACH-000296,-1.3351879910790354
ACH-000302,-1.5069949497725432
ACH-000304,-1.3454563448631298
ACH-000307,-1.3317912911660839
ACH-000308,-1.3012218444300592
ACH-000310,-1.388236408528055
ACH-000311,-1.4822349172623828
