,KIFC2 (90990)
ACH-000004,0.001386637886038015
ACH-000005,-0.08057263733713015
ACH-000007,-0.062105094856253235
ACH-000009,0.004381861983581302
ACH-000011,-0.0661905458316685
ACH-000012,-0.09080902679476267
ACH-000013,0.016187007138083145
ACH-000014,0.013981779305145813
ACH-000015,-0.05244963948831047
ACH-000017,0.05541241465325082
ACH-000018,0.07893450542254082
ACH-000019,0.05540772667028095
ACH-000021,-0.07305366320465198
ACH-000022,-0.11373614661143512
ACH-000025,0.005695324081641722
ACH-000028,-0.03792535624167166
ACH-000030,-0.00617815928593238
ACH-000035,0.01412735070864706
ACH-000036,-0.06947746168607698
ACH-000037,0.011067539498891022
ACH-000039,0.11549308682228272
ACH-000040,-0.09494603538332057
ACH-000041,-0.08085982815777143
ACH-000042,-0.042776608687629065
ACH-000045,-0.027326137568832943
ACH-000047,-0.029504018692423
ACH-000052,0.004201510797833707
ACH-000053,0.013891127871664351
ACH-000054,0.05080461744170638
ACH-000055,-0.07966223832749944
ACH-000060,-0.1649138121303261
ACH-000067,-0.02035864356662908
ACH-000070,0.004273491653911699
ACH-000075,0.07175378108838462
ACH-000078,-0.05886066860701041
ACH-000082,0.09974608860289784
ACH-000085,-0.004294774545928658
ACH-000086,0.10447958317495047
ACH-000087,0.052789662560032216
ACH-000092,0.06642900406351059
ACH-000095,0.1186946361409124
ACH-000097,-0.013899723196082164
ACH-000098,0.04256717463569516
ACH-000099,0.03429346267000838
ACH-000108,-0.060927430531905385
ACH-000113,-0.07958081994007214
ACH-000116,-0.04008435963491055
ACH-000118,-0.14115700618753652
ACH-000120,0.03815626697476853
ACH-000123,-0.053972806947347074
ACH-000127,-0.042130184553223586
ACH-000128,0.11819961778339685
ACH-000132,0.0339608623644144
ACH-000133,-0.038947377935666064
ACH-000137,-0.15593112401765272
ACH-000138,-0.06907279232621849
ACH-000142,-0.12441313096838365
ACH-000143,-0.06412523836416073
ACH-000146,0.03883807003313003
ACH-000148,0.00412798260689226
ACH-000150,-0.2768030553374114
ACH-000152,-0.036894631787348635
ACH-000153,0.0599269441662222
ACH-000159,-0.030854920036872974
ACH-000160,-0.020776415942857732
ACH-000163,0.0408294714162444
ACH-000167,-0.16586179629220896
ACH-000168,-0.1706905733124019
ACH-000169,-0.11412312331730508
ACH-000178,-0.09438016615656336
ACH-000183,0.03926714333117522
ACH-000188,0.03294768971671838
ACH-000189,0.0009418356076184277
ACH-000190,0.0428161490386062
ACH-000198,0.01714156993841093
ACH-000203,0.17993837942747246
ACH-000204,-0.04723143688980963
ACH-000206,0.031634139025520217
ACH-000207,-0.08057541515138622
ACH-000208,-0.004813354030070435
ACH-000210,-0.0011848543543676398
ACH-000211,-0.0921537934068542
ACH-000215,-0.025421831104546842
ACH-000221,-0.04880442311257275
ACH-000222,-0.06754630340379868
ACH-000223,-0.07379871636781353
ACH-000226,0.17434994222278294
ACH-000227,-0.04750881653586656
ACH-000228,-0.09531576764604097
ACH-000231,-0.030134963472022738
ACH-000232,0.057442292274488986
ACH-000233,-0.02347407267171616
ACH-000234,-0.13398079875794475
ACH-000235,-0.006136237060137594
ACH-000237,-0.13361171539935554
ACH-000238,0.0601566349410858
ACH-000242,-0.14773921501683546
ACH-000243,-0.06746524899811948
