,MIEF2 (125170)
ACH-000004,-0.2985391180735451
ACH-000005,-0.2287080931850329
ACH-000007,-0.1487162412947032
ACH-000009,-0.4035375131801183
ACH-000011,-0.011241872497504676
ACH-000012,-0.14534130994800806
ACH-000013,-0.4656363540158054
ACH-000014,-0.27561068092654706
ACH-000015,-0.03505055046309025
ACH-000017,-0.08940536681308504
ACH-000018,-0.1476713329299998
ACH-000019,-0.02418561943331267
ACH-000021,-0.1572077204338624
ACH-000022,-0.4000472551905228
ACH-000025,-0.2313091196895248
ACH-000028,-0.15873852108052325
ACH-000030,-0.07771057039836572
ACH-000035,-0.3080783876044699
ACH-000036,-0.24249209184303305
ACH-000037,-0.09938807365551898
ACH-000039,0.08955234575111116
ACH-000040,-0.12169861355735345
ACH-000041,-0.2378882806248455
ACH-000042,-0.24876970038529106
ACH-000045,-0.3337993553682396
ACH-000047,-0.1116792984891686
ACH-000052,-0.10622214829790876
ACH-000053,-0.17053921979824585
ACH-000054,-0.1132317860135041
ACH-000055,-0.14271695095600664
ACH-000060,-0.3173005012667527
ACH-000067,-0.1410108934517887
ACH-000070,-0.362931960798732
ACH-000075,-0.3809070692830602
ACH-000078,-0.2307625963700108
ACH-000082,-0.20705487548055845
ACH-000085,-0.3280696041497676
ACH-000086,-0.04699872955115801
ACH-000087,-0.4054890555980076
ACH-000092,-0.16482906531749494
ACH-000095,-0.11359214036405195
ACH-000097,-0.13783342624616796
ACH-000098,-0.11328391145118875
ACH-000099,-0.19906272249927334
ACH-000108,-0.05011664206288146
ACH-000113,-0.1857087635359981
ACH-000116,-0.046964710418008065
ACH-000118,-0.009961512101920334
ACH-000120,-0.06559768920334
ACH-000123,-0.11699589943798955
ACH-000127,-0.16339982210571746
ACH-000128,-0.08455513218099937
ACH-000132,-0.11631140416536632
ACH-000133,-0.22332002689155928
ACH-000137,0.1049591077426218
ACH-000138,-0.19022899155056527
ACH-000142,-0.11530642993221085
ACH-000143,-0.10956826369482447
ACH-000146,-0.03787145597715441
ACH-000148,-0.13770182334893036
ACH-000150,-0.2649232673218002
ACH-000152,-0.47637209175890205
ACH-000153,-0.6003770285781629
ACH-000159,0.034596586435315616
ACH-000160,-0.2738248905415113
ACH-000163,-0.17715427637289166
ACH-000167,-0.04782823750673392
ACH-000168,-0.19778651110624534
ACH-000169,-0.23215110620596374
ACH-000178,-0.13233616340209134
ACH-000183,-0.261967909749748
ACH-000188,-0.3416615205064482
ACH-000189,0.03359574350330065
ACH-000190,-0.16271881364358728
ACH-000198,-0.2433513632314643
ACH-000203,0.5888543594303478
ACH-000204,-0.1713561428087336
ACH-000206,-0.14484480792996088
ACH-000207,-0.1389048645773692
ACH-000208,-0.06585343337710056
ACH-000210,-0.2286564817403963
ACH-000211,-0.13438913423594287
ACH-000215,-0.057879241534986775
ACH-000221,-0.32515340447004
ACH-000222,-0.19645065306383955
ACH-000223,-0.2049397722398842
ACH-000226,-0.15997023661757007
