,TBCE (6905)
ACH-000004,-0.5822748210943988
ACH-000005,-0.7146000176518074
ACH-000007,-0.3484516100116213
ACH-000009,-0.6461308928792002
ACH-000011,-0.40242030133770346
ACH-000012,-0.5673669240906914
ACH-000013,-0.7602853287502416
ACH-000014,-0.4058860924186327
ACH-000015,-0.5763525560611119
ACH-000017,-0.5140083221524289
ACH-000018,-0.7276596928529463
ACH-000019,-0.4851967337483062
ACH-000021,-0.6544958592989873
ACH-000022,-0.5708584356235968
ACH-000025,-0.5735728606850695
ACH-000028,-0.4771554206730722
ACH-000030,-0.41328663668628624
ACH-000035,-0.6849863855524599
ACH-000036,-0.4222615175930501
ACH-000037,-0.5275017588720491
ACH-000039,-0.7255420771703199
ACH-000040,-0.5138359608670117
ACH-000041,-0.4721272573308058
ACH-000042,-0.5998514389920934
ACH-000045,-0.6740515182301877
ACH-000047,-0.5485099011641044
ACH-000052,-0.7774945603573532
ACH-000053,-0.5052289382609153
ACH-000054,-0.6581047819379654
ACH-000055,-0.3588483029708253
ACH-000060,-0.3797722143214667
ACH-000067,-0.6770371627773198
ACH-000070,-0.5760593829576612
ACH-000075,-0.8552590096929327
ACH-000078,-0.303812610467437
ACH-000082,-0.5377464427244633
ACH-000085,-0.6218739738193548
ACH-000086,-0.7491199286523833
ACH-000087,-0.5921887100410828
ACH-000092,-0.6297475622533261
ACH-000095,-0.3458567061579388
ACH-000097,-0.29794589939891075
ACH-000098,-0.562011763694542
ACH-000099,-0.4407654245136417
ACH-000108,-0.4352245708816834
ACH-000113,-0.4084695246598487
ACH-000116,-0.5015016896860374
ACH-000118,-0.6787858397695654
ACH-000120,-0.4845895683755672
ACH-000123,-0.4473981420439108
ACH-000127,-0.4981050486493612
ACH-000128,-0.2876659337400581
ACH-000132,-0.6575939529025301
ACH-000133,-0.4884407128818099
ACH-000137,-0.7447709212843259
ACH-000138,-0.4921675838538482
ACH-000142,-0.6279157628605377
ACH-000143,-0.3631194143643175
ACH-000146,-0.33766781166183035
ACH-000148,-0.6694717851053745
ACH-000150,-0.4525610505059003
ACH-000152,-0.7036368475453462
ACH-000153,-0.5394286794288763
ACH-000159,-0.29750334064704304
ACH-000160,-0.6232112777715287
ACH-000163,-0.7225999533675765
