,A3GALT2 (127550)
ACH-000004,0.0291310328434655
ACH-000005,-0.12438931778290085
ACH-000007,0.08299558418937494
ACH-000009,0.04632538885964535
ACH-000011,-0.03704384775778418
ACH-000012,0.01988402168103846
ACH-000013,-0.03698501398583239
ACH-000014,-0.003591934496863335
ACH-000015,-0.024496839964447917
ACH-000017,-0.14627377724548318
ACH-000018,0.07031944442960432
ACH-000019,-0.0044280484512734955
ACH-000021,-0.05010496497065612
ACH-000022,-0.14513169979339224
ACH-000025,0.005095280267110922
ACH-000028,-0.08293920207544375
ACH-000030,-0.04912004650963445
ACH-000035,0.033257680053551696
ACH-000036,-0.08209244813607823
ACH-000037,0.061927327217815485
ACH-000039,0.05690962910265333
ACH-000040,-0.09437755456712432
ACH-000041,-0.034078671529916525
ACH-000042,-0.1177351814557274
ACH-000045,0.029574781908461224
ACH-000047,-0.01355213526960967
ACH-000052,0.031162839201071962
ACH-000053,-0.10435032136714956
ACH-000054,-0.04173438927035978
ACH-000055,-0.12958817077955495
ACH-000060,-0.20822355918209307
ACH-000067,-0.021005822992874238
ACH-000070,-0.08009124632304594
ACH-000075,-0.16092182735323207
ACH-000078,-0.0423430024014304
ACH-000082,-0.2149997951623394
ACH-000085,-0.1670649116431412
ACH-000086,-0.03976914157300114
ACH-000087,-0.19014381638101951
ACH-000092,-0.2131074546074456
ACH-000095,-0.06788367784228087
ACH-000097,-0.012337580588769732
ACH-000098,-0.04356209864811826
ACH-000099,-0.033922476331204016
ACH-000108,-0.0799570379466574
ACH-000113,0.04567124800529765
ACH-000116,0.0820175224153765
ACH-000118,0.0031791422137353795
ACH-000120,-0.1356161378449773
ACH-000123,-0.06659371063387202
ACH-000127,-0.15953917667591616
ACH-000128,0.042194503206954656
ACH-000132,-0.07130037762773549
ACH-000133,-0.01883207313634282
ACH-000137,-0.12174311643383876
ACH-000138,0.0682267987201327
ACH-000142,-0.052321979995546636
ACH-000143,-0.01766004925962401
ACH-000146,0.01785073048135441
ACH-000148,-0.028099508137507483
ACH-000150,-0.1409887384476597
ACH-000152,-0.0992789590510077
ACH-000153,-0.10211536648802044
ACH-000159,0.06952395723284978
ACH-000160,-0.020486456536345687
ACH-000163,0.15299635665857236
ACH-000167,-0.20006811684765735
ACH-000168,-0.14842692771654406
ACH-000169,0.08926864524518095
ACH-000178,-0.2591208327053407
ACH-000183,0.009549709407886046
ACH-000188,-0.1561840943560328
ACH-000189,0.32615451999246464
ACH-000190,-0.038528663328716725
ACH-000198,-0.07155142349773319
ACH-000203,0.17619611538702454
ACH-000204,-0.18619116477647868
ACH-000206,-0.17577352429687534
ACH-000207,0.2675343853551376
