,FEV (54738)
ACH-000004,0.03309499720227791
ACH-000005,-0.06712472182801425
ACH-000007,0.08304273933355813
ACH-000009,-0.12488853027573675
ACH-000011,-0.055276067596639035
ACH-000012,-0.09509303915786732
ACH-000013,-0.08918896253693326
ACH-000014,0.061406797776274925
ACH-000015,0.03904559718399811
ACH-000017,-0.011963939790170837
ACH-000018,-0.03211482878743782
ACH-000019,-0.1733022512218953
ACH-000021,-0.059588784067306576
ACH-000022,-0.2793120296093947
ACH-000025,-0.06454315988253491
ACH-000028,0.005925901595237156
ACH-000030,-0.16088289636893846
ACH-000035,0.002785130910500516
ACH-000036,-0.12387831737348808
ACH-000037,-0.011817944984988372
ACH-000039,-0.056922179685104726
ACH-000040,-0.08082225145299593
ACH-000041,0.11078080123199144
ACH-000042,-0.00914676182614407
ACH-000045,-0.19250456116353967
ACH-000047,-0.12428786611870213
ACH-000052,-0.09067266101074248
ACH-000053,-0.05057562063450336
ACH-000054,-0.13932560002107666
ACH-000055,0.028943200035853333
ACH-000060,-0.025566733013594942
ACH-000067,0.07036120224161674
ACH-000070,0.04631558581360287
ACH-000075,-0.10818194041136484
ACH-000078,-0.12051265530789282
ACH-000082,-0.1564169936108189
ACH-000085,0.04925515751923981
ACH-000086,-0.16721972102761906
ACH-000087,0.11791443340166907
ACH-000092,-0.21197280252015907
ACH-000095,-0.08923691543219918
ACH-000097,-0.0599705908671552
ACH-000098,-0.017706878210294437
ACH-000099,-0.0067749444559359545
ACH-000108,-0.21369936293292546
ACH-000113,0.08242125070330247
ACH-000116,-0.10399999458065576
ACH-000118,-0.01623009362633184
ACH-000120,-0.06985609345616607
ACH-000123,-0.0851489730289229
ACH-000127,-0.005137657410527319
ACH-000128,-0.1673388552144922
ACH-000132,-0.07666705536860283
ACH-000133,-0.1281468897880214
ACH-000137,-0.14485282566656915
ACH-000138,0.05174381478534773
ACH-000142,0.013349591973141195
ACH-000143,0.11702153454999778
ACH-000146,-0.0257111863840906
ACH-000148,-0.11719256745934968
ACH-000150,-0.050668348124281865
ACH-000152,-0.07861778042867094
ACH-000153,-0.2959826884241304
ACH-000159,-0.05635481601559536
ACH-000160,-0.06865789303951787
ACH-000163,-0.10483930016719052
ACH-000167,-0.2268791561205295
ACH-000168,-0.13531567568102812
ACH-000169,-0.07884485902442415
