,APRT (353)
ACH-000004,-0.3332636950983811
ACH-000005,-0.11100510222344286
ACH-000007,-0.3096232292009847
ACH-000009,-0.1369163365421349
ACH-000011,-0.3871981282535149
ACH-000012,-0.2549950127226523
ACH-000013,-0.2633163212109858
ACH-000014,-0.1371921296282043
ACH-000015,-0.03992524260894025
ACH-000017,-0.2200015537403633
ACH-000018,-0.32361683284409304
ACH-000019,-0.21307150550818604
ACH-000021,-0.14717546806252596
ACH-000022,-0.27873908002580106
ACH-000025,-0.35543038722226805
ACH-000028,-0.3213595452180815
ACH-000030,-0.23250945565783404
ACH-000035,-0.14576020529548206
ACH-000036,-0.3878989357668828
ACH-000037,-0.15978256269100632
ACH-000039,-0.2716911454226588
ACH-000040,-0.16670755818465868
ACH-000041,0.0030389207663661195
ACH-000042,-0.16314501597444056
ACH-000045,-0.17529487015245834
ACH-000047,-0.41548435825036667
ACH-000052,-0.3177388996948466
ACH-000053,-0.15462904850174514
ACH-000054,-0.2177644741219488
ACH-000055,-0.2161567477724948
ACH-000060,-0.2447281859886497
ACH-000067,-0.1552116019849586
ACH-000070,-0.2135902438831804
ACH-000075,-0.20988461664929225
ACH-000078,-0.1550997471195163
ACH-000082,-0.19171787798700807
ACH-000085,-0.3117053746649333
ACH-000086,-0.18131341621461072
ACH-000087,-0.13743044768738366
ACH-000092,-0.1821493260977093
ACH-000095,-0.20111257808859656
ACH-000097,-0.19587803337815976
ACH-000098,-0.09758381808977652
ACH-000099,-0.08967656540860176
ACH-000108,-0.3783204526117277
ACH-000113,-0.2349906737354339
ACH-000116,-0.19077624115383413
ACH-000118,-0.03410592475205903
ACH-000120,-0.256504556328402
ACH-000123,-0.2956178847841611
ACH-000127,-0.2508773296674668
ACH-000128,-0.1026024019625147
ACH-000132,-0.30123756972746696
ACH-000133,-0.2985052168965519
ACH-000137,-0.19392611881397825
ACH-000138,-0.1053103980475141
ACH-000142,-0.15792824026787525
ACH-000143,-0.14423283273716872
ACH-000146,-0.10898164023610772
ACH-000148,-0.15786701320892668
ACH-000150,-0.21346749314400507
ACH-000152,-0.3027184216188521
ACH-000153,-0.2765183992818301
ACH-000159,-0.2577692661099188
ACH-000160,-0.06474039270085198
ACH-000163,-0.2775847505268293
ACH-000167,-0.4087122398326319
ACH-000168,-0.2831395361131541
ACH-000169,-0.08205417070590222
ACH-000178,-0.2112017553709344
ACH-000183,0.01069522730270224
ACH-000188,-0.07180075049839311
ACH-000189,-0.16541552921830602
ACH-000190,-0.014480843232419412
ACH-000198,-0.1810605390079222
ACH-000203,-0.4830761818251516
ACH-000204,-0.16707877742223867
ACH-000206,-0.21852217503417545
ACH-000207,-0.2261211525967889
ACH-000208,-0.21199261781355136
ACH-000210,-0.13747774777667904
ACH-000211,-0.2259768172374328
ACH-000215,-0.1174190953480703
ACH-000221,-0.3372447475257186
ACH-000222,-0.203011761318617
ACH-000223,-0.23626929550727385
ACH-000226,-0.17234048823494458
ACH-000227,-0.250370590235207
ACH-000228,-0.22550807178069016
ACH-000231,-0.2108989725199775
ACH-000232,-0.17789578357135008
ACH-000233,-0.20267144543323204
ACH-000234,-0.16158136299842998
ACH-000235,-0.19481214779372366
ACH-000237,-0.305788834064998
ACH-000238,-0.2841148163283324
ACH-000242,-0.10071105521683613
ACH-000243,-0.11929711436754373
ACH-000244,-0.4447704900743577
ACH-000246,-0.2586129913117659
ACH-000248,-0.35462388773963643
ACH-000250,-0.3274216468157537
ACH-000251,-0.2806014339651471
ACH-000252,-0.18909943913612545
