,CD300LG (146894)
ACH-000004,-0.05317887041605466
ACH-000005,0.004691766216542
ACH-000007,0.07379396552602566
ACH-000009,-0.03646090281305278
ACH-000011,0.02755102580700201
ACH-000012,-0.12953010357814762
ACH-000013,-0.15991891297875185
ACH-000014,-0.014407434735152613
ACH-000015,-0.08891239159257329
ACH-000017,-0.11012756659668084
ACH-000018,0.010809399271983357
ACH-000019,0.07203648846181328
ACH-000021,0.003937614169354249
ACH-000022,-0.07922553947427162
ACH-000025,-0.04002082973619374
ACH-000028,-0.04924794826175898
ACH-000030,-0.07540878733116993
ACH-000035,-0.16590898637674026
ACH-000036,-0.0664845624733741
ACH-000037,-0.002715162257910662
ACH-000039,-0.15916991306593806
ACH-000040,-0.2579897470372366
ACH-000041,-0.06394164621734012
ACH-000042,-0.1458954192868961
ACH-000045,-0.14825658569388714
ACH-000047,-0.16319555383651674
ACH-000052,0.001390514765616933
ACH-000053,-0.139171470647962
ACH-000054,-0.05445101376634589
ACH-000055,-0.052701448659353084
ACH-000060,-0.2258407078453268
ACH-000067,0.13762622406750125
ACH-000070,0.10539780805379828
ACH-000075,-0.04065237142508474
ACH-000078,0.013272354219342673
ACH-000082,-0.16960792813624884
ACH-000085,0.0494621809011278
ACH-000086,-0.08442599974122683
ACH-000087,0.04809729064427177
ACH-000092,-0.12688544163736892
ACH-000095,-0.11070144707987667
ACH-000097,-0.1256116566909042
ACH-000098,-0.09842407453715367
ACH-000099,0.014263156443760604
ACH-000108,-0.02993755911934625
ACH-000113,0.026603483536466046
ACH-000116,-0.11110815556797997
ACH-000118,-0.12716913285037051
ACH-000120,-0.14728634587595366
ACH-000123,-0.08528977976729768
ACH-000127,0.003260565368000044
ACH-000128,-0.0029076118918018017
ACH-000132,-0.10316557928684418
ACH-000133,-0.2032653230740239
ACH-000137,-0.01515122309741575
ACH-000138,-0.2816362903586273
ACH-000142,-0.08594023218816788
ACH-000143,-0.1833667832312192
ACH-000146,-0.05441413803869327
ACH-000148,-0.06668281756927089
ACH-000150,-0.16763889178140565
ACH-000152,-0.044844536396558186
ACH-000153,0.10387134108172992
ACH-000159,0.01347133028301788
ACH-000160,-0.13259652327625865
ACH-000163,0.12466177259412695
