,PYGM (5837)
ACH-000004,-0.08921070621878008
ACH-000005,0.07773913730783402
ACH-000007,-0.3917662672487664
ACH-000009,0.015714059693439874
ACH-000011,-0.15745575654657626
ACH-000012,-0.3149362697591056
ACH-000013,-0.21576026459059905
ACH-000014,-0.1176976741242232
ACH-000015,-0.1418273487656843
ACH-000017,-0.2455359155064616
ACH-000018,-0.3503718774560061
ACH-000019,-0.2315552656434283
ACH-000021,-0.17087438315210726
ACH-000022,-0.2467199718237317
ACH-000025,-0.2610151809646949
ACH-000028,-0.4144534466745868
ACH-000030,-0.3201415792811066
ACH-000035,-0.1066415993805682
ACH-000036,-0.28628878256307444
ACH-000037,-0.32492555768113995
ACH-000039,-0.22270384458775774
ACH-000040,-0.20911248156264173
ACH-000041,-0.14381900018210172
ACH-000042,-0.3876598642350711
ACH-000045,-0.2732864223382636
ACH-000047,-0.19723896943996894
ACH-000052,-0.1926648679927712
ACH-000053,-0.28797685935997897
ACH-000054,-0.186191519678484
ACH-000055,-0.2775307646016429
ACH-000060,-0.2396094247780741
ACH-000067,-0.1800651585747291
ACH-000070,-0.297296897883976
ACH-000075,-0.3300933652379308
ACH-000078,-0.1545431145801167
ACH-000082,-0.3560042894214466
ACH-000085,-0.21214078491055552
ACH-000086,-0.35690568725124866
ACH-000087,-0.10839125123782252
ACH-000092,-0.29531229553112365
ACH-000095,-0.12511771476919747
ACH-000097,-0.2718287082110252
ACH-000098,-0.2364216582448261
ACH-000099,-0.11101546399024896
ACH-000108,-0.35655625289015463
ACH-000113,-0.2092599779350784
ACH-000116,-0.3969595478705187
ACH-000118,-0.3433765189996648
ACH-000120,-0.3703487123428197
ACH-000123,-0.13247716295663006
ACH-000127,-0.2436229447568064
ACH-000128,-0.12420625558107573
ACH-000132,-0.4542237179725471
ACH-000133,-0.2370243914235033
ACH-000137,-0.3602459553066251
ACH-000138,-0.32879335178733776
ACH-000142,-0.3366717422884785
ACH-000143,-0.2944595527033023
ACH-000146,-0.18807333262702847
ACH-000148,-0.1518516801871352
ACH-000150,-0.4115443162643706
ACH-000152,-0.19190086440743132
ACH-000153,-0.4076418171584277
ACH-000159,-0.057518975207837976
ACH-000160,-0.4065409833587328
ACH-000163,-0.2030564551455465
ACH-000167,0.1431780355879472
ACH-000168,-0.18885750284437086
ACH-000169,-0.11639089502450535
ACH-000178,-0.2503428251569152
ACH-000183,-0.2938151087533849
ACH-000188,-0.3644623093665587
ACH-000189,-0.4378056712819336
ACH-000190,-0.21681872732401414
ACH-000198,-0.1282969400660415
ACH-000203,-0.5341558310296677
ACH-000204,-0.2804399459624653
ACH-000206,-0.3262444081816185
ACH-000207,-0.1306483670469905
ACH-000208,-0.07940820652411629
ACH-000210,-0.14641055525004598
ACH-000211,-0.2386323861848953
ACH-000215,-0.16425955767011355
ACH-000221,-0.3025288476901284
ACH-000222,-0.1817916141900828
ACH-000223,-0.0273172531116516
ACH-000226,-0.18585818193610232
ACH-000227,-0.005601415079945928
ACH-000228,-0.5432051799908716
ACH-000231,-0.2045138810056286
ACH-000232,-0.09060279581660388
ACH-000233,-0.3150284389043069
ACH-000234,-0.2355436204822633
ACH-000235,-0.26561355195313985
ACH-000237,-0.2688711529645463
ACH-000238,-0.37006482301907095
ACH-000242,-0.09351213377483733
ACH-000243,-0.19727642730355774
ACH-000244,-0.3045287251647598
ACH-000246,-0.08327058766141568
ACH-000248,-0.20445761057127626
ACH-000250,-0.24362101779282905
ACH-000251,-0.3850120793765294
ACH-000252,-0.2576775652940477
ACH-000253,-0.1934683267257508
ACH-000255,-0.4327650351650344
ACH-000256,-0.5105546230137362
ACH-000257,-0.2533205271198828
ACH-000258,-0.16824868035783894
ACH-000259,-0.3382903277603043
ACH-000260,-0.2844365401146395
ACH-000261,-0.3032086838824135
ACH-000262,-0.2603083884644734
ACH-000263,-0.23097486005488085
ACH-000264,-0.16941996388239225
ACH-000265,-0.17564775403287858
ACH-000266,-0.29227397262840005
ACH-000272,-0.13914592793290342
ACH-000274,-0.1035367539342408
ACH-000277,-0.09607891348600356
ACH-000278,-0.18201696389454688
ACH-000279,-0.2395009830095864
ACH-000280,-0.22258075178981326
ACH-000281,-0.20159570794210668
ACH-000288,-0.2392154405770804
ACH-000291,-0.06312441221671238
ACH-000293,-0.3055976650718813
ACH-000294,-0.2053465818391964
ACH-000295,-0.3255244842053381
ACH-000296,-0.07554767158204928
ACH-000302,-0.24637160912846606
ACH-000304,-0.029035210577806263
ACH-000307,-0.09123462542403103
ACH-000308,-0.3516413922737678
ACH-000310,-0.1922271257617189
ACH-000311,-0.2874917436333349
ACH-000312,-0.2246468153138187
ACH-000315,-0.44530671416812506
ACH-000316,-0.4255152734827554
ACH-000317,-0.4247117129150987
ACH-000318,-0.5088877082387604
ACH-000319,-0.285050646873134
ACH-000320,-0.28132165957093763
ACH-000322,-0.2863562038088843
ACH-000323,-0.1616624298080139
ACH-000324,-0.13992380085120787
ACH-000329,0.040734289769852994
ACH-000330,-0.3076446526367509
ACH-000331,-0.2677142337031685
ACH-000332,-0.3512825145820857
ACH-000334,-0.04683367095720847
ACH-000335,-0.10436711917801504
ACH-000336,-0.3644338967729648
ACH-000337,-0.6983341079385836
ACH-000338,-0.6236439788116819
ACH-000339,-0.18359435285340375
ACH-000341,-0.32022071616248865
ACH-000348,0.032595258298747716
ACH-000350,-0.08029896590414122
ACH-000352,-0.4014566984820323
ACH-000356,-0.512899761378725
ACH-000361,-0.15257527943639593
ACH-000362,-0.15397021804046546
ACH-000363,-0.2407335738691911
ACH-000364,-0.2949615610168909
ACH-000365,-0.25562738340399305
ACH-000366,-0.4306032327778199
ACH-000368,-0.31561652698939824
ACH-000374,-0.4273106900556897
ACH-000375,-0.3685510782607312
ACH-000376,-0.4882473760526556
ACH-000381,-0.2197118248163403
ACH-000383,-0.3335969484399484
ACH-000387,-0.03890044093938324
ACH-000389,-0.1629530569390044
ACH-000390,-0.22442088946007946
ACH-000393,-0.18121634742132567
ACH-000395,-0.2701399719375901
ACH-000396,-0.3605579035442828
ACH-000397,-0.2661316706739605
ACH-000401,-0.09445696168539132
ACH-000402,-0.4527439943832972
ACH-000403,-0.21206553881339665
ACH-000404,-0.5599064891069938
ACH-000406,-0.18649755300463464
ACH-000407,-0.2857295647024449
ACH-000408,-0.3556800860170982
ACH-000410,-0.07992304395460788
