,UBA3 (9039)
ACH-000004,-1.1363016525145522
ACH-000005,-1.0841002180483912
ACH-000007,-0.7266736100780893
ACH-000009,-0.6707366344251465
ACH-000011,-0.8345397777548007
ACH-000012,-0.9205566657427964
ACH-000013,-0.7874126517896896
ACH-000014,-0.8158499889620787
ACH-000015,-0.9201797425044408
ACH-000017,-0.8143889211107891
ACH-000018,-0.7895809607030133
ACH-000019,-0.6414434162113102
ACH-000021,-0.8284185297747781
ACH-000022,-0.8106245532430689
ACH-000025,-0.7630791863140459
ACH-000028,-0.8042821922646732
ACH-000030,-0.9199218137102751
ACH-000035,-0.7822574571103001
ACH-000036,-0.7611018367407847
ACH-000037,-0.6250954224172902
ACH-000039,-0.8498594034876166
ACH-000040,-0.8770585627929559
ACH-000041,-1.0475738614579242
ACH-000042,-0.9903342185619558
ACH-000045,-0.636358140553359
ACH-000047,-0.8086254304505435
ACH-000052,-0.8941909768010665
ACH-000053,-0.5056916660442274
ACH-000054,-0.9248790349092816
ACH-000055,-0.785944013077307
ACH-000060,-1.1314484978124348
ACH-000067,-0.7563879726034498
ACH-000070,-0.7923563759553213
ACH-000075,-0.8467755283528758
ACH-000078,-0.8516371116771909
ACH-000082,-0.531782081996525
ACH-000085,-0.8534427085337829
ACH-000086,-0.8130716500412225
ACH-000087,-0.9454402246063216
ACH-000092,-0.5443242138136951
ACH-000095,-0.7911484216319673
ACH-000097,-0.8336305029723673
ACH-000098,-0.7772630417555145
ACH-000099,-0.7782765400175402
ACH-000108,-0.6816459346621682
ACH-000113,-0.6153713103183436
ACH-000116,-0.8592351812376395
ACH-000118,-0.7999911375422653
ACH-000120,-0.9219886078182814
ACH-000123,-0.5935669481406759
ACH-000127,-0.7145109107154773
ACH-000128,-0.7260556177140586
ACH-000132,-0.8420446893768095
ACH-000133,-0.840270756954746
ACH-000137,-0.8501429351349487
ACH-000138,-0.9261962071806762
ACH-000142,-0.8365142151138539
ACH-000143,-0.8385004409945319
ACH-000146,-0.8946897974966209
ACH-000148,-0.8506494689327311
ACH-000150,-0.987674769316546
ACH-000152,-0.9166930026812086
ACH-000153,-1.1187406179381598
ACH-000159,-0.7763758005395607
ACH-000160,-1.072242437497652
ACH-000163,-0.6775904546058719
ACH-000167,-0.9772333468372804
ACH-000168,-0.7297766178720468
ACH-000169,-0.9929207377743552
ACH-000178,-0.9335457821152452
ACH-000183,-0.7483874069048411
ACH-000188,-1.0584487592335838
ACH-000189,-0.9155945077906016
ACH-000190,-0.7615800474333922
ACH-000198,-0.7553133027986423
ACH-000203,-0.5517497294901339
ACH-000204,-1.187591637066668
ACH-000206,-0.5657860792913814
ACH-000207,-0.7294396887496396
ACH-000208,-0.8364688124746908
ACH-000210,-0.6891098938683293
ACH-000211,-0.8428210818434255
ACH-000215,-0.8614646604453579
ACH-000221,-0.7711094323848005
ACH-000222,-0.7743667663028342
ACH-000223,-0.8227864631686723
ACH-000226,-0.7740814320234779
ACH-000227,-0.6098975445457525
ACH-000228,-0.9631658069025859
ACH-000231,-0.9009009140176888
ACH-000232,-0.8313355622655524
ACH-000233,-0.7585347766473174
ACH-000234,-0.8652903451980071
ACH-000235,-0.9188838859860308
ACH-000237,-0.8858993509978783
ACH-000238,-0.8745678428476693
ACH-000242,-0.4538314096992773
ACH-000243,-0.9146382788439584
ACH-000244,-0.7207833496646244
ACH-000246,-0.8600318817393645
ACH-000248,-0.9571937622183038
ACH-000250,-0.9246340360880744
ACH-000251,-1.2039305073173792
ACH-000252,-0.801431853302726
ACH-000253,-1.0119671360988511
ACH-000255,-0.8298439085936444
ACH-000256,-0.7187220189428744
ACH-000257,-0.9652805659046302
ACH-000258,-1.2801657178156678
ACH-000259,-0.8403665905975463
ACH-000260,-0.9898729470483112
ACH-000261,-1.0766484060171215
ACH-000262,-0.8730928992232029
ACH-000263,-0.6820995196421298
ACH-000264,-0.9070553444381706
ACH-000265,-0.974480039078272
