,C2CD4D (100191040)
ACH-000004,0.07667759714363066
ACH-000005,0.17886584861927324
ACH-000007,0.0009145752112719409
ACH-000009,-0.13189712704608364
ACH-000011,-0.13774148217306034
ACH-000012,-0.13267300240161894
ACH-000013,-0.20500762491956426
ACH-000014,-0.07315266427714619
ACH-000015,0.021257023729235137
ACH-000017,0.03855736646115024
ACH-000018,-0.020565415600626268
ACH-000019,-0.07590352843298878
ACH-000021,-0.06854652229378945
ACH-000022,-0.03368080885829273
ACH-000025,-0.21933212946627828
ACH-000028,-0.08067053027100002
ACH-000030,-0.02993383381754142
ACH-000035,-0.16847160874502126
ACH-000036,-0.10030780060779602
ACH-000037,-0.049222046469781434
ACH-000039,-0.2424077966797832
ACH-000040,0.03807611284427052
ACH-000041,-0.07627578160553895
ACH-000042,0.006016467783871303
ACH-000045,0.07573000255853217
ACH-000047,-0.25960697817564443
ACH-000052,-0.2308133819590692
ACH-000053,-0.09009800090652187
ACH-000054,-0.03529736679225691
ACH-000055,-0.28429280039949245
ACH-000060,-0.0806810943097498
ACH-000067,-0.15270580442899276
ACH-000070,-0.3337849103133458
ACH-000075,-0.1902120261719802
ACH-000078,-0.06633836886730657
ACH-000082,-0.017886198524966753
ACH-000085,-0.2118154384283699
ACH-000086,-0.2873640838210597
ACH-000087,-0.23734008168386336
ACH-000092,-0.10405713309369356
ACH-000095,-0.07744909387227614
ACH-000097,-0.12102872284580693
ACH-000098,-0.08053685057727883
ACH-000099,-0.13478017237189427
ACH-000108,-0.24163280936695705
ACH-000113,-0.04869404106962802
ACH-000116,-0.032158517747540305
ACH-000118,-0.06547406387855084
ACH-000120,-0.2819331667626368
ACH-000123,0.0793920951899096
ACH-000127,-0.06755194585816304
ACH-000128,-0.2932799879472052
ACH-000132,-0.10457322248666656
ACH-000133,-0.106736808408987
ACH-000137,-0.17403217838011495
ACH-000138,0.0013321755726430707
ACH-000142,-0.1778838018739543
ACH-000143,-0.14198710749557694
ACH-000146,-0.04558759681442927
ACH-000148,-0.22939819917398746
ACH-000150,0.0015842013754371286
ACH-000152,-0.05379474800908248
ACH-000153,-0.24140566013854806
ACH-000159,-0.16529836231879494
ACH-000160,0.016869463514657724
ACH-000163,-0.07925198558839483
ACH-000167,0.43601875849695776
ACH-000168,-0.12147059753460265
ACH-000169,-0.042365631438704615
ACH-000178,-0.12174591011889632
ACH-000183,-0.21121388810968394
ACH-000188,-0.1359720284138361
ACH-000189,-0.2736842705471311
ACH-000190,-0.010268572448818552
ACH-000198,-0.005469437819673234
ACH-000203,-0.16626975629683693
ACH-000204,-0.2772024660486405
ACH-000206,-0.19105484446780532
ACH-000207,-0.2735262850471773
ACH-000208,-0.6133318440274955
ACH-000210,-0.1289603176302689
ACH-000211,-0.0397230939659283
ACH-000215,-0.0984297641153696
ACH-000221,-0.207038497365484
ACH-000222,0.12886986324525854
ACH-000223,-0.018907265519697715
ACH-000226,-0.19842159431712814
ACH-000227,0.20406530074057885
ACH-000228,-0.1518123628226854
ACH-000231,-0.2731176260981729
ACH-000232,-0.11872274156854805
ACH-000233,0.013509081982006777
ACH-000234,0.09224502814640537
ACH-000235,-0.03791826949009167
ACH-000237,-0.013628777943396463
ACH-000238,-0.007443047503615524
ACH-000242,0.09022161740378408
ACH-000243,-0.0755797280427833
ACH-000244,0.16377346771860596
ACH-000246,-0.2558621496541356
ACH-000248,-0.17395418181859318
ACH-000250,-0.17430822570176568
ACH-000251,-0.23334286076390134
ACH-000252,-0.19540272684321824
ACH-000253,-0.2359851302271764
ACH-000255,-0.2926294879806043
ACH-000256,-0.2246936427453338
ACH-000257,-0.21050631137143747
ACH-000258,0.0917880310420978
ACH-000259,-0.03919038361308586
ACH-000260,-0.21248771522138066
ACH-000261,0.048148887103644525
ACH-000262,-0.017718926028495327
ACH-000263,-0.04999193487260367
ACH-000264,-0.16156678843741515
ACH-000265,-0.07997098745102002
ACH-000266,-0.060003705147236436
ACH-000272,-0.0953064844510672
ACH-000274,0.01914771915183928
ACH-000277,-0.08350234942384081
ACH-000278,0.03495186596586939
ACH-000279,-0.006749165087503877
ACH-000280,-0.11146949892929807
ACH-000281,-0.1391579271162406
ACH-000288,-0.11533088273212425
ACH-000291,-0.058496252815654536
ACH-000293,-0.11092693313430063
ACH-000294,-0.24300518199055066
ACH-000295,-0.10563431746514952
ACH-000296,0.07720903620306313
ACH-000302,-0.07444093059294231
ACH-000304,-0.10217067910822396
ACH-000307,-0.04929907856946942
ACH-000308,-0.14985490829015627
ACH-000310,-0.17901092120093612
ACH-000311,0.011029584829981216
ACH-000312,-0.04593476086390806
ACH-000315,0.14707083246165242
ACH-000316,-0.1070394285556484
ACH-000317,-0.1530197930996523
ACH-000318,-0.17094151237454908
ACH-000319,-0.13052505051980756
