,PNKD (25953)
ACH-000004,-0.21083157120732265
ACH-000005,-0.3256762752835369
ACH-000007,-0.14794761371018672
ACH-000009,-0.26320090644369065
ACH-000011,-0.12623602196705658
ACH-000012,-0.22642354963703026
ACH-000013,-0.2386547824825111
ACH-000014,-0.1509903118042546
ACH-000015,-0.16271714555845107
ACH-000017,-0.1254100069779064
ACH-000018,-0.4001704699136635
ACH-000019,-0.03708395382997296
ACH-000021,-0.2159703149278008
ACH-000022,-0.19908907990435368
ACH-000025,-0.19562595552535908
ACH-000028,-0.21485249702477446
ACH-000030,-0.2834303085720575
ACH-000035,0.05422021988639862
ACH-000036,-0.40115934529969377
ACH-000037,-0.3574562581617208
ACH-000039,-0.20259291692738748
ACH-000040,-0.2526340443919056
ACH-000041,-0.37199322146774144
ACH-000042,-0.2095416824996805
ACH-000045,-0.19268695184026266
ACH-000047,-0.23563014187784526
ACH-000052,-0.21182218764512395
ACH-000053,-0.26354067015155075
ACH-000054,-0.1396795167464955
ACH-000055,-0.1386824000184866
ACH-000060,-0.26282562240563395
ACH-000067,-0.37314878886736463
ACH-000070,-0.29476746101795004
ACH-000075,-0.2797760184184213
ACH-000078,-0.3378380487843403
ACH-000082,-0.22197626075687849
ACH-000085,-0.2106938977430553
ACH-000086,-0.2819271135946237
ACH-000087,-0.3242671603985036
ACH-000092,-0.25753234833068217
ACH-000095,-0.1962443835776272
ACH-000097,-0.17463606669284895
ACH-000098,-0.3635023830823231
ACH-000099,-0.20430608289714802
ACH-000108,-0.30231775564154306
ACH-000113,-0.4190470893923838
ACH-000116,-0.16604719918065272
ACH-000118,-0.21756867461026688
ACH-000120,-0.26192532253859063
ACH-000123,-0.21783543394168045
ACH-000127,-0.1941835465508449
ACH-000128,-0.28532773874736617
ACH-000132,-0.2732105870144348
ACH-000133,-0.4649935384592715
ACH-000137,-0.17760081730147675
ACH-000138,-0.22809602216604175
ACH-000142,-0.2390545190012429
ACH-000143,-0.11395955459779054
ACH-000146,-0.3151479468879051
ACH-000148,-0.2750161988412287
ACH-000150,-0.2681389375507975
ACH-000152,-0.19819025631917025
ACH-000153,-0.2886877871042293
ACH-000159,-0.2618623988098592
ACH-000160,-0.22847391152393154
ACH-000163,-0.19308925764578624
ACH-000167,-0.4045733110268287
ACH-000168,-0.26781085633444984
ACH-000169,-0.16285137081404066
ACH-000178,-0.2347859926482879
ACH-000183,-0.2392293794873767
ACH-000188,-0.2379769080294417
ACH-000189,-0.24397463047899998
ACH-000190,-0.2501544895125394
ACH-000198,-0.1335517097485478
ACH-000203,-0.24974309036013725
ACH-000204,-0.2682059719713237
ACH-000206,-0.13952244111063725
ACH-000207,-0.11042267332377168
ACH-000208,-0.3521685761832273
ACH-000210,-0.3003540664792921
ACH-000211,-0.2751397323339328
ACH-000215,-0.2512323637737374
ACH-000221,-0.1138563406085063
ACH-000222,-0.1261023132225148
ACH-000223,-0.2631221384715475
ACH-000226,-0.11871386937561823
ACH-000227,-0.3075430294588045
ACH-000228,-0.190580984183897
ACH-000231,-0.24088378865194596
ACH-000232,-0.20143275501252725
ACH-000233,-0.24562581482793344
ACH-000234,-0.30779721462059484
ACH-000235,-0.19090918793954373
ACH-000237,-0.28529015631472737
ACH-000238,-0.17542275241794958
ACH-000242,-0.5596474589242446
ACH-000243,-0.21096780225075049
ACH-000244,0.06509181072830701
ACH-000246,-0.15707682810210366
ACH-000248,-0.23141443286500604
ACH-000250,-0.2450982850420058
ACH-000251,-0.15207446684250586
ACH-000252,-0.0837217189405688
ACH-000253,-0.3285789764310695
ACH-000255,-0.2651643155864222
ACH-000256,-0.3573419843433441
ACH-000257,0.09867901166156813
ACH-000258,-0.2527960012310634
ACH-000259,-0.13490520125182226
ACH-000260,-0.24190503621969905
ACH-000261,-0.3728573712590341
ACH-000262,-0.037663455622087824
ACH-000263,-0.18539325667267734
ACH-000264,-0.2511744035104048
ACH-000265,-0.228023559286414
ACH-000266,-0.22212757348605408
ACH-000272,-0.3505351259615063
ACH-000274,-0.2762032278173185
ACH-000277,-0.269405371603548
ACH-000278,-0.17750802125529608
ACH-000279,-0.3610757707972339
ACH-000280,-0.14226329721636638
ACH-000281,-0.4525076092921102
ACH-000288,-0.3033366262440582
ACH-000291,-0.1437381411458028
ACH-000293,-0.11812636021482595
ACH-000294,-0.22125097731343785
ACH-000295,-0.21761959137368025
ACH-000296,-0.06761880378778423
ACH-000302,-0.18531232269351333
ACH-000304,-0.4341192761481091
ACH-000307,-0.19254273263361069
ACH-000308,-0.26653444051485875
ACH-000310,-0.3162160407430709
ACH-000311,-0.1853501742535422
ACH-000312,-0.2610102450979609
ACH-000315,-0.2332193899623338
ACH-000316,-0.17616151316541698
ACH-000317,-0.1988744071683554
ACH-000318,-0.2102939736509948
ACH-000319,-0.11791457849572892
ACH-000320,-0.4590788417192052
ACH-000322,-0.22856551345507264
ACH-000323,-0.2225923324027229
ACH-000324,-0.2451638066680423
ACH-000329,-0.4714155391246677
ACH-000330,-0.19781318160649505
ACH-000331,-0.3205388332671194
ACH-000332,-0.2556227654578773
ACH-000334,-0.2295543971584145
ACH-000335,-0.21637071367681093
ACH-000336,-0.11890301617021537
ACH-000337,-0.3182210250881669
ACH-000338,-0.09356554411233056
ACH-000339,-0.2451334436270935
ACH-000341,-0.2375218917655744
ACH-000348,-0.2440732269950954
ACH-000350,-0.17193464598033376
ACH-000352,-0.20828057151870535
ACH-000356,-0.3374070256939585
ACH-000361,-0.08928759735586526
