,HIST1H2BN (8341)
ACH-000004,-0.5108157282090335
ACH-000005,-0.15101928784142205
ACH-000007,-0.4753787767891468
ACH-000009,-0.4379759107589935
ACH-000011,-0.7437459540109994
ACH-000012,-0.5830781069415366
ACH-000013,-0.29257445151759404
ACH-000014,-0.5625230629322385
ACH-000015,-0.2412398490606852
ACH-000017,-0.5431826877086596
ACH-000018,-0.43495301269410996
ACH-000019,-0.5682234673937476
ACH-000021,-0.2513053131937582
ACH-000022,-0.3062943727606703
ACH-000025,-0.3819823066408128
ACH-000028,-0.5673860653432898
ACH-000030,-0.20285196164062008
ACH-000035,-0.6388723531086118
ACH-000036,-0.4191624703304518
ACH-000037,-0.18711134735071092
ACH-000039,-0.475655065305721
ACH-000040,-0.5469653637209709
ACH-000041,-0.5317047580227383
ACH-000042,-0.3723332635405146
ACH-000045,-0.4274813885827573
ACH-000047,-0.20423254806160526
ACH-000052,-0.5081761320520742
ACH-000053,-0.4520818358289066
ACH-000054,-0.2327662640922188
ACH-000055,-0.3969665887985086
ACH-000060,-0.3094057470142748
ACH-000067,-0.3648097953147971
ACH-000070,-0.5680865795122212
ACH-000075,-0.4679159244267975
ACH-000078,-0.5507105046842443
ACH-000082,-0.5832445876922042
ACH-000085,-0.4329541127509761
ACH-000086,-0.6663470139515983
ACH-000087,-0.3003747505108806
ACH-000092,-0.4561563379059295
ACH-000095,-0.6192235940055631
ACH-000097,-0.4627565587683086
ACH-000098,-0.4678651434449024
ACH-000099,-0.4754951437877765
ACH-000108,-0.3178561232172285
ACH-000113,-0.2565340756172355
ACH-000116,-0.27285640079972256
ACH-000118,-0.4006411075149317
ACH-000120,-0.235193795924844
ACH-000123,-0.4310039133681768
ACH-000127,-0.3927569862555715
ACH-000128,-0.2644115909655998
ACH-000132,-0.2705987563221015
ACH-000133,-0.4246835485341972
ACH-000137,-0.29056758988962417
ACH-000138,-0.4599972690659768
ACH-000142,-0.43260559581195296
ACH-000143,-0.44476585391038015
ACH-000146,-0.5116499570090269
ACH-000148,-0.3313303935363117
ACH-000150,-0.3584884911318281
ACH-000152,-0.332039144106268
ACH-000153,-0.34118749891814626
ACH-000159,-0.3551384964920216
ACH-000160,-0.17172527175858204
ACH-000163,-0.4286397470171507
ACH-000167,0.2930257249304087
ACH-000168,-0.49511833689893203
ACH-000169,-0.5738480608952946
ACH-000178,-0.4062194151166533
ACH-000183,-0.2561821212382482
ACH-000188,-0.6327665770623945
ACH-000189,-0.3666364252559236
ACH-000190,-0.044431053001837625
ACH-000198,-0.615910697838483
ACH-000203,-0.7010906732585773
ACH-000204,-0.24295706169458656
ACH-000206,-0.6222392273753019
ACH-000207,-0.4264439873575452
ACH-000208,-0.4747738537611466
ACH-000210,-0.5402329115093821
ACH-000211,-0.4141793963745909
ACH-000215,-0.4926021411498727
ACH-000221,-0.3447926232509728
ACH-000222,-0.3578395165425701
ACH-000223,-0.5609761403380499
ACH-000226,-0.6059816773591807
ACH-000227,-0.3624273635156725
ACH-000228,-0.4239633712662448
ACH-000231,-0.6285689435569318
ACH-000232,-0.4666664128537306
ACH-000233,-0.5163909008950379
ACH-000234,-0.36090478539104415
ACH-000235,-0.2958647670430123
ACH-000237,-0.2478123090413061
ACH-000238,-0.3756260222471648
ACH-000242,-0.2141276801078175
ACH-000243,-0.2546901409906301
ACH-000244,-0.6044452338131328
ACH-000246,-0.4095489158514631
ACH-000248,-0.3537698984557469
ACH-000250,-0.3506840894949654
ACH-000251,-0.4684249133652322
ACH-000252,-0.3832012169110016
ACH-000253,-0.5483109079593859
ACH-000255,-0.4284690318725775
ACH-000256,-0.3706422015473488
ACH-000257,-0.08791184760207668
ACH-000258,-0.5042835316756641
ACH-000259,-0.34981269394643894
ACH-000260,-0.5038109372867369
ACH-000261,-0.33566772636012543
ACH-000262,-0.2589457900106791
ACH-000263,-0.5546875641600575
ACH-000264,-0.4339599413374308
ACH-000265,-0.43811757574539184
ACH-000266,-0.3385659285821239
ACH-000272,-0.4329696035180049
ACH-000274,-0.2688535354127249
ACH-000277,-0.5059110822255183
ACH-000278,-0.4143311201754808
ACH-000279,-0.491770244173603
ACH-000280,-0.5196620379697313
ACH-000281,-0.3361814539960941
ACH-000288,-0.3261249767159345
ACH-000291,-0.20673474345843573
ACH-000293,-0.4961990321628089
ACH-000294,-0.302233449185569
ACH-000295,-0.29210715255890984
ACH-000296,-0.3997354270363508
ACH-000302,-0.13834112927155234
ACH-000304,-0.3873206431200673
ACH-000307,-0.4244690335844513
ACH-000308,-0.3226916410143197
ACH-000310,-0.5191951645098404
ACH-000311,-0.35832208510266433
ACH-000312,-0.28685002477079674
ACH-000315,-0.01531130088230484
ACH-000316,-0.24864296697146954
ACH-000317,-0.8499626208521357
ACH-000318,-0.5201006770883635
ACH-000319,-0.465727372704266
ACH-000320,-0.5447944870144245
ACH-000322,-0.5410931934801578
ACH-000323,-0.32791399730575616
ACH-000324,-0.5813163868319785
ACH-000329,-0.563518592281947
ACH-000330,-0.4492221044262147
ACH-000331,-0.4624217909006332
ACH-000332,-0.31013687763610914
ACH-000334,-0.24597333782677866
ACH-000335,-0.6236118800456015
ACH-000336,-0.3398906999341464
ACH-000337,-0.2580763715590935
ACH-000338,-0.454702036676421
ACH-000339,-0.1781962902791279
ACH-000341,-0.15615886030968992
ACH-000348,-0.3932384629318024
ACH-000350,-0.357391538975998
ACH-000352,-0.2657708179845181
ACH-000356,-0.364239078929628
ACH-000361,-0.23668854435897
ACH-000362,-0.4417268343441599
ACH-000363,-0.40222040924269936
ACH-000364,-0.5357457625625237
ACH-000365,-0.388765680463001
ACH-000366,-0.2080498617908116
ACH-000368,-0.3296802079041838
ACH-000374,-0.4971005736630307
ACH-000375,-0.2489518550834389
ACH-000376,-0.3227423095277414
ACH-000381,-0.32897377299389485
ACH-000383,-0.38673966266311455
ACH-000387,-0.4635198069249609
ACH-000389,-0.35337732411131273
