,HEY1 (23462)
ACH-000004,-0.17448435164041146
ACH-000005,0.07497699583071978
ACH-000007,-0.14978568008680954
ACH-000009,-0.009221308447068857
ACH-000011,0.03865604786740917
ACH-000012,-0.0058328130713494
ACH-000013,-0.053680452369483767
ACH-000014,-0.05004737296352678
ACH-000015,0.017246861097262846
ACH-000017,-0.4161583065146701
ACH-000018,-0.0377725978967936
ACH-000019,-0.06630110831048602
ACH-000021,-0.03464100257174687
ACH-000022,-0.20450715580297685
ACH-000025,-0.05261895178694512
ACH-000028,-0.0790296962070257
ACH-000030,-0.14365762094606868
ACH-000035,-0.14301039823480494
ACH-000036,-0.04115400242976757
ACH-000037,-0.17600593597738487
ACH-000039,0.03220261398461957
ACH-000040,-0.0770196922604109
ACH-000041,-0.1842439355070443
ACH-000042,0.010880428788782282
ACH-000045,-0.09653095087849406
ACH-000047,0.04508382397676995
ACH-000052,-0.08999975064094827
ACH-000053,-0.06496487139725149
ACH-000054,-0.09078904742231103
ACH-000055,-0.22267977026767946
ACH-000060,-0.1322443108696938
ACH-000067,-0.0001341261205649056
ACH-000070,-0.2894623671225804
ACH-000075,-0.016461102413118427
ACH-000078,-0.1561943932051427
ACH-000082,-0.09854752891026007
ACH-000085,-0.10965759729729901
ACH-000086,0.1218983140755783
ACH-000087,-0.042801702894383765
ACH-000092,-0.1355850039934295
ACH-000095,0.0034492509522528487
ACH-000097,-0.012995372620904264
ACH-000098,-0.06769387779989001
ACH-000099,-0.0965913872896133
ACH-000108,-0.07888511619539641
ACH-000113,-0.03847482763742618
ACH-000116,-0.1035043854974885
ACH-000118,-0.0007357239554352787
ACH-000120,-0.10168985435389466
ACH-000123,-0.2995171427579694
ACH-000127,-0.09260654651174696
ACH-000128,0.01044613444440077
ACH-000132,-0.0364249988715191
ACH-000133,-0.12828766361765515
ACH-000137,0.041241968390689485
ACH-000138,-0.031179056544297326
ACH-000142,-0.0909439682880422
ACH-000143,0.004239563274124896
ACH-000146,-0.1861773735866262
ACH-000148,-0.023585121057639696
ACH-000150,-0.1955382447631097
ACH-000152,-0.10979184913863477
ACH-000153,-0.10724185491321332
ACH-000159,0.002114484091145729
ACH-000160,-0.06818629606416023
ACH-000163,-0.14081027056509832
ACH-000167,-0.008424670763459837
ACH-000168,0.017004788007780762
ACH-000169,0.11654806813238733
ACH-000178,-0.003417120426407723
ACH-000183,-0.12755787470157476
ACH-000188,0.009097483692789964
ACH-000189,-0.054273253729003636
ACH-000190,-0.07128465805925112
ACH-000198,-0.12678055720297526
ACH-000203,-0.3932086565718774
ACH-000204,-0.03327016215949548
ACH-000206,0.017331204704213083
ACH-000207,-0.13293403613874355
ACH-000208,-0.2037442304128716
ACH-000210,-0.1508271204663961
ACH-000211,-0.001480116957545654
ACH-000215,-0.10135074265917147
ACH-000221,0.03923804732149054
ACH-000222,0.02653850652055313
ACH-000223,-0.0926762652193768
ACH-000226,-0.030334080569629926
ACH-000227,-0.037183436631683664
ACH-000228,-0.0357327831069336
ACH-000231,-0.06844637372288616
ACH-000232,-0.21852598883735044
ACH-000233,-0.04953379970584881
ACH-000234,-0.012166658363438752
ACH-000235,-0.0990509704985434
ACH-000237,-0.0263801258367256
ACH-000238,-0.16507910959801886
ACH-000242,-0.358210051652973
ACH-000243,-0.14169640113072796
ACH-000244,-0.1070104645625918
ACH-000246,0.03102714314284525
ACH-000248,-0.4587417377825331
ACH-000250,-0.06485870911856559
ACH-000251,-0.31524728521909434
ACH-000252,-0.13377846996118034
ACH-000253,0.02679188523635686
ACH-000255,0.015183811081380437
ACH-000256,-0.049012336662148735
ACH-000257,-0.32672102498195565
ACH-000258,-0.2867850985804769
ACH-000259,-0.06122310023775567
ACH-000260,-0.06626076068817828
ACH-000261,-0.16618315520527335
ACH-000262,-0.1881755270974508
ACH-000263,0.24688228808170626
ACH-000264,-0.1252601763041221
ACH-000265,-0.1489858196505034
ACH-000266,-0.05752249008859193
ACH-000272,-0.036711975496049834
ACH-000274,-0.0486222276564713
ACH-000277,-0.1486747407495202
ACH-000278,-0.014949883274720346
ACH-000279,-0.14125589533884522
ACH-000280,-0.14723530514022531
ACH-000281,-0.07472176063615771
ACH-000288,0.12517593098065982
ACH-000291,-0.1739229573989116
ACH-000293,-0.03290324905101887
ACH-000294,-0.09289435235230084
ACH-000295,0.00015690670220507006
ACH-000296,0.027954176783987456
ACH-000302,-0.06489450433500465
ACH-000304,0.0022295439354445114
ACH-000307,-0.017196205651290826
ACH-000308,-0.023252802874681885
ACH-000310,-0.14667591873453087
ACH-000311,-0.1749088036675504
ACH-000312,-0.03875446302737092
ACH-000315,0.011592816743459545
ACH-000316,0.02031290982195315
ACH-000317,0.046789327878920116
ACH-000318,0.04861121680677947
ACH-000319,-0.15967248145938995
ACH-000320,0.015471704882685115
ACH-000322,-0.09308444062494033
ACH-000323,-0.1424750721748524
ACH-000324,-0.03045306707458705
ACH-000329,-0.1185808885112426
ACH-000330,0.026231553219328477
ACH-000331,0.1261100494629258
ACH-000332,-0.1331162470190724
ACH-000334,-0.10557738854311867
ACH-000335,0.0003344475909398308
ACH-000336,-0.15153783674346766
ACH-000337,-0.0960793562654458
ACH-000338,-0.08336716508159697
ACH-000339,-0.1493100247085284
ACH-000341,-0.00683416944437374
ACH-000348,-0.12625406892358598
ACH-000350,-0.07264044756513036
ACH-000352,-0.1241326821138018
