,TMCO5A (145942)
ACH-000004,-0.17630483192708848
ACH-000005,-0.22578322981831705
ACH-000007,-0.3921600419578838
ACH-000009,-0.28861697822528154
ACH-000011,-0.21481438984413848
ACH-000012,-0.1594653601479967
ACH-000013,-0.10671201332206792
ACH-000014,-0.2794335582073425
ACH-000015,-0.2311598524153109
ACH-000017,-0.11190038660760708
ACH-000018,-0.17455866039946266
ACH-000019,-0.1817371092865148
ACH-000021,-0.14164620849093107
ACH-000022,-0.198830392650458
ACH-000025,-0.348037992295027
ACH-000028,0.014181972227039378
ACH-000030,-0.18972483677577234
ACH-000035,-0.1494440254759846
ACH-000036,-0.3166556923029482
ACH-000037,-0.22433471078138068
ACH-000039,-0.2686878261783933
ACH-000040,-0.039353817188796415
ACH-000041,-0.19632268023978025
ACH-000042,-0.1142772693242368
ACH-000045,-0.18204569355428926
ACH-000047,-0.07719094452560858
ACH-000052,-0.2600413014749184
ACH-000053,-0.22393635950756816
ACH-000054,-0.23739227769611604
ACH-000055,-0.2319105429678107
ACH-000060,-0.0980375227730904
ACH-000067,-0.03246589429815965
ACH-000070,-0.1021953182496722
ACH-000075,-0.1266245458332299
ACH-000078,-0.42959336329961456
ACH-000082,-0.07677725405336595
ACH-000085,-0.18184934433384145
ACH-000086,-0.13859294102471115
ACH-000087,-0.2719531692797954
ACH-000092,-0.19554433313289465
ACH-000095,-0.08902113704562688
ACH-000097,-0.1100713781907934
ACH-000098,-0.04532014486467925
ACH-000099,-0.3429677897912582
ACH-000108,-0.16822643011822164
ACH-000113,-0.14600394482946985
ACH-000116,-0.2009395194890717
ACH-000118,-0.1694829310974562
ACH-000120,-0.2833113910571027
ACH-000123,-0.1713227498521673
ACH-000127,-0.11811485223968846
ACH-000128,-0.3090259420252753
ACH-000132,-0.3188808829732102
ACH-000133,-0.08967525757193615
ACH-000137,-0.09838200942030603
ACH-000138,-0.08727047190534204
ACH-000142,-0.2345082640445041
ACH-000143,-0.1093727215867715
ACH-000146,-0.2257179704885249
ACH-000148,-0.1496323917641833
ACH-000150,-0.13366324906277274
ACH-000152,-0.14959068419559726
ACH-000153,-0.2327656802652463
ACH-000159,-0.17312172407209706
