,ERMN (57471)
ACH-000004,-0.027810538378802246
ACH-000005,0.0652196660473965
ACH-000007,0.07840452363617946
ACH-000009,-0.15314361218811193
ACH-000011,-0.0679713629101685
ACH-000012,-0.12714378898903342
ACH-000013,-0.18439845044833106
ACH-000014,-0.09070783295435447
ACH-000015,-0.07199470236308213
ACH-000017,0.03285166796856757
ACH-000018,0.01970754005177345
ACH-000019,-0.015805441656893786
ACH-000021,-0.04217552879109498
ACH-000022,-0.2494394509232991
ACH-000025,-0.09334331963577723
ACH-000028,0.02087717689840725
ACH-000030,-0.11100688540498067
ACH-000035,-0.14843487680845613
ACH-000036,-0.022549251824870484
ACH-000037,-0.3314338398130849
ACH-000039,-0.4648746902074303
ACH-000040,-0.2467165532886493
ACH-000041,-0.08623291278578744
ACH-000042,-0.034899886623050644
ACH-000045,-0.040376231064877734
ACH-000047,-0.1660227786096041
ACH-000052,-0.26141985218692104
ACH-000053,-0.1785284501256478
ACH-000054,-0.08814052891799619
ACH-000055,-0.16472666505757855
ACH-000060,-0.17634959484940446
ACH-000067,-0.12472038694941658
ACH-000070,-0.04953905844235485
ACH-000075,0.05503394608732208
ACH-000078,0.022369579130397197
ACH-000082,-0.21379892354191066
ACH-000085,0.059542548432447134
ACH-000086,0.0057820670114759705
ACH-000087,-0.07593926112973012
ACH-000092,-0.1879054262793809
ACH-000095,-0.13887218755945405
ACH-000097,-0.07887118426607195
ACH-000098,-0.12046419086769512
ACH-000099,-0.1620070254872213
ACH-000108,-0.03143938982139705
ACH-000113,-0.07879917201717704
ACH-000116,-0.1870228836125535
ACH-000118,-0.1094698293453907
ACH-000120,-0.08886168525867592
ACH-000123,-0.12888056922362248
ACH-000127,-0.0815881928202932
ACH-000128,-0.026056325723473973
ACH-000132,-0.2487460684546341
ACH-000133,-0.2990243512234649
ACH-000137,-0.20453440386933397
ACH-000138,-0.07239946623065706
ACH-000142,-0.14879439396490135
ACH-000143,-0.16533453440632678
ACH-000146,-0.14321052782810442
ACH-000148,-0.0946423331385325
ACH-000150,-0.18215680442021226
ACH-000152,-0.11092343980275997
ACH-000153,-0.3618225719590686
ACH-000159,-0.2389117946943777
ACH-000160,-0.10881169340831022
ACH-000163,-0.1689025106677318
ACH-000167,-0.3020560833579509
ACH-000168,-0.11985257633543545
ACH-000169,0.009059603863754278
ACH-000178,-0.19909530494030125
ACH-000183,-0.3282292332841817
ACH-000188,-0.14056318989267744
ACH-000189,-0.21196632351841144
ACH-000190,-0.2297414284258565
ACH-000198,-0.17312158312019307
ACH-000203,-0.190727899906878
ACH-000204,-0.01607073809131035
ACH-000206,-0.006204440667167336
ACH-000207,-0.12332155187425113
ACH-000208,-0.040297040706601936
ACH-000210,-0.5312695240600528
ACH-000211,-0.1065302457661416
ACH-000215,-0.1049140341564672
ACH-000221,-0.16051088863046534
ACH-000222,-0.14033007055010835
ACH-000223,-0.22813115367563985
ACH-000226,-0.2772388112028593
ACH-000227,-0.1120081342610665
ACH-000228,0.05427983905424332
ACH-000231,-0.13961331287893014
ACH-000232,-0.1722909917073506
ACH-000233,-0.22231032478279966
ACH-000234,-0.15014998144785385
ACH-000235,-0.16355705529175915
ACH-000237,-0.19635792948623834
ACH-000238,-0.3701076138147515
ACH-000242,-0.5918253821604287
ACH-000243,-0.14685903784840687
ACH-000244,-0.0794940131224558
ACH-000246,-0.15928224881064731
ACH-000248,-0.09541651020455197
ACH-000250,-0.2024701206415009
ACH-000251,-0.2051947844843171
ACH-000252,-0.17922240620662366
ACH-000253,-0.0550344244158515
ACH-000255,-0.1564696919350393
ACH-000256,-0.23060856337468774
ACH-000257,-0.2867020189147947
ACH-000258,0.07354909976646101
ACH-000259,-0.20342415410325385
ACH-000260,-0.1458334682036003
ACH-000261,-0.07987359238414381
ACH-000262,0.039965988614132315
ACH-000263,0.083539136088255
ACH-000264,-0.1117173328799838
ACH-000265,-0.05653292476944355
ACH-000266,-0.2075385333935338
ACH-000272,-0.13556882682453106
ACH-000274,-0.09468242499369256
ACH-000277,-0.22950131346331176
ACH-000278,-0.1816485212202413
ACH-000279,-0.2452844150265539
ACH-000280,-0.12213040018538725
ACH-000281,-0.269215283882441
ACH-000288,-0.2822614836666236
ACH-000291,-0.06027329450738076
ACH-000293,-0.08946263115481831
ACH-000294,0.01838185932400097
ACH-000295,0.10318713013584516
ACH-000296,0.07807388920058364
ACH-000302,-0.11635622724779775
ACH-000304,-0.3823231958269489
ACH-000307,-0.24898303789525186
ACH-000308,-0.1695154818473067
ACH-000310,-0.1864007293252224
ACH-000311,-0.26101614858201583
ACH-000312,-0.188274708627413
ACH-000315,-0.2592168305703373
ACH-000316,0.006368707151909711
ACH-000317,-0.19620524066512832
ACH-000318,-0.09127545723242056
ACH-000319,-0.09222951559868348
ACH-000320,-0.16262905906978187
ACH-000322,-0.2877063992756484
ACH-000323,-0.08187490647431328
ACH-000324,-0.17013994420729267
ACH-000329,-0.1119375615849508
ACH-000330,-0.15608606425796262
ACH-000331,-0.01875951025073442
ACH-000332,-0.16214976629772082
ACH-000334,0.05685739439109917
ACH-000335,-0.2573286552190221
ACH-000336,0.0996827724318495
ACH-000337,-0.3163166197137973
ACH-000338,-0.2957818357415565
ACH-000339,-0.042597557170674295
ACH-000341,-0.17692157949111434
ACH-000348,-0.1603787924938571
ACH-000350,-0.04132233864274962
