,PDE4D (5144)
ACH-000004,0.04841874049313576
ACH-000005,0.11683734239090045
ACH-000007,-0.009691881001709972
ACH-000009,0.07491287447064192
ACH-000011,0.1653668425298128
ACH-000012,0.09571740529403304
ACH-000013,0.031754546292835105
ACH-000014,0.03780548821264887
ACH-000015,-0.022448976069133403
ACH-000017,0.12862280302915996
ACH-000018,-0.014640367251896253
ACH-000019,0.08619439058331395
ACH-000021,-0.13346795408710446
ACH-000022,0.11037043000317744
ACH-000025,-0.08881272304676623
ACH-000028,0.018293838074971
ACH-000030,0.0043740717593104776
ACH-000035,0.1086876947801911
ACH-000036,0.009868841966803264
ACH-000037,0.054267566907077236
ACH-000039,-0.14417931965241698
ACH-000040,0.09238080527839096
ACH-000041,0.002721611341053046
ACH-000042,-0.0571925476046307
ACH-000045,0.06291842466032238
ACH-000047,0.08569689457663145
ACH-000052,0.11784666742108417
ACH-000053,-0.13061134095712926
ACH-000054,0.029154748848422063
ACH-000055,0.05368567016483483
ACH-000060,-0.1258903087148543
ACH-000067,-0.25249113879651564
ACH-000070,0.07191147071864243
ACH-000075,-0.1391889087310528
ACH-000078,-0.032682535122179696
ACH-000082,0.07804519854167268
ACH-000085,0.2666869385089052
ACH-000086,0.0613641980101549
ACH-000087,0.11591704179939773
ACH-000092,0.0244474057905875
ACH-000095,0.03968158202789143
ACH-000097,0.025627562914828397
ACH-000098,-0.1558026932442179
ACH-000099,0.020118966209398063
ACH-000108,0.005665054349500028
ACH-000113,-0.05238802059685157
ACH-000116,0.009663801001747402
ACH-000118,0.12176593747138872
ACH-000120,0.1146325270840064
ACH-000123,0.0207143309701218
ACH-000127,0.0340447141756638
ACH-000128,-0.06529930395373328
ACH-000132,-0.04786183243804256
ACH-000133,-0.0408650843435724
ACH-000137,0.07352742552506257
ACH-000138,0.17236822580184505
ACH-000142,0.04805914637654834
ACH-000143,0.02694839675864628
ACH-000146,0.047210627311299706
ACH-000148,0.060618424296305026
ACH-000150,-0.06293138815380378
ACH-000152,0.09276926502488753
