,UNC5CL (222643)
ACH-000004,-0.08255284728893819
ACH-000005,-0.21982609788489296
ACH-000007,0.15014936545492885
ACH-000009,0.08946157232251295
ACH-000011,0.12189790987840272
ACH-000012,-0.09958285110009156
ACH-000013,-0.06694152362513983
ACH-000014,-0.05506375779657472
ACH-000015,-0.044239088467616976
ACH-000017,-0.0903588410408811
ACH-000018,-0.2416837931861561
ACH-000019,0.04822859275560048
ACH-000021,-0.05462563908166723
ACH-000022,-0.05714664463146778
ACH-000025,-0.10348146903716886
ACH-000028,-0.09731108831432107
ACH-000030,-0.09535671846006873
ACH-000035,-0.1519587978602279
ACH-000036,-0.07479664339944077
ACH-000037,-0.10188385550406248
ACH-000039,0.025501795770423916
ACH-000040,0.008598200757760535
ACH-000041,-0.12317496805418372
ACH-000042,-0.13202988671030294
ACH-000045,-0.01259642993040846
ACH-000047,-0.0697987137441283
ACH-000052,-0.011666852769514556
ACH-000053,-0.05553929137386287
ACH-000054,0.01711983880985954
ACH-000055,-0.2962902816348824
ACH-000060,-0.04914391011482799
ACH-000067,-0.04486208941668845
ACH-000070,-0.037668046889749764
ACH-000075,0.0863344803349398
ACH-000078,-0.09905745907273762
ACH-000082,-0.13723642998935467
ACH-000085,0.05369679894083628
ACH-000086,0.007754461408827916
ACH-000087,-0.1554682029489916
ACH-000092,-0.0057750166167049866
ACH-000095,-0.02943050021580788
ACH-000097,-0.02529539749357242
ACH-000098,-0.1379214721076736
ACH-000099,-0.024185565104398482
ACH-000108,-0.0882595281787345
ACH-000113,-0.08500149755266095
ACH-000116,-0.03416283341668644
ACH-000118,-0.07819281594879639
ACH-000120,-0.15852677607520604
ACH-000123,0.02813067672631867
ACH-000127,-0.1465061838707862
ACH-000128,-0.2349368009224735
ACH-000132,-0.06974951955727651
ACH-000133,-0.03159757214430062
ACH-000137,-0.20290296806199412
ACH-000138,-0.04273563570809159
ACH-000142,-0.06285960964123194
ACH-000143,0.02430338307869833
ACH-000146,-0.10058335667887497
ACH-000148,0.12809951951934315
ACH-000150,-0.0580212002771241
ACH-000152,-0.06010997090956731
ACH-000153,-0.20719846940437106
ACH-000159,-0.015072738175695653
ACH-000160,0.05428270487333319
ACH-000163,0.013505838181366164
ACH-000167,0.31275544444799025
ACH-000168,-0.05672023834842674
ACH-000169,-0.09258193729891367
ACH-000178,-0.025901064202720085
ACH-000183,-0.17213027859044275
ACH-000188,-0.0016200882561640802
ACH-000189,0.1819814109886131
ACH-000190,0.03652966605246904
ACH-000198,-0.13790089190286142
ACH-000203,-0.5036398248721499
ACH-000204,-0.1645732117228667
ACH-000206,-0.2994078334692707
ACH-000207,-0.15033736751505894
ACH-000208,0.19160369847586944
ACH-000210,-0.2711073733913129
ACH-000211,-0.06417284508529186
ACH-000215,-0.01706781331424791
ACH-000221,-0.06945389800663736
