,SVEP1 (79987)
ACH-000004,-0.10954365495508447
ACH-000005,-0.2342542216469481
ACH-000007,-0.2812477220346801
ACH-000009,-0.2039266722651317
ACH-000011,-0.2581085803365485
ACH-000012,-0.01461372606962334
ACH-000013,-0.07627437787332794
ACH-000014,-0.03014256883327973
ACH-000015,-0.18753280124280386
ACH-000017,-0.04160915851058638
ACH-000018,-0.05564373477970562
ACH-000019,0.16513412592402635
ACH-000021,-0.02139968796004076
ACH-000022,-0.08620105184443537
ACH-000025,-0.06441676194898359
ACH-000028,0.036964792965043236
ACH-000030,-0.03837884728701784
ACH-000035,0.03542426178221275
ACH-000036,-0.11784841450598862
ACH-000037,-0.14567561618764752
ACH-000039,-0.03132893911733113
ACH-000040,-0.16526657719591584
ACH-000041,-0.08425798224624897
ACH-000042,-0.17343878651321706
ACH-000045,-0.10610227154375684
ACH-000047,-0.0553325045436652
ACH-000052,-0.11447131829630025
ACH-000053,-0.12176750230199325
ACH-000054,0.007220308540875197
ACH-000055,0.08060024752542808
ACH-000060,-0.08848237939146203
ACH-000067,-0.025618282737084927
ACH-000070,0.08486492669319634
ACH-000075,-0.2576439512299836
ACH-000078,-0.02755277047250735
ACH-000082,-0.04757893487817679
ACH-000085,0.13798140944933746
ACH-000086,0.06454199947479906
ACH-000087,-0.4350090203364591
ACH-000092,0.0623463921451991
ACH-000095,-0.0005127710089789406
ACH-000097,0.08553241716626303
ACH-000098,-0.15780071024809506
ACH-000099,-0.08100521398088056
ACH-000108,-0.08778237071419165
ACH-000113,0.05008483608846796
ACH-000116,-0.1412004252820976
ACH-000118,-0.08809658383878344
ACH-000120,-0.15530404332309294
ACH-000123,-0.0012525366124018394
ACH-000127,-0.09201090668390594
ACH-000128,-0.22286616284366131
ACH-000132,-0.15020992276888215
ACH-000133,-0.07264667623335704
ACH-000137,0.021083523644953167
ACH-000138,-0.04829673902750041
ACH-000142,0.07098673745808651
ACH-000143,-0.055049003714370666
ACH-000146,-0.028673771787272862
ACH-000148,-0.021020442317858462
ACH-000150,0.1500128798931797
ACH-000152,-0.17962778603622967
ACH-000153,0.05392193186920314
ACH-000159,-0.17516294483889866
ACH-000160,-0.047757725531044966
ACH-000163,-0.047341464672617815
ACH-000167,-0.20925007344979446
ACH-000168,-0.013144401355149144
ACH-000169,-0.09091232021774706
ACH-000178,-0.2501771907780249
