,KIF26A (26153)
ACH-000004,0.1905620042696119
ACH-000005,-0.17338123098878885
ACH-000007,0.11486371409151575
ACH-000009,-0.01590882753477592
ACH-000011,-0.08877563421756625
ACH-000012,-0.02231879180109786
ACH-000013,-0.13983417184170888
ACH-000014,-0.08856608132071378
ACH-000015,-0.08551235937562122
ACH-000017,-0.12487771878272085
ACH-000018,-0.14933447597903615
ACH-000019,-0.03865766288491998
ACH-000021,-0.07306861890245789
ACH-000022,-0.1237179453905012
ACH-000025,-0.07259093287137235
ACH-000028,-0.0720382540066316
ACH-000030,-0.07378708371999816
ACH-000035,-0.054145501586911296
ACH-000036,-0.09770929881692587
ACH-000037,0.06288997463303769
ACH-000039,-0.1512221298732395
ACH-000040,-0.10568556653595504
ACH-000041,-0.07064848786070023
ACH-000042,-0.25155312267645064
ACH-000045,-0.07386984368140811
ACH-000047,-0.03769155994425622
ACH-000052,-0.07807478961820825
ACH-000053,-0.05810818025410155
ACH-000054,-0.12504316791006953
ACH-000055,-0.13842834404726614
ACH-000060,-0.20183774656370654
ACH-000067,-0.009661188897726774
ACH-000070,-0.1057319667308073
ACH-000075,-0.009877903843523802
ACH-000078,-0.029645482216823175
ACH-000082,-0.19482715159120464
ACH-000085,-0.03991069603582709
ACH-000086,-0.06868900308942646
ACH-000087,-0.03705525675506412
ACH-000092,-0.07713972290783665
ACH-000095,-0.07553313756162933
ACH-000097,-0.1104259861636008
ACH-000098,-0.0427225747503716
ACH-000099,-0.014472038949944276
ACH-000108,-0.008550992019707594
ACH-000113,-0.02616467718075476
ACH-000116,-0.04448847678733772
ACH-000118,-0.12038757339841095
ACH-000120,0.0319929111458099
ACH-000123,-0.10900141956552704
ACH-000127,0.01592560284946391
ACH-000128,-0.10378398376933334
ACH-000132,-0.14868369380918106
ACH-000133,-0.2674024725246049
ACH-000137,-0.007700878677469629
ACH-000138,-0.27233304409280645
ACH-000142,-0.1231225988910874
ACH-000143,-0.14986309529531452
ACH-000146,-0.14691788883407098
ACH-000148,-0.10950721186087643
ACH-000150,-0.0925212356190094
ACH-000152,-0.07366252792367292
ACH-000153,0.16476650444473875
ACH-000159,-0.1000300462747602
ACH-000160,-0.022411890070837246
ACH-000163,-0.1515691669027583
ACH-000167,0.04680202492154294
ACH-000168,-0.3622608430709107
ACH-000169,-0.16744231547726265
ACH-000178,-0.060742898948741686
ACH-000183,-0.1029479669156653
ACH-000188,0.053340667366019896
ACH-000189,-0.14582995649041286
ACH-000190,0.08486182903880184
ACH-000198,-0.04940378928477992
ACH-000203,-0.48215634022496795
ACH-000204,-0.2026959509637819
ACH-000206,-0.1841510377460064
ACH-000207,-0.06714928029950774
ACH-000208,-0.30839968737524737
ACH-000210,0.03427544535109349
ACH-000211,-0.14617002438715507
ACH-000215,-0.1351731331681887
ACH-000221,-0.06296373794288784
ACH-000222,-0.1272211535646585
ACH-000223,-0.06256611202466904
ACH-000226,-0.032368141982479316
ACH-000227,0.1100965114118109
ACH-000228,-0.12885444783541666
ACH-000231,-0.045328702182437064
ACH-000232,-0.046666022787622385
ACH-000233,-0.07654951355289741
ACH-000234,0.006463969012980564
ACH-000235,-0.03609722791656245
ACH-000237,0.032660161878191124
ACH-000238,-0.1776298227994673
ACH-000242,-0.20146563122375746
ACH-000243,-0.10533001651076036
ACH-000244,-0.06295076177350115
ACH-000246,-0.13202850690390822
ACH-000248,-0.13913261144812553
ACH-000250,-0.06787942317078127
