,HRAS (3265)
ACH-000004,-0.017058711652898045
ACH-000005,-0.14746033837240388
ACH-000007,-0.4165637484490711
ACH-000009,-0.24271220430726195
ACH-000011,-0.0824477991181247
ACH-000012,-0.3101009929575822
ACH-000013,-0.15683183957143598
ACH-000014,-0.09880205928383744
ACH-000015,-0.1544094954809078
ACH-000017,-0.3742084301856653
ACH-000018,-1.0638986290361871
ACH-000019,-0.2090134886159765
ACH-000021,-0.18632681021644365
ACH-000022,-0.3162185747898925
ACH-000025,-0.2624916390524347
ACH-000028,-0.3065041925751516
ACH-000030,-0.30478076718634195
ACH-000035,-0.32151983525634503
ACH-000036,-0.5447770447573793
ACH-000037,-0.3397395785319456
ACH-000039,-0.1557509475879979
ACH-000040,-0.2823888566079315
ACH-000041,-0.3226646737816938
ACH-000042,-0.10752413235652823
ACH-000045,-0.06497584256899086
ACH-000047,-0.4278636982295659
ACH-000052,-0.35212224602340514
ACH-000053,-0.21251469216717214
ACH-000054,-0.314292701853126
ACH-000055,-0.1040369734411592
ACH-000060,-0.13217205564275436
ACH-000067,-0.3285667754356396
ACH-000070,-0.2944671577526155
ACH-000075,-0.2647804700141257
ACH-000078,-0.2876176601461312
ACH-000082,-0.14774514643129047
ACH-000085,-0.44962195476508504
ACH-000086,-0.2753823066709233
ACH-000087,-0.14605095290647152
ACH-000092,-0.18276754709844528
ACH-000095,-0.2758044608619349
ACH-000097,-0.20352936667268964
ACH-000098,-0.21188297296890066
ACH-000099,-0.214303792408568
ACH-000108,-0.27218084319900504
ACH-000113,-0.2430913803845581
ACH-000116,-0.2702519495703969
ACH-000118,-0.32592181619983684
ACH-000120,-0.2446080075009653
ACH-000123,-0.27383578910524825
ACH-000127,-1.1920445750953577
ACH-000128,-0.035907800526671516
ACH-000132,-0.2266097581815379
ACH-000133,-0.23473454402676885
ACH-000137,0.06445081628821434
ACH-000138,-0.22387848237510605
ACH-000142,-0.3384701423122736
ACH-000143,-0.34226750612883977
ACH-000146,-0.18947575072839712
ACH-000148,-0.6643518904438555
ACH-000150,-0.304399507886509
ACH-000152,-0.1773772397987819
ACH-000153,-0.17543938263377626
ACH-000159,-0.32516096572462744
ACH-000160,-0.1813311239106482
ACH-000163,-0.002939600799281512
ACH-000167,-0.3744641532901801
ACH-000168,-0.3622159860528756
ACH-000169,-0.22910604946346
ACH-000178,-0.3307731929934152
ACH-000183,-0.14531387053617292
ACH-000188,-0.31327132226872656
ACH-000189,-0.09456012150060064
ACH-000190,-0.3008500620125677
ACH-000198,-0.19431541415761253
ACH-000203,-0.09025320991682056
ACH-000204,-0.0928293471337244
