,CDKN2AIPNL (91368)
ACH-000004,-0.5261150427207845
ACH-000005,0.07864527944689889
ACH-000007,-0.04835857021489755
ACH-000009,-0.2816784214206117
ACH-000011,-0.26131515122282784
ACH-000012,-0.29567964458577256
ACH-000013,-0.2395149130464071
ACH-000014,-0.1198282547402554
ACH-000015,-0.3125090878092338
ACH-000017,-0.32555536434645393
ACH-000018,-0.4933347991823148
ACH-000019,-0.3771870641907053
ACH-000021,-0.1944556389714307
ACH-000022,-0.30445785644577045
ACH-000025,-0.07485657084614339
ACH-000028,-0.3382678025815084
ACH-000030,-0.30344490373052885
ACH-000035,-0.33102212628755256
ACH-000036,-0.24171866496733035
ACH-000037,-0.292945010921704
ACH-000039,-0.30032201394679425
ACH-000040,-0.4055040718863149
ACH-000041,-0.13300847318908496
ACH-000042,-0.30661477807314924
ACH-000045,-0.2108992215738264
ACH-000047,-0.3613642219849029
ACH-000052,-0.27136749597865434
ACH-000053,-0.2907785864373173
ACH-000054,-0.3442716589887552
ACH-000055,-0.3477733335080566
ACH-000060,-0.2534348563984831
ACH-000067,-0.3034693251867404
ACH-000070,-0.2613046851466986
ACH-000075,-0.16990851343624042
ACH-000078,-0.1389488887711998
ACH-000082,-0.39719208329996974
ACH-000085,-0.06546522787625578
ACH-000086,-0.2884651231752272
ACH-000087,-0.1205506914700312
ACH-000092,-0.2773445527464403
ACH-000095,-0.16037510372554387
ACH-000097,-0.3189375796924758
ACH-000098,-0.2520249296402477
ACH-000099,-0.2984479975736808
ACH-000108,-0.155806167338967
ACH-000113,-0.19068514739866527
ACH-000116,-0.3462336938673914
ACH-000118,-0.2180304649450504
ACH-000120,-0.3292357355260193
ACH-000123,-0.2557355155031416
ACH-000127,-0.3425001507481125
ACH-000128,-0.34800470426572994
ACH-000132,-0.14446495188720224
ACH-000133,-0.3195181923310443
ACH-000137,-0.1072897795842621
ACH-000138,-0.08409738290555062
ACH-000142,0.006449752801511654
ACH-000143,-0.27213270658679833
ACH-000146,-0.2454650146549253
ACH-000148,-0.3144961609484335
ACH-000150,-0.3217052978658225
ACH-000152,-0.2674483797244613
ACH-000153,-0.16107677747326382
ACH-000159,-0.296678415415188
ACH-000160,-0.1153813295150338
ACH-000163,-0.2666150257149087
ACH-000167,-0.12143522670876387
ACH-000168,-0.331736847128326
ACH-000169,-0.24684042315388585
