,XRCC6BP1 (91419)
ACH-000004,-0.014161907535780734
ACH-000005,-0.33418409618694106
ACH-000007,-0.23578708256204325
ACH-000009,-0.2550248692132669
ACH-000011,-0.2960924967288242
ACH-000012,-0.2798657970026494
ACH-000013,-0.3548534589263889
ACH-000014,-0.2176226427006209
ACH-000015,-0.3269082982314175
ACH-000017,-0.38191274010061377
ACH-000018,-0.20855908772225065
ACH-000019,-0.1945158695696674
ACH-000021,-0.3275770262748323
ACH-000022,-0.3391926882491605
ACH-000025,-0.3866252775670989
ACH-000028,-0.3568359648098656
ACH-000030,-0.22476076321544455
ACH-000035,-0.30247216158248513
ACH-000036,-0.2911563235967127
ACH-000037,-0.5211729814665763
ACH-000039,-0.08362427964668483
ACH-000040,-0.15925017277797002
ACH-000041,-0.2995357418810421
ACH-000042,-0.20456419052868807
ACH-000045,-0.32188583459567666
ACH-000047,-0.2382591961140653
ACH-000052,-0.15991754273394315
ACH-000053,-0.19890681636589128
ACH-000054,-0.261048792647903
ACH-000055,-0.3377439598394774
ACH-000060,-0.18364560267592547
ACH-000067,-0.4087062573069315
ACH-000070,-0.2220705860862756
ACH-000075,-0.2424188763013323
ACH-000078,-0.3737403366381355
ACH-000082,-0.5785057944215892
ACH-000085,-0.3407826597283459
ACH-000086,-0.2866638943951693
ACH-000087,-0.38486362229097626
ACH-000092,-0.24266998219548944
ACH-000095,-0.21222803911319454
ACH-000097,-0.3179836820355572
ACH-000098,-0.2929196275469904
ACH-000099,-0.2758494715350893
ACH-000108,-0.20356253894478568
ACH-000113,-0.39705965300763796
ACH-000116,-0.1764727670796627
ACH-000118,-0.2892520890441987
ACH-000120,-0.1799837675626664
ACH-000123,-0.5126391897895364
ACH-000127,-0.18364641587519234
ACH-000128,-0.4738953232559976
ACH-000132,-0.15277414450370913
ACH-000133,-0.3926499118993572
ACH-000137,-0.3530461160059926
ACH-000138,-0.2586888677346051
ACH-000142,-0.39895460259520793
ACH-000143,-0.4456010585470481
ACH-000146,-0.3051725141870418
ACH-000148,-0.3582695658176496
ACH-000150,-0.3829031554764082
ACH-000152,-0.4187232390184049
ACH-000153,-0.2986719344455086
ACH-000159,-0.23644637273291946
ACH-000160,-0.3696455215349037
ACH-000163,-0.256196220155142
ACH-000167,-0.3709191182494673
ACH-000168,-0.15568414157163948
ACH-000169,-0.3680275092517392
ACH-000178,-0.30032368875818144
ACH-000183,-0.2760418340752136
ACH-000188,-0.3206143024380971
ACH-000189,-0.2904408922344836
ACH-000190,-0.2665603735894944
ACH-000198,-0.3807152334079992
ACH-000203,-0.1194175604133075
ACH-000204,-0.4877060938488211
ACH-000206,-0.01639172173645481
ACH-000207,-0.2833021769814421
ACH-000208,-0.27979910785365497
ACH-000210,-0.12519422071194686
ACH-000211,-0.2746142403718534
ACH-000215,-0.2585809925327267
ACH-000221,-0.3645287030682568
ACH-000222,-0.24449269782614105
ACH-000223,-0.2466901623488323
ACH-000226,-0.29221178705891365
ACH-000227,-0.26927672667722063
ACH-000228,-0.25974272202664955
ACH-000231,-0.3013051904223682
ACH-000232,-0.33163772892137106
ACH-000233,-0.3166032600116649
ACH-000234,-0.4989778127648573
ACH-000235,-0.33064935404599793
ACH-000237,-0.15181860501686875
ACH-000238,-0.2496275695228536
ACH-000242,-0.016623223640281546
ACH-000243,-0.25586809686755474
ACH-000244,-0.11829683906265928
ACH-000246,-0.2845280451039657
ACH-000248,-0.3130946406979046
ACH-000250,-0.25213060777552376
ACH-000251,-0.11612968105588918
ACH-000252,-0.40095414394502943
ACH-000253,-0.21656551630844026
ACH-000255,-0.2297791174584352
ACH-000256,-0.1725897825742787
ACH-000257,-0.23676434319707476
ACH-000258,0.039804831720861064
ACH-000259,-0.3600437784572147
ACH-000260,-0.2746759757764071
ACH-000261,-0.3624682443040002
ACH-000262,-0.318963199261386
ACH-000263,-0.6256195551823545
ACH-000264,-0.2872895215175869
ACH-000265,-0.32226109302188066
ACH-000266,-0.2525150376476566
ACH-000272,-0.2618781285733096
ACH-000274,-0.3180426710263765
ACH-000277,-0.19427973350335512
ACH-000278,-0.2274238257131913
ACH-000279,-0.2908142956561883
ACH-000280,-0.3619968977890957
ACH-000281,-0.21484286201080904
ACH-000288,-0.360328932146382
ACH-000291,-0.3478622868723756
ACH-000293,-0.4290628541978063
ACH-000294,-0.24150527171972444
ACH-000295,-0.12430581450605725
ACH-000296,-0.3864283082938124
ACH-000302,-0.21919067438325532
ACH-000304,-0.1901897043253115
ACH-000307,-0.3180042481707213
ACH-000308,-0.3111204818134332
ACH-000310,-0.19199996714723694
ACH-000311,-0.27721454866467665
ACH-000312,-0.2810328072281345
ACH-000315,-0.011673351768663564
ACH-000316,-0.33755128218777153
ACH-000317,-0.20465399064684528
ACH-000318,-0.3236614447057936
ACH-000319,-0.14480670646725344
ACH-000320,-0.15195469974907078
ACH-000322,-0.5199351768360959
ACH-000323,-0.2837280969550246
ACH-000324,-0.3171873441363978
ACH-000329,-0.3425567181289137
ACH-000330,-0.3354219199676093
ACH-000331,-0.35745895981813225
ACH-000332,-0.2745456081177291
ACH-000334,-0.4418652878979625
ACH-000335,-0.41195311775479
ACH-000336,-0.2335163539742241
ACH-000337,-0.29295639291657083
ACH-000338,-0.1130335865891973
ACH-000339,-0.3881096790555376
ACH-000341,-0.2609655862250437
ACH-000348,-0.3240538753199527
ACH-000350,-0.2104811064303713
ACH-000352,-0.2458664945419252
ACH-000356,-0.4357994149775093
ACH-000361,-0.4562116963783649
ACH-000362,-0.3769031926811028
ACH-000363,-0.2611919000072854
ACH-000364,-0.28078969218094096
ACH-000365,-0.3740829951853657
ACH-000366,-0.33673945745352224
