,GUF1 (60558)
ACH-001354,0.00592226187114001
ACH-001367,-0.05547988259530239
ACH-001368,0.0036370407135464665
ACH-001374,-0.2596085407403795
ACH-001377,-0.03683542458436353
ACH-001380,-0.05511523527634582
ACH-001391,-0.030643850761048808
ACH-001408,-0.07400770571883555
ACH-001430,-0.06526429723651979
ACH-001431,0.017625833775029538
ACH-001450,-0.1736704982162961
ACH-001496,-0.017008674353711447
ACH-001500,-0.1238618028065366
ACH-001523,0.03576748092708601
ACH-001532,-0.053968601557479116
ACH-001550,-0.07280796911593446
ACH-001552,0.029091982987417463
ACH-001554,0.00662242016826033
ACH-001654,-0.061045432441807185
ACH-001735,-0.04749144111863923
ACH-001736,0.008426575858866761
ACH-001737,-0.30618619712620393
ACH-001740,0.0003345573820122433
ACH-001745,-0.015477928630025478
ACH-001765,-5.7025786662317214e-05
