,POTEI (653269)
ACH-000004,-0.2346974461006311
ACH-000005,-0.2385491519873182
ACH-000007,-0.3125365704111662
ACH-000009,-0.4152810067738115
ACH-000011,-0.3370582125378005
ACH-000012,-0.4659565292907642
ACH-000013,-0.23014891419646485
ACH-000014,-0.09653410835746272
ACH-000015,-0.2905651734755818
ACH-000017,-0.4519239301230801
ACH-000018,-0.6129478229398976
ACH-000019,-0.5068216574225278
ACH-000021,-0.21533434520480715
ACH-000022,-0.29602853751475616
ACH-000025,-0.3296667625425013
ACH-000028,-0.4024178517729112
ACH-000030,-0.2294100389627915
ACH-000035,-0.14595057127912026
ACH-000036,-0.4159127881067217
ACH-000037,-0.3072715366779071
ACH-000039,-0.4168794302990709
ACH-000040,-0.26399727407332424
ACH-000041,-0.1628294696600611
ACH-000042,-0.1633707823005172
ACH-000045,-0.29487596090352164
ACH-000047,-0.15428012900995927
ACH-000052,-0.3155299592419464
ACH-000053,-0.3781210388737048
ACH-000054,-0.4173300424904236
ACH-000055,-0.3603920656833474
ACH-000060,-0.3359347017622802
ACH-000067,-0.16844679663472115
ACH-000070,-0.17863516460520665
ACH-000075,-0.3664339336709317
ACH-000078,-0.507862811433403
ACH-000082,-0.28903210446017896
ACH-000085,-0.4153484017694882
ACH-000086,-0.3799998805856155
ACH-000087,-0.28953683086048737
ACH-000092,-0.3615858894286572
ACH-000095,-0.31217195629994776
ACH-000097,-0.4034355666430509
ACH-000098,-0.3276690403720144
ACH-000099,-0.2911403274602503
ACH-000108,-0.16214170870766
ACH-000113,-0.3731098387479702
ACH-000116,-0.3255721273677665
ACH-000118,-0.09350960581647118
ACH-000120,-0.13609188840959388
ACH-000123,-0.33808686298863594
ACH-000127,-0.3699981108123787
ACH-000128,-0.4107729240068152
ACH-000132,-0.10123659855229944
ACH-000133,-0.3822002607472871
ACH-000137,-0.4514785971490941
ACH-000138,-0.15424818239222793
ACH-000142,-0.30486202299356824
ACH-000143,-0.16499125260542355
ACH-000146,-0.36402541101598496
ACH-000148,-0.2093042562056255
ACH-000150,-0.2690664682074587
ACH-000152,-0.3778303247606555
ACH-000153,-0.34277647883090906
ACH-000159,-0.3988554762274477
ACH-000160,-0.4191045520625581
ACH-000163,-0.2768015077795021
ACH-000167,-0.3775672353544712
ACH-000168,-0.3111147026143484
ACH-000169,-0.3524779791717814
ACH-000178,-0.3150744906064659
ACH-000183,-0.12800154310103148
ACH-000188,-0.3865412739696501
ACH-000189,-0.3991044264772763
ACH-000190,-0.481168849274437
ACH-000198,-0.22436207067773545
ACH-000203,-0.2153247096742857
ACH-000204,-0.5176617385852664
ACH-000206,-0.197261262082548
ACH-000207,-0.2876636326036181
ACH-000208,-0.32986715340445844
ACH-000210,-0.4357789405561105
ACH-000211,-0.2379059241120853
ACH-000215,-0.2800966636771229
ACH-000221,-0.38202238653454507
ACH-000222,-0.3021507692243794
ACH-000223,-0.4457963266924431
ACH-000226,-0.22671394971830616
ACH-000227,-0.2883422146314877
ACH-000228,-0.41266216503554026
ACH-000231,-0.3129814374387014
ACH-000232,-0.36326422141119386
ACH-000233,-0.4681406666899235
ACH-000234,-0.3585324816558024
ACH-000235,-0.2708342687926803
ACH-000237,-0.2742611918087832
ACH-000238,-0.3328999277801077
ACH-000242,-0.3911584767700907
ACH-000243,-0.4822579019355909
ACH-000244,-0.06238550452344626
ACH-000246,-0.2946967447733249
ACH-000248,-0.41018516130043065
ACH-000250,-0.3731005337185422
ACH-000251,-0.18500303360663345
ACH-000252,-0.4595883670274466
ACH-000253,-0.4089316787367183
ACH-000255,-0.2071812080140214
ACH-000256,-0.3288030081310496
ACH-000257,-0.1759799762740993
ACH-000258,-0.11255177159401432
ACH-000259,-0.2651474168520084
ACH-000260,-0.25486989037995605
ACH-000261,-0.21842812060082248
ACH-000262,-0.37115482401761213
ACH-000263,-0.4624952064214623
ACH-000264,-0.30871010633262586
ACH-000265,-0.15883997538431135
ACH-000266,-0.38720633450865183
ACH-000272,-0.2785154559771301
ACH-000274,-0.42077088788808575
ACH-000277,-0.3906797815335417
ACH-000278,-0.13983606173229726
ACH-000279,-0.3540333764908964
ACH-000280,-0.2842324272874395
ACH-000281,-0.11546800800227287
ACH-000288,-0.4519515239233937
ACH-000291,-0.3181991906700385
ACH-000293,-0.18982104315515724
ACH-000294,-0.2318530637433744
ACH-000295,-0.24836753918268234
ACH-000296,-0.3282345896638866
ACH-000302,-0.3205145651964105
ACH-000304,-0.4849570088941389
ACH-000307,-0.3566959250603017
ACH-000308,-0.4685270944808366
ACH-000310,-0.4014669568630355
ACH-000311,-0.2993246620450048
ACH-000312,-0.31303528656768564
ACH-000315,-0.2761475312488341
ACH-000316,-0.13645135838203293
ACH-000317,-0.30528677769844714
ACH-000318,-0.4201925181913129
ACH-000319,-0.2920307120068088
ACH-000320,-0.0705881418311901
ACH-000322,-0.4446424041147288
ACH-000323,-0.4045534690728156
ACH-000324,-0.507217351637726
ACH-000329,-0.4240029661552357
ACH-000330,-0.35185672833021425
ACH-000331,-0.2287012599834498
ACH-000332,-0.2857434063446337
ACH-000334,-0.4807118662111104
ACH-000335,-0.27950378310258833
ACH-000336,-0.22147405932457
ACH-000337,-0.4479796690589882
ACH-000338,-0.4270411846984823
ACH-000339,-0.3311918823859206
ACH-000341,-0.48405903445718496
ACH-000348,-0.17653867853665822
ACH-000350,-0.3239763810603853
ACH-000352,-0.4533496827872971
ACH-000356,-0.17662008603721607
ACH-000361,-0.3744357752882954
ACH-000362,-0.3287767269964376
ACH-000363,-0.22441798164906807
ACH-000364,-0.16626416260367713
ACH-000365,-0.2571344438312846
ACH-000366,-0.2915157074524449
ACH-000368,-0.31463301420486395
ACH-000374,-0.569585159916004
ACH-000375,-0.18396263129784088
ACH-000376,-0.3357831370740638
ACH-000381,-0.19280881950615664
ACH-000383,-0.35131596923808994
ACH-000387,-0.14859980807343384
ACH-000389,-0.5232830071479072
ACH-000390,-0.34395960214016363
ACH-000393,-0.4310934736047585
ACH-000395,-0.4533883938015618
ACH-000396,-0.43665252460867787
