,DHX38 (9785)
ACH-000004,-0.3619791741447539
ACH-000005,-0.5631598527119239
ACH-000007,-0.4461793554211743
ACH-000009,-0.05997560564241479
ACH-000011,-0.5609501892289619
ACH-000012,-0.3216871526047133
ACH-000013,-0.4438760403904357
ACH-000014,-0.3751532115607191
ACH-000015,-0.20561060479940846
ACH-000017,-0.3728505764406412
ACH-000018,-0.32760140197266746
ACH-000019,-0.30739375021970194
ACH-000021,-0.4555903594133721
ACH-000022,-0.18451903102235265
ACH-000025,-0.2001559853032548
ACH-000028,-0.17032246214309935
ACH-000030,-0.16571448191845306
ACH-000035,-0.3867488036764668
ACH-000036,-0.13731674580247352
ACH-000037,-0.11420109908628832
ACH-000039,-0.07766040839011333
ACH-000040,-0.37364456458708895
ACH-000041,-0.5368372937534861
ACH-000042,-0.21950278771250994
ACH-000045,-0.3243118900461772
ACH-000047,-0.7035028387083981
ACH-000052,-0.3070918715452663
ACH-000053,-0.29655545784171355
ACH-000054,-0.27664762610875354
ACH-000055,-0.3599673697731203
ACH-000060,-0.1551800757809756
ACH-000067,-0.1806654971613035
ACH-000070,-0.4976046115345901
ACH-000075,-0.5118176739660782
ACH-000078,-0.3658051004294842
ACH-000082,-0.3229503291428774
ACH-000085,-0.2483769395307004
ACH-000086,-0.20560840152315432
ACH-000087,-0.32400298251983417
ACH-000092,-0.2216408506949437
ACH-000095,-0.23070050013032006
ACH-000097,-0.3824100425524316
ACH-000098,-0.3369521071424245
ACH-000099,-0.2601800852588949
ACH-000108,-0.17603433181082276
ACH-000113,-0.3488378847804044
ACH-000116,-0.3698255216292447
ACH-000118,-0.34720879499584834
ACH-000120,-0.4920755782033465
ACH-000123,-0.3258199882422513
ACH-000127,-0.19533263181080684
ACH-000128,-0.29553951133758244
ACH-000132,-0.6880262551021082
ACH-000133,-0.32441270485898194
ACH-000137,-0.2569416456991364
ACH-000138,-0.22881556283598845
ACH-000142,-0.3723488722108003
ACH-000143,-0.4737310346872645
ACH-000146,-0.3021921667094553
ACH-000148,-0.3350612094127529
ACH-000150,-0.09959388721512463
ACH-000152,-0.19710803301527294
ACH-000153,-0.06532251094607139
ACH-000159,-0.186704979738002
ACH-000160,-0.11148830247429484
ACH-000163,-0.07696653234298102
ACH-000167,1.183538197025774
ACH-000168,-0.3352582100383509
ACH-000169,-0.5766674914947362
ACH-000178,-0.19315587346950072
ACH-000183,-0.3049532817249185
ACH-000188,-0.2581389725569446
ACH-000189,-0.12914382521928305
ACH-000190,0.04421887368958848
ACH-000198,-0.4130663588738904
ACH-000203,-0.07631957357342377
ACH-000204,-0.23815982417252365
ACH-000206,-0.20324591911265144
ACH-000207,-0.2250384807072007
ACH-000208,-0.5543498267541485
ACH-000210,-0.3297838782213729
ACH-000211,-0.19180803277411
ACH-000215,-0.3331256167759803
ACH-000221,-0.4974297401152583
ACH-000222,-0.17785496160120626
ACH-000223,-0.13290017019215114
ACH-000226,-0.26201406002491523
ACH-000227,-0.29837536725484776
ACH-000228,-0.17257644345462014
ACH-000231,-0.293596355356399
ACH-000232,-0.3303554468929035
ACH-000233,-0.30776241455976155
ACH-000234,-0.2219144637384852
ACH-000235,-0.25626090938774543
ACH-000237,-0.28914251568069965
