,ATP6AP1L (92270)
ACH-000004,0.08531806340641919
ACH-000005,0.0022629903091909496
ACH-000007,0.20361437654743056
ACH-000009,0.13839927250527745
ACH-000011,-0.03836384033299472
ACH-000012,-0.0580382768052723
ACH-000013,0.08482246483609539
ACH-000014,0.037416839733089964
ACH-000015,-0.19667223934500092
ACH-000017,0.05591197844477861
ACH-000018,-0.019045117891349758
ACH-000019,-0.08587896241656169
ACH-000021,-0.06975586427689587
ACH-000022,0.03910652083266121
ACH-000025,0.1641723056375424
ACH-000028,-0.001849742567640329
ACH-000030,0.004796458211779683
ACH-000035,0.02946597383007658
ACH-000036,-0.10139796625445023
ACH-000037,0.1367205886982931
ACH-000039,0.05971966020109981
ACH-000040,-0.0107684967704484
ACH-000041,-0.048414721982822866
ACH-000042,-0.09065773821379616
ACH-000045,-0.14950202123893294
ACH-000047,0.06051268467619456
ACH-000052,-0.1998928650369348
ACH-000053,-0.09693021609553013
ACH-000054,0.00502588372283939
ACH-000055,-0.025048161398016904
ACH-000060,0.06758357402375803
ACH-000067,-0.14163457988543687
ACH-000070,0.09658935610832492
ACH-000075,0.08150046731335175
ACH-000078,-0.10528868476431287
ACH-000082,-0.04439001477357405
ACH-000085,0.04798557203698181
ACH-000086,-0.07882744265304288
ACH-000087,-0.1169826776569808
ACH-000092,-0.07123268010476877
ACH-000095,-0.0050013054016131075
ACH-000097,-0.02464976533482229
ACH-000098,-0.15655583442097934
ACH-000099,0.0038649448452509664
ACH-000108,0.03235726489315879
ACH-000113,0.059733182479574126
ACH-000116,-0.0738218778698297
ACH-000118,-0.05439381047400247
ACH-000120,0.11770137751655813
ACH-000123,-0.03250680294063205
ACH-000127,0.00508209770229909
ACH-000128,-0.026081665579369955
ACH-000132,-0.0526072809823484
ACH-000133,0.03091184677826448
ACH-000137,-0.03748357605191528
ACH-000138,-0.054706213119292746
ACH-000142,0.07864262362923505
ACH-000143,-0.0739893137314519
ACH-000146,0.0013252703766898804
ACH-000148,-0.01595019162014065
ACH-000150,0.05368535531888589
ACH-000152,0.02281561960932794
ACH-000153,-0.03586370860289055
ACH-000159,-0.105765247763505
ACH-000160,-0.01984320412811255
ACH-000163,-0.0026404459623392594
ACH-000167,0.16675725103119587
ACH-000168,-0.15589628787619614
ACH-000169,-0.006198759613855471
ACH-000178,0.018132127087272056
ACH-000183,-0.06387448010709054
ACH-000188,-0.09695265806736293
ACH-000189,0.007741887273656089
ACH-000190,-0.2287934674910009
ACH-000198,0.004518036029150034
ACH-000203,-0.07925657468664223
ACH-000204,-0.04739129860772715
ACH-000206,0.09533883290624648
ACH-000207,0.04113097660105537
ACH-000208,-0.17596315272858887
ACH-000210,0.10672803325049024
ACH-000211,-0.01829330854210355
ACH-000215,-0.04574470452252537
ACH-000221,0.12892934283537386
ACH-000222,-0.0802972856285848
ACH-000223,0.07597726893460666
ACH-000226,-0.06619025945644258
ACH-000227,0.032560836609796265
ACH-000228,-0.1186934494981102
