,COASY (80347)
ACH-000004,-0.4649081214347761
ACH-000005,-0.5950815664372539
ACH-000007,-1.005837545794105
ACH-000009,-0.3520623932818609
ACH-000011,-0.7753141498979568
ACH-000012,-0.7229274829087139
ACH-000013,-0.5771456297799191
ACH-000014,-0.8651349667189585
ACH-000015,-0.6743128997480179
ACH-000017,-0.9630109436376642
ACH-000018,-1.1312771187399182
ACH-000019,-0.7502683707163873
ACH-000021,-0.9558542215726868
ACH-000022,-0.6090514100521337
ACH-000025,-0.8322394903137857
ACH-000028,-0.763831181212243
ACH-000030,-0.7811406829578895
ACH-000035,-0.7205314750394962
ACH-000036,-0.5353299894232952
ACH-000037,-0.5545996329566963
ACH-000039,-0.4423627699197712
ACH-000040,-0.4499256090802201
ACH-000041,-0.43639080312408457
ACH-000042,-0.7245117966140884
ACH-000045,-0.6937662746176809
ACH-000047,-0.7916336529077369
ACH-000052,-0.4925356177934739
ACH-000053,-0.4209877553533854
ACH-000054,-0.7038185490191811
ACH-000055,-0.6472416862682999
ACH-000060,-0.5302576997418551
ACH-000067,-0.7769108778289266
ACH-000070,-0.8898787532062868
ACH-000075,-0.4578077005583716
ACH-000078,-0.2799713675391786
ACH-000082,-0.4774843290573596
ACH-000085,-0.8246497576335802
ACH-000086,-0.3721554278636597
ACH-000087,-0.5295721966571196
ACH-000092,-0.4787574863790683
ACH-000095,-0.26488763436599416
ACH-000097,-0.6845091257396594
ACH-000098,-0.4241768029879058
ACH-000099,-0.6190111740304685
ACH-000108,-0.7016238497269072
ACH-000113,-0.7621557035575268
ACH-000116,-0.541173789055093
ACH-000118,-0.7845011759692674
ACH-000120,-0.2808109858942543
ACH-000123,-0.5612638471908109
ACH-000127,-0.6768220379022387
ACH-000128,-0.5392557499641327
ACH-000132,-0.5300662861488672
ACH-000133,-0.4806122079518957
ACH-000137,-0.6618023830375749
ACH-000138,-0.7091802999002357
ACH-000142,-0.924525333645212
ACH-000143,-0.6991254277145802
ACH-000146,-0.3219980081906361
ACH-000148,-0.5541279345817519
ACH-000150,-0.4808610493404473
ACH-000152,-0.5941840459573265
ACH-000153,-0.5052331309189051
ACH-000159,-0.5708694274018099
ACH-000160,-0.43981256689821857
ACH-000163,-0.6088381075909212
ACH-000167,-0.3229994220393837
ACH-000168,-0.7270526532689725
ACH-000169,-0.5866975401507951
ACH-000178,-0.7310909511065418
ACH-000183,-0.8411152103323489
ACH-000188,-0.7423159753574287
ACH-000189,-0.9832021132418204
ACH-000190,-0.8282956465509113
ACH-000198,-0.6473634784039783
ACH-000203,-0.4575740958687742
ACH-000204,-0.6972670167773241
ACH-000206,-0.7176575511368533
ACH-000207,-0.6944670200869814
ACH-000208,-0.6837901924253158
ACH-000210,-0.664700170979847
ACH-000211,-0.6147518723074386
ACH-000215,-0.485908571536729
ACH-000221,-0.4298268560831932
ACH-000222,-0.8071184419896037
ACH-000223,-0.6854883340754475
ACH-000226,-0.7600239407407933
ACH-000227,-0.3788837549441596
ACH-000228,-0.5742398198690521
ACH-000231,-0.8398449259766635
ACH-000232,-0.44821744169864064
ACH-000233,-0.8281763746371807
ACH-000234,-0.7013626945807343
ACH-000235,-0.6989053080330019
ACH-000237,-0.4116556157880452
ACH-000238,-0.6086065691004561
ACH-000242,-0.5663460362042169
ACH-000243,-0.7827988157656405
ACH-000244,-0.5156678646674646
ACH-000246,-0.492297427901325
ACH-000248,-1.2399243244169391
ACH-000250,-0.6559850037715443
