,BOLA1 (51027)
ACH-000004,-0.042456629863763314
ACH-000005,-0.06778166032322246
ACH-000007,-0.016474544206392282
ACH-000009,-0.2826999765784827
ACH-000011,-0.01459088949717296
ACH-000012,-0.2671029496857916
ACH-000013,-0.2103910156290728
ACH-000014,-0.26482306867941297
ACH-000015,-0.09612433118361667
ACH-000017,-0.0017663247510878285
ACH-000018,-0.1043390360052458
ACH-000019,-0.1995408279124546
ACH-000021,-0.29877009707965163
ACH-000022,-0.08522338479440836
ACH-000025,-0.2505945967391228
ACH-000028,-0.3219744682172743
ACH-000030,-0.12113586385465765
ACH-000035,-0.14452963204831282
ACH-000036,-0.21374939740728247
ACH-000037,-0.09811344933120998
ACH-000039,-0.08070899151323073
ACH-000040,-0.2952310175651766
ACH-000041,-0.12808537204487275
ACH-000042,-0.20709464668735025
ACH-000045,-0.10709402190806533
ACH-000047,-0.014749972414265509
ACH-000052,-0.15573246985291406
ACH-000053,-0.08405885904970935
ACH-000054,-0.1376915840770781
ACH-000055,0.02168997951997217
ACH-000060,-0.11343571138628206
ACH-000067,-0.1801266473406959
ACH-000070,-0.2260340808256949
ACH-000075,0.007867930262003192
ACH-000078,-0.12001308594455586
ACH-000082,-0.17512525639677226
ACH-000085,-0.21087863022879988
ACH-000086,-0.3694331350465936
ACH-000087,-0.1857895205012413
ACH-000092,-0.25191934840318314
ACH-000095,-0.2298589801287277
ACH-000097,-0.2454167208267967
ACH-000098,-0.18502322775959693
ACH-000099,-0.14492878730744255
ACH-000108,-0.2657968450512165
ACH-000113,0.10440626639470604
ACH-000116,-0.19792012071778226
ACH-000118,-0.19393015483453174
ACH-000120,-0.23888114403626126
ACH-000123,-0.2984265616071921
ACH-000127,-0.06179502782008552
ACH-000128,-0.19726901429772736
ACH-000132,-0.27794179242956124
ACH-000133,-0.2171876677014566
ACH-000137,-0.14713574887041336
ACH-000138,-0.09693549249912133
ACH-000142,-0.14366438385524186
ACH-000143,-0.020469148596534183
ACH-000146,-0.12612693758113872
ACH-000148,-0.1448782160999028
ACH-000150,-0.19924270047973808
ACH-000152,-0.2145551062756928
ACH-000153,-0.14023330480574306
ACH-000159,-0.3021092122992617
ACH-000160,-0.17879481524431895
ACH-000163,-0.2274532967433133
ACH-000167,-0.11680854705254345
ACH-000168,-0.005339093340429948
ACH-000169,-0.13996531281976182
ACH-000178,-0.028464280920406426
ACH-000183,-0.3005578319909981
ACH-000188,-0.20851114354023395
ACH-000189,-0.19070992440489956
ACH-000190,-0.11219534870998256
ACH-000198,-0.2235575593145737
ACH-000203,-0.2150578378362833
ACH-000204,-0.3577156149113034
ACH-000206,-0.23215428548864744
ACH-000207,-0.08609469196393801
ACH-000208,-0.3437454563793646
ACH-000210,-0.5236899756946809
ACH-000211,-0.18793471080341811
ACH-000215,-0.22713075471354435
ACH-000221,-0.023217009934619014
ACH-000222,0.010380962235523485
ACH-000223,-0.1535282098671782
ACH-000226,-0.2493879657988776
ACH-000227,-0.2927058236549088
ACH-000228,-0.3709511247668091
ACH-000231,-0.20795364689582985
ACH-000232,-0.3145143149283207
ACH-000233,-0.0186475345919056
ACH-000234,-0.25168075904629017
ACH-000235,-0.21893754326524426
ACH-000237,-0.026377377654357017
ACH-000238,-0.24976961465790526
ACH-000242,0.00438097320802318
ACH-000243,-0.20934985061389447
ACH-000244,-0.041699155306275014
ACH-000246,-0.11175113384046452
ACH-000248,-0.2673109176697153
