,CAB39 (51719)
ACH-000004,-0.13225519953124953
ACH-000005,-0.4656350292710423
ACH-000007,-0.06936776182351394
ACH-000009,-0.2232398235339955
ACH-000011,0.2437033914500045
ACH-000012,0.3770592096982634
ACH-000013,-0.0354514741788711
ACH-000014,0.00562647593157122
ACH-000015,-0.2874420244156402
ACH-000017,-0.11398170684035724
ACH-000018,0.30290590431814396
ACH-000019,-0.14224944700125094
ACH-000021,-0.1540755955664698
ACH-000022,-0.12377240927417943
ACH-000025,0.3150707169824096
ACH-000028,0.03324707720206884
ACH-000030,-0.3276711523107889
ACH-000035,0.2828860432112512
ACH-000036,0.5458575727928839
ACH-000037,-0.2855478452753236
ACH-000039,-0.4956906878668837
ACH-000040,-0.25202894475005017
ACH-000041,-0.4616349820362439
ACH-000042,-0.27692423808922645
ACH-000045,-0.003049862701343176
ACH-000047,-0.042346807452347014
ACH-000052,-0.5091097839119578
ACH-000053,-0.10676243339652523
ACH-000054,0.06475891955919158
ACH-000055,-0.2666975520654563
ACH-000060,0.22215107235944614
ACH-000067,0.12210032005324167
ACH-000070,-0.7549450988064257
ACH-000075,-0.13668776934935115
ACH-000078,-0.2871156784162658
ACH-000082,-0.2501422624536008
ACH-000085,-0.2109616339261515
ACH-000086,0.08192725772680676
ACH-000087,-0.02215895581669309
ACH-000092,-0.0947134773429072
ACH-000095,-0.2461642173536662
ACH-000097,-0.31751272483210125
ACH-000098,0.7550818792039404
ACH-000099,-0.3845001735624052
ACH-000108,-0.29415061500225353
ACH-000113,-0.3601899554061094
ACH-000116,-0.0015135286356103234
ACH-000118,0.08148940054500234
ACH-000120,-0.058586106600243076
ACH-000123,-0.0054594955025319535
ACH-000127,0.25419926467656184
ACH-000128,-0.3763477529979977
ACH-000132,0.5052112305153982
ACH-000133,-0.4238275935790501
ACH-000137,0.014610406833820902
ACH-000138,-0.6307942191021706
ACH-000142,0.3253852571090848
ACH-000143,-0.2642561947921834
ACH-000146,-0.25813245944020685
ACH-000148,-0.06174243316730048
ACH-000150,0.1513491651534733
ACH-000152,0.15637831635229058
ACH-000153,-0.4793123107214282
ACH-000159,-0.2723190697609764
ACH-000160,-0.5331358175188005
ACH-000163,-0.34740222740979304
ACH-000167,-0.7447003331631331
ACH-000168,0.020784787035931732
ACH-000169,-0.26255977676413833
ACH-000178,-0.2501473125426636
ACH-000183,-0.6096953782547311
ACH-000188,-0.3495992980195263
ACH-000189,-0.2403967028455304
ACH-000190,-0.2297693925354376
ACH-000198,-0.22347674837596124
ACH-000203,-0.24301284361000094
ACH-000204,-0.25757247285507395
ACH-000206,-0.22444981295309746
ACH-000207,-0.3767296524714258
ACH-000208,-0.3224276433472727
ACH-000210,-0.17121976267758196
ACH-000211,-0.4278502010963224
ACH-000215,-0.3174561367924733
ACH-000221,0.0976841148515954
ACH-000222,-0.41543158522546814
ACH-000223,-0.4146316143466066
ACH-000226,-0.27461542855721843
ACH-000227,-0.2938831197424475
ACH-000228,-0.08341559860094584
ACH-000231,-0.12628634704544
ACH-000232,0.2432292866896564
ACH-000233,-0.4066798365234377
ACH-000234,-0.29308114531060864
ACH-000235,-0.08846740540689806
ACH-000237,-0.2559364472705878
ACH-000238,-0.3338477718273029
ACH-000242,-0.3111501717225744
ACH-000243,-0.3112952406537116
ACH-000244,0.7915700263004759
ACH-000246,-0.1568170562017499
ACH-000248,0.052581808241912616
ACH-000250,-0.03133615767221958
ACH-000251,-0.3811559329446552
ACH-000252,-0.0041212302536473185
ACH-000253,-0.5796732885366522
ACH-000255,-0.3143907643323449
ACH-000256,-0.489471425334266
ACH-000257,-0.7215370537914371
ACH-000258,-0.2896559297264559
ACH-000259,0.13640804570879878
ACH-000260,0.028136022091287547
ACH-000261,-0.3062932086182027
ACH-000262,0.7171909411760319
ACH-000263,-0.27032669183137004
ACH-000264,-0.04871398600983936
ACH-000265,0.22632629822285386
ACH-000266,0.13803931628269395
ACH-000272,-0.06676890971780253
ACH-000274,-0.2392514378957974
ACH-000277,-0.29469150498689983
ACH-000278,-0.3572347755311027
ACH-000279,-0.5107865308556873
ACH-000280,0.7686843425797987
ACH-000281,-0.08132572195357403
ACH-000288,0.10283237780970206
ACH-000291,-0.6006517298708863
ACH-000293,-0.3353322180288623
ACH-000294,-0.5881506711295963
ACH-000295,-0.8555491401710674
ACH-000296,-0.01999451745478391
ACH-000302,0.023849372146682042
ACH-000304,-0.009517679282167582
ACH-000307,-0.406734475599626
ACH-000308,-0.5340520391821836
ACH-000310,-0.32971517601776457
ACH-000311,-0.1888447448336828
ACH-000312,-0.3904033334919096
ACH-000315,-0.16038279511866455
ACH-000316,-0.15333518373181418
ACH-000317,-0.9164707143374836
ACH-000318,-0.2353647136396162
ACH-000319,-0.2327522062674444
ACH-000320,-0.3018972612731459
ACH-000322,-0.18069172840944847
ACH-000323,-0.3434879863966996
ACH-000324,0.052897636277408136
ACH-000329,-0.2243155550537141
ACH-000330,-0.3240502731353426
ACH-000331,-0.6739855661184996
ACH-000332,-0.4333858904487337
ACH-000334,-0.13587121079844844
ACH-000335,-0.1977446998368204
ACH-000336,-0.3118395717551508
ACH-000337,-0.3004218559581385
ACH-000338,-0.2157370256226849
ACH-000339,-0.07666324075340301
ACH-000341,-0.24464126296276398
ACH-000348,-0.14764157605186562
ACH-000350,-0.03524960037426516
ACH-000352,-0.22687163201712965
ACH-000356,-0.5258607991342243
ACH-000361,0.33247664868812443
ACH-000362,-0.4424870381776084
ACH-000363,-0.7746814728235539
ACH-000364,0.04893902370759594
ACH-000365,-0.048938510841382205
ACH-000366,-0.2787056413654728
ACH-000368,0.12105438214308015
ACH-000374,-0.4720065899346825
ACH-000375,-0.11226843422349224
ACH-000376,-0.2487337702179288
ACH-000381,-0.2854078608617773
ACH-000383,0.07487453286782628
ACH-000387,-0.4920794405947805
ACH-000389,-0.022285483286535467
ACH-000390,-0.3416709732635904
ACH-000393,-0.4087274259812465
ACH-000395,-0.4153656295504541
ACH-000396,0.06519148063931049
ACH-000397,0.10937606971990707
ACH-000401,-0.1353524224203729
ACH-000402,-0.1296019460061452
ACH-000403,-0.4664508504657871
ACH-000404,-0.09426672433118237
ACH-000406,-0.2543248182629986
ACH-000407,-0.006759388851310191
ACH-000408,-0.17724396361967226
ACH-000410,-0.589264017074658
ACH-000411,-0.1721183044825793
ACH-000414,-0.3607006702716621
ACH-000415,-0.1413687725169646
ACH-000416,-0.006032556780335903
ACH-000420,-0.187299774703083
ACH-000421,-0.7408031791703207
ACH-000424,-0.4646901961942951
ACH-000425,-0.29532312078977985
ACH-000426,-0.7819945857150897
ACH-000427,-0.17949606829625686
ACH-000433,-0.07079323485607074
ACH-000435,-0.20116835174198272
ACH-000436,-0.5843534905511616
ACH-000444,-0.11755491086862865
ACH-000445,-0.01966505880216797
ACH-000448,-0.13480654299979447
ACH-000450,-0.15301715974601046
ACH-000452,-0.5642412383564827
ACH-000454,-0.2400134025241886
ACH-000458,-0.17164820353978924
ACH-000459,-0.06325352251793707
ACH-000460,0.10382664225335232
ACH-000461,-0.6376181831273533
ACH-000463,-0.19774558817845514
ACH-000464,0.2866853415501231
ACH-000466,-0.37680820076515054
ACH-000467,-0.2590066921063633
ACH-000468,-0.0638530328381058
ACH-000469,0.24736327627093194
ACH-000470,-0.31153256427526577
ACH-000471,-0.8337727328851984
ACH-000472,-0.24721775719052305
ACH-000473,-0.12068307916689575
ACH-000475,0.01999422806005487
ACH-000476,0.11174651692457137
ACH-000477,-0.3881864679510365
ACH-000479,0.3249941669118101
ACH-000480,-0.07078718430107175
ACH-000481,-0.20942072470726644
ACH-000483,-0.5439873022543344
ACH-000484,-0.23914238218010775
ACH-000485,-0.6589209493262159
ACH-000486,0.035165110992864984
ACH-000487,-0.5329649280418476
ACH-000488,-0.4874990905593085
ACH-000490,0.10627066045826104
ACH-000491,-0.5472926382296024
ACH-000495,-0.3467341269039538
ACH-000496,-0.3830009586602863
ACH-000499,-0.20892145102693874
ACH-000500,-0.2579245194870282
ACH-000502,-0.42146133502436295
ACH-000503,0.07907561442148757
ACH-000505,-0.3216055055509189
ACH-000507,-0.11552944139102272
ACH-000510,-0.052482511348200936
ACH-000511,-0.29137153185165193
ACH-000512,-0.7782045471563539
ACH-000516,-0.7581871589574725
ACH-000517,-0.6506636986082218
ACH-000518,-0.2620372020569119
ACH-000520,-0.04405855050348386
ACH-000521,0.030038818105895482
ACH-000522,-0.08546402926098318
ACH-000524,-0.021776774076504274
ACH-000527,-0.4067111651687004
ACH-000528,-0.0591722270185303
ACH-000537,-0.392248408401286
ACH-000541,-0.4664337446252851
ACH-000542,-0.2100705627294747
ACH-000544,-0.2011535114923251
ACH-000545,-0.45360858982075697
ACH-000547,0.11144003475082936
ACH-000548,0.05258716674951463
ACH-000549,0.012273482921586778
ACH-000550,-0.07269712271052492
ACH-000552,-0.4844251993059362
ACH-000556,0.013016778479005444
