,DCP1B (196513)
ACH-000004,0.07987877058347884
ACH-000005,0.01079312420617027
ACH-000007,0.2641041661912725
ACH-000009,-0.023325310416816455
ACH-000011,0.13381806454897144
ACH-000012,0.16152658216334728
ACH-000013,0.12899017357037645
ACH-000014,0.1811109057800085
ACH-000015,0.09407535622939002
ACH-000017,0.1360781817474104
ACH-000018,-0.07513812896743848
ACH-000019,0.034438355944642916
ACH-000021,0.15175170918074846
ACH-000022,0.14061638071446125
ACH-000025,0.11780669946248618
ACH-000028,0.1496011233149773
ACH-000030,0.106911362118253
ACH-000035,0.12427070006150125
ACH-000036,0.08440180869903108
ACH-000037,0.21654371052480276
ACH-000039,-0.031072722566064782
ACH-000040,0.03448614459207547
ACH-000041,0.0683558975996916
ACH-000042,0.1090273175163598
ACH-000045,0.017631417606371554
ACH-000047,0.1375066640749263
ACH-000052,0.08873109907029061
ACH-000053,0.0667587050832195
ACH-000054,0.009811701722558266
ACH-000055,0.2011121136201531
ACH-000060,0.19928815067599245
ACH-000067,0.0609367149449807
ACH-000070,-0.1504409384377151
ACH-000075,0.09975678619856204
ACH-000078,-0.035490338807685526
ACH-000082,0.20536697143941465
ACH-000085,0.23033577635349506
ACH-000086,0.1847592424099683
ACH-000087,0.23137984501586195
ACH-000092,0.18361005279290826
ACH-000095,0.12490074891572507
ACH-000097,0.12065561675405838
ACH-000098,0.1364626089924479
ACH-000099,-0.013646418902958792
ACH-000108,0.12124242743538848
ACH-000113,-0.1190814526246596
ACH-000116,0.1804005345075778
ACH-000118,0.1638093265381046
ACH-000120,-0.07907609000877525
ACH-000123,0.030656153111103375
ACH-000127,0.13907738035100164
ACH-000128,0.23746158218537586
ACH-000132,0.1714465472126567
ACH-000133,0.052006533553327856
ACH-000137,0.05306416745108024
ACH-000138,0.12924720177215412
ACH-000142,0.100377836232749
ACH-000143,0.09696145244686123
ACH-000146,0.02040965377061368
ACH-000148,0.10735241277444246
ACH-000150,0.2781198630602699
ACH-000152,0.1800680915861454
ACH-000153,0.0921665594508281
ACH-000159,0.2214568146769306
ACH-000160,0.06257548947166726
ACH-000163,-0.02394292332109597
ACH-000167,0.030924605436230188
ACH-000168,0.2334273006350387
ACH-000169,0.09775114876180682
ACH-000178,0.06141633569595058
ACH-000183,0.0069848386185613
ACH-000188,0.02110859054688459
ACH-000189,0.2567355826190141
ACH-000190,-0.13288743060831162
ACH-000198,0.14101287860320155
ACH-000203,0.08011256209815494
ACH-000204,0.11540321290177916
ACH-000206,0.1067104840177796
ACH-000207,-0.007148025509968822
ACH-000208,0.11254456254848888
ACH-000210,0.207792151905854
ACH-000211,0.05735096250385568
ACH-000215,0.12101504923926915
ACH-000221,0.082245513587953
ACH-000222,0.12472523883262457
ACH-000223,-0.061417442320164786
ACH-000226,0.025173843700036617
ACH-000227,0.04416752987724743
ACH-000228,-0.032829550552248316
ACH-000231,0.12522225237690793
ACH-000232,0.07387406567628924
ACH-000233,0.04984849733037778
ACH-000234,0.17326127070165506
ACH-000235,0.14854010711819185
ACH-000237,0.03676972992081934
ACH-000238,0.1550615284878846
ACH-000242,0.5561547134806383
ACH-000243,0.11891297184902445
ACH-000244,-0.04454409966858275
ACH-000246,0.015953763646874352
ACH-000248,-0.02853414262600319
ACH-000250,0.1736985661212414
ACH-000251,0.27638197437107803
ACH-000252,-0.03535565260089279
ACH-000253,0.08598805168507896
ACH-000255,0.20555267660723267
ACH-000256,0.041554706801838266
ACH-000257,0.17959744968467425
ACH-000258,0.10190907345299144
ACH-000259,0.09201860872949816
ACH-000260,0.12671483369929934
ACH-000261,0.0602215649704157
ACH-000262,0.2330494026820573
ACH-000263,0.09622493771802904
ACH-000264,0.07035814926649292
ACH-000265,0.16091650271723548
ACH-000266,0.16309167801840402
ACH-000272,0.06007748761023265
ACH-000274,0.08966251485379713
ACH-000277,0.05095675536543681
ACH-000278,0.08046329623295115
ACH-000279,0.08444208253160403
ACH-000280,0.13351048925350564
ACH-000281,0.004957063324725943
ACH-000288,-0.03466623804965322
ACH-000291,0.02073801371838808
ACH-000293,0.2398694361989231
ACH-000294,0.08422429182621137
ACH-000295,-0.0781759000968043
ACH-000296,0.06329552280467808
ACH-000302,0.0962435735602537
ACH-000304,0.04409706185480839
ACH-000307,-0.010510081274346456
ACH-000308,0.07400894655347952
ACH-000310,0.07837427835617962
ACH-000311,0.212003067684668
ACH-000312,0.027820361499062248
ACH-000315,0.30359434939407104
ACH-000316,0.196600592277956
ACH-000317,0.2537370564418031
ACH-000318,0.18696667894277832
ACH-000319,0.04672011209857687
ACH-000320,0.18486686946649225
ACH-000322,-0.040579847346541895
ACH-000323,0.15655806765295385
ACH-000324,0.01455626449297934
ACH-000329,0.08395401040435133
ACH-000330,0.1055997887261721
ACH-000331,0.1437130984051302
ACH-000332,0.11787196254531412
ACH-000334,0.04254100784461255
ACH-000335,0.3141964203416539
ACH-000336,-0.005311846771741439
ACH-000337,0.22176909036116688
ACH-000338,-0.3723924892400395
ACH-000339,0.15228552372118806
ACH-000341,-0.02346958452115528
ACH-000348,0.0614774707885213
ACH-000350,0.010000377807511876
ACH-000352,0.048911343476640765
ACH-000356,0.04977953028218201
ACH-000361,0.11899633840368545
ACH-000362,0.10336148044700796
ACH-000363,0.09240959763107363
ACH-000364,0.1409994727459256
ACH-000365,0.09633931279464207
ACH-000366,0.07913689311427753
ACH-000368,0.002614409751616433
ACH-000374,0.1644488435572141
ACH-000375,0.055995141805462834
ACH-000376,0.1012318785809939
ACH-000381,0.08716328980976079
ACH-000383,0.07916092271589026
ACH-000387,0.03716049188843112
ACH-000389,0.058907967003667565
ACH-000390,0.07137229910519965
ACH-000393,0.05614141902226021
ACH-000395,0.0996631755073955
ACH-000396,0.09147284316132102
ACH-000397,0.19244564558962804
ACH-000401,0.052009188773571566
ACH-000402,-0.0008065959403336976
ACH-000403,0.07838433342707027
ACH-000404,-0.020576640426453924
ACH-000406,0.07848846464297801
ACH-000407,0.10867463129414033
ACH-000408,0.009281228157777323
ACH-000410,0.10300156325789966
ACH-000411,0.0793219662940018
ACH-000414,0.09687828126940716
ACH-000415,0.24190628724808416
ACH-000416,0.02517650952431156
ACH-000420,0.10916191976617508
ACH-000421,0.04597510205508327
ACH-000424,0.11325749260435243
ACH-000425,0.1387073196435466
ACH-000426,0.10172541278985194
ACH-000427,0.08329783207481661
ACH-000433,0.13578155443952994
ACH-000435,-0.032705174666354093
ACH-000436,0.1589922791489602
ACH-000444,0.06838448243951327
ACH-000445,0.053757678117635294
ACH-000448,0.1342432902583587
ACH-000450,0.18831733259083455
ACH-000452,0.0032087828691766303
ACH-000454,-0.005327057551505986
ACH-000458,0.2649958347881997
ACH-000459,0.10305197794087738
ACH-000460,0.15537265473929646
ACH-000461,0.1795587652739443
ACH-000463,0.031229700924489314
ACH-000464,-0.02204827592334211
ACH-000466,0.09393597041469906
ACH-000467,0.038552061643528764
ACH-000468,0.10267135559187343
ACH-000469,0.1065640615455491
ACH-000470,0.11381965999733396
ACH-000471,0.06659599207374109
ACH-000472,0.12153287223335048
ACH-000473,0.16616022090053414
ACH-000475,0.10409040791015227
ACH-000476,0.06728404862338498
