,GCNT3 (9245)
ACH-000262,-0.2740970958425902
ACH-000263,0.12524197428469144
ACH-000264,-0.10029197181882482
ACH-000265,-0.22037236736194168
ACH-000266,-0.039982327445107664
ACH-000272,-0.14707161131333404
ACH-000274,-0.23570507323704445
ACH-000277,-0.026218383183443498
ACH-000278,-0.0018352996273829406
ACH-000279,-0.12027758520171253
ACH-000280,-0.16317078139118465
ACH-000281,-0.040335054492719145
ACH-000288,-0.10816814704204257
ACH-000291,-0.2351814800706213
ACH-000293,-0.23772778769515285
ACH-000294,-0.014777687172403116
ACH-000295,-0.1820311153717839
ACH-000296,-0.4177631289116845
ACH-000302,-0.13238149548408382
ACH-000304,0.08841887017330786
ACH-000307,0.05714034533272001
ACH-000308,-0.037673534809354425
ACH-000310,0.10428245497878087
ACH-000311,-0.10872546652526066
ACH-000312,-0.05805071197864116
ACH-000315,0.16171265356913628
ACH-000316,-0.11722822193989547
ACH-000317,-0.03547250808708335
ACH-000318,-0.2593696741352484
ACH-000319,-0.14178067878527062
ACH-000320,-0.0846520173997698
ACH-000322,0.08725698716985539
ACH-000323,0.09059917453988088
ACH-000324,-0.07039040842565651
ACH-000329,-0.1607926302250949
ACH-000330,0.14152410234152465
ACH-000331,-0.12292179946654735
ACH-000332,-0.11587806603933605
ACH-000334,0.030953461665239542
ACH-000335,-0.2573582206675077
ACH-000336,-0.22237054018718105
ACH-000337,-0.14951559904011902
ACH-000338,-0.2633279814729769
ACH-000339,0.0022362044496074037
ACH-000341,0.22116172223908684
ACH-000348,-0.10380401626233264
ACH-000350,-0.014012068602872229
ACH-000352,-0.19067081068124492
ACH-000356,0.05095473933979322
ACH-000361,-0.1888884304059199
ACH-000362,0.07363447601694696
ACH-000363,-0.17248680213123913
ACH-000364,-0.25190804825806723
ACH-000365,-0.02486225579909916
ACH-000366,-0.06691057358038083
ACH-000368,-0.12161023768050801
ACH-000374,-0.09589668152153147
ACH-000375,-0.14858455029014564
ACH-000376,-0.08985140748990704
ACH-000381,-0.02859548200994545
ACH-000383,-0.09625135826502013
ACH-000387,-0.10925377692083127
ACH-000389,0.11045289239329928
ACH-000390,-0.13495036921267328
ACH-000393,-0.07821304742523781
ACH-000395,-0.18336948500049094
ACH-000396,-0.06258458273814686
ACH-000397,-0.16574758919577828
ACH-000401,-0.016010958678296886
ACH-000402,-0.2322555129592148
ACH-000403,-0.1349082871864809
ACH-000404,-0.13938844577184767
ACH-000406,-0.059186074234949336
ACH-000407,-0.05677252343527767
ACH-000408,-0.16403715624179827
ACH-000410,-0.18174051603383787
ACH-000411,-0.02694005604313202
ACH-000414,-0.01226811039669712
ACH-000415,-0.1454163808562171
ACH-000416,-0.1855989762467038
ACH-000420,-0.1617987587494569
ACH-000421,-0.13440309160780872
ACH-000424,-0.18789401856814766
ACH-000425,-0.024455304316736853
ACH-000426,-0.15901856539027187
ACH-000427,-0.0737918522771812
ACH-000433,-0.16285292958314634
ACH-000435,-0.19783378056745707
ACH-000436,-0.2144906559116745
ACH-000444,-0.028817821153505577
ACH-000445,-0.1285445369260593
ACH-000448,-0.29851479615350834
ACH-000450,-0.13320451113742807
ACH-000452,-0.15678621097339682
ACH-000454,-0.13762861043757246
ACH-000458,0.0037560464032797506
ACH-000459,0.030228736313793587
ACH-000460,-0.21123011045186305
ACH-000461,-0.14228500733982147
ACH-000463,0.016065424588397013
ACH-000464,-0.06961909019462156
ACH-000466,-0.11501737999657086
ACH-000467,-0.054883717975532965
ACH-000468,-0.0689183356521993
ACH-000469,0.05960474991480168
ACH-000470,-0.2978633436345239
ACH-000471,0.005055075203124414
ACH-000472,-0.09045716903634918
ACH-000473,0.05844844314473595
ACH-000475,0.01822365130136671
ACH-000476,-0.04233063517404968
ACH-000477,-0.18114995943041207
ACH-000479,-0.08671802161519371
ACH-000480,-0.1427947912417251
ACH-000481,-0.09176048513181716
ACH-000483,-0.14526348804047462
ACH-000484,0.13794612540628398
ACH-000485,-0.01813663139572413
ACH-000486,-0.10231539087830982
ACH-000487,0.0064126160714988775
ACH-000488,-0.19528645115237805
ACH-000490,-0.14224344894525365
ACH-000491,-0.2283525342687925
ACH-000495,-0.24060804535359626
ACH-000496,-0.17521917775374946
ACH-000499,-0.026886593099485885
ACH-000500,-0.011507499287978356
ACH-000502,-0.13076312108310914
ACH-000503,0.039399544976871294
ACH-000505,-0.11358562965736928
ACH-000507,-0.13392587430056266
ACH-000510,-0.12590429892308766
ACH-000511,-0.10479357775311034
ACH-000512,-0.003466682902362373
ACH-000516,-0.0005837190356909613
ACH-000517,-0.0931829031215914
ACH-000518,0.1174233106114102
ACH-000520,-0.17021819899895135
ACH-000521,-0.0068810589731045655
ACH-000522,-0.2556353422099113
ACH-000524,-0.1206426232253364
ACH-000527,-0.13013281215510716
ACH-000528,-0.19702289838431705
ACH-000537,-0.20800329290777686
ACH-000541,-0.13856363830860785
ACH-000542,-0.11262052069511436
ACH-000544,-0.2207957465300111
ACH-000545,-0.0612637006430886
ACH-000547,-0.17176079263282254
ACH-000548,-0.13496073999593275
ACH-000549,0.01961724379605209
ACH-000550,-0.011247033944934091
ACH-000552,-0.0270909838322123
ACH-000556,-0.11886037269016975
ACH-000557,-0.13683511599346454
ACH-000569,-0.2962230819901284
ACH-000570,-0.14443243668063455
ACH-000571,-0.0925805471240757
ACH-000573,-0.04642406343216455
ACH-000576,-0.07460988186648627
ACH-000579,-0.2337063175698924
ACH-000580,0.035442354755223164
ACH-000584,-0.1095536057419077
ACH-000585,-0.2910373931840272
ACH-000588,-0.1285047979079913
ACH-000589,-0.16945557833598526
ACH-000591,-0.036731712566245266
ACH-000593,-0.08823900721441585
ACH-000600,-0.2046637500530364
ACH-000601,-0.06666633233110625
ACH-000605,-0.10271708586143163
ACH-000606,-0.10471055683595293
ACH-000608,-0.1220826230333916
ACH-000614,-0.10358418999036227
ACH-000616,-0.049159407983120205
ACH-000618,-0.08332163895391118
ACH-000619,-0.0370418770574875
ACH-000620,-0.1338868981471007
ACH-000621,-0.0343668937926789
ACH-000622,-0.04765241748992676
ACH-000623,-0.16933762107541725
ACH-000624,-0.07326453786005102
ACH-000627,0.025472620385199905
ACH-000630,-0.146981731570965
ACH-000631,-0.04710969884835671
ACH-000632,-0.1693840406308568
ACH-000633,-0.15877448187320226
ACH-000637,0.1701895835351412
ACH-000638,-0.06336362024347847
ACH-000646,-0.06606007550452031
ACH-000647,-0.11985122418064127
ACH-000648,-0.0894460445722929
ACH-000649,-0.04022396703394968
ACH-000651,-0.08056656919914737
ACH-000652,0.05354681296773363
ACH-000653,-0.2008737071880332
ACH-000657,-0.1295313202477516
ACH-000658,-0.05066538544332306
ACH-000661,-0.029275347079138144
ACH-000662,-0.00021711022126413615
ACH-000663,-0.048902214468863635
ACH-000665,-0.16638926315723468
ACH-000671,-0.11344489269636973
ACH-000672,-0.30784132719174606
ACH-000673,-0.08185006540079644
ACH-000676,-0.04057551561490832
ACH-000677,-0.10555993909101148
ACH-000681,-0.06421957343239522
ACH-000683,-0.15611522621410828
ACH-000684,-0.03754449267563654
ACH-000688,-0.04970848843497466
ACH-000693,-0.12154489719527133
ACH-000694,-0.11945401336039416
ACH-000695,0.1985333954727
ACH-000696,-0.18425531608696405
ACH-000697,0.10204570097458784
ACH-000699,-0.06835584675743665
ACH-000701,-0.16210279215684284
ACH-000706,-0.07664134126545354
ACH-000711,-0.14465765042398093
ACH-000713,-0.008267608802701273
ACH-000714,-0.009743096083705664
ACH-000718,-0.06241494707656223
ACH-000720,-0.02569454753332118
ACH-000721,-0.212245285037626
ACH-000724,0.02555592227565324
ACH-000725,-0.3716522437782737
ACH-000732,-0.1725603225084173
ACH-000734,-0.05919881089598416
ACH-000735,-0.07423619306647636
ACH-000736,-0.25117685207035706
ACH-000738,-0.1293093927797773
ACH-000746,0.11151799663430864
ACH-000747,-0.21908340650961824
ACH-000748,-0.2080054144280217
ACH-000753,-0.14310134237390618
ACH-000756,-0.2617418012189051
ACH-000757,-0.2884170384456977
ACH-000758,-0.014055875189153707
ACH-000760,0.03113315903093746
ACH-000762,-0.18311385871152253
ACH-000763,-0.13770374952549302
ACH-000764,-0.02937317897167135
ACH-000765,-0.09832912161377948
ACH-000766,0.03636502846974625
ACH-000767,-0.0021329902478122533
ACH-000768,-0.006079821053765775
ACH-000769,-0.021627727337837025
ACH-000770,-0.041498024215152335
ACH-000771,-0.13401370654596687
ACH-000773,-0.20067257377037867
ACH-000776,-0.08459725148451057
ACH-000777,-0.1749306844468515
ACH-000778,-0.22378017366147115
ACH-000781,-0.16502714342796113
ACH-000782,-0.09447893194213393
ACH-000783,-0.11434678125078082
ACH-000784,-0.1597327571776899
ACH-000785,-0.22229099278050152
ACH-000787,-0.08982929440161906
ACH-000788,-0.08668987615456918
ACH-000791,-0.2838653956353989
ACH-000792,-0.047300831363070416
ACH-000794,-0.15692315257867784
ACH-000796,-0.17134327164496646
ACH-000798,-0.273801816352242
ACH-000799,-0.09266378960059646
ACH-000800,-0.05233661925835604
ACH-000802,-0.059812223527449575
ACH-000804,-0.03875681725213105
ACH-000805,-0.1517141690928376
ACH-000809,-0.07855187207125235
ACH-000810,-0.003702490065190483
ACH-000811,-0.10887227636334118
ACH-000817,-0.009232546083195963
ACH-000819,0.027929883835252144
ACH-000820,-0.1210048348397054
ACH-000821,0.0092228440224897
ACH-000822,-0.03556274858487204
ACH-000823,-0.08190831468622302
ACH-000824,-0.047544327842429165
ACH-000827,0.04050613517048066
ACH-000829,-0.21099992956553126
ACH-000831,-0.0957573976781808
ACH-000832,-0.1167356653722109
ACH-000833,-0.26737421644929754
ACH-000834,0.04737236290001404
ACH-000835,0.030792277696063783
ACH-000836,-0.1776332018117558
ACH-000837,0.03440164450082818
ACH-000838,-0.031483213856520406
ACH-000839,-0.18546655490939445
ACH-000840,0.21794219977782447
ACH-000841,-0.1448296443506689
ACH-000843,-0.046120913212849515
ACH-000846,-0.12487378565536275
ACH-000847,-0.06479173454706055
ACH-000848,0.029805787353685862
ACH-000849,-0.10400642819904812
ACH-000851,-0.0889144276874759
ACH-000855,-0.002234740387128862
ACH-000856,-0.18792605929832565
ACH-000858,-0.11328375576780135
ACH-000859,0.05589939015091176
ACH-000861,-0.11646166169113392
ACH-000862,-0.16058962345881705
ACH-000865,-0.11876609952180407
ACH-000866,-0.10832389504241942
ACH-000867,-0.09407694169217773
ACH-000869,-0.0632839739166448
ACH-000872,-0.10053660602245264
ACH-000873,-0.16735226170911635
ACH-000876,-0.0932595495978856
ACH-000878,-0.1542501570852586
ACH-000880,0.1160312313521097
ACH-000881,-0.09180246286064324
ACH-000882,-0.07931854380454786
ACH-000884,-0.2493923485195868
ACH-000885,-0.08082465275820662
ACH-000887,-0.0835229988296722
ACH-000889,-0.051569328784626216
ACH-000896,-0.17504209722496158
ACH-000898,-0.12976985421828596
ACH-000900,0.04361851497616792
ACH-000901,-0.09349230032641746
ACH-000905,-0.031078200867166964
ACH-000906,-0.07175733837844316
ACH-000907,-0.0895363439453367
ACH-000910,-0.17366890296598705
ACH-000911,-0.18264014519388636
ACH-000912,-0.2326280191430059
ACH-000913,-0.05518292569244383
ACH-000915,-0.07429052353991203
ACH-000916,-0.09594710837650987
ACH-000917,0.15010069324041955
ACH-000920,-0.08737435351247677
ACH-000921,-0.053462995216809285
ACH-000924,-0.05672448638751901
ACH-000926,-0.1389162383631593
ACH-000928,-0.41846508168171787
ACH-000929,-0.08551740366200196
ACH-000932,-0.09601763605361158
ACH-000935,0.051532524835725305
ACH-000936,-0.024451338212998608
ACH-000937,-0.07417911038599585
ACH-000938,-0.107911636677911
ACH-000939,-0.283899184432835
ACH-000941,0.010726611800222965
ACH-000943,-0.034254471353026894
ACH-000946,-0.06380560824649721
ACH-000947,-0.0923237435075283
ACH-000948,-0.05050257802281046
ACH-000950,0.036247804922660255
ACH-000953,-0.09063764143584836
ACH-000954,-0.03832028416865209
ACH-000957,-0.19127505828384014
ACH-000958,-0.22749469444902334
ACH-000960,-0.10628202505415896
ACH-000963,-0.19036970900101768
ACH-000968,-0.11141792839285944
ACH-000969,-0.003938030724945112
ACH-000972,-0.2846178151150842
ACH-000973,-0.1478137458675939
ACH-000974,-0.10412422430061566
ACH-000978,-0.26791083920425385
ACH-000984,-0.11300279708949335
ACH-000986,-0.12003660627365167
ACH-000988,-0.0906001838022717
ACH-000993,-0.17455515321755136
ACH-000994,-0.09359474258435266
ACH-000996,0.034188985653830925
ACH-001001,-0.166081824857236
ACH-001020,-0.15423090544669008
ACH-001028,-0.15412902490363836
ACH-001031,-0.031489377604111364
ACH-001038,0.00583699949570648
ACH-001048,-0.02805162959176393
ACH-001050,-0.06694943282550406
ACH-001053,-0.18479796611229696
ACH-001054,0.0052008582941480575
ACH-001061,-0.06676138480195004
ACH-001067,0.19096657951296744
ACH-001075,-0.12291569457774375
ACH-001096,-0.07220968656365886
ACH-001111,0.03810779364786503
ACH-001119,-0.2516316755199736
ACH-001128,-0.03513390284226178
ACH-001134,-0.1935651581819435
ACH-001151,-0.10396437159708503
ACH-001163,-0.2094184515295428
ACH-001164,0.15596312893991227
ACH-001183,-0.00912743570413144
ACH-001192,-0.18605635625709413
ACH-001193,-0.09134206613288387
ACH-001196,0.15372292914989066
ACH-001197,0.01445446321835624
ACH-001205,0.07885952387530244
ACH-001211,-0.2308136215506525
ACH-001212,0.2158665050231948
ACH-001228,-0.033764830185210856
ACH-001232,-0.0757042477931048
ACH-001239,-0.08060460500188893
ACH-001270,-0.2673668504566579
ACH-001274,-0.003169097082609356
ACH-001275,-0.333711494925552
ACH-001277,-0.18182250569341746
ACH-001278,-0.20868864422205732
ACH-001280,-0.08842968011570959
ACH-001283,0.019898165446248832
ACH-001289,0.12281175324554801
ACH-001300,0.06182396025850837
ACH-001301,0.13407322265189814
ACH-001302,0.12600445138534253
ACH-001306,-0.2489468623996145
ACH-001318,-0.009192121689208752
ACH-001322,-0.18119205124936053
ACH-001328,-0.11734082926958897
ACH-001332,-0.06661624156246385
ACH-001336,-0.1485766844380686
ACH-001346,-0.061303297404343475
ACH-001353,-0.08247788914244564
ACH-001354,-0.01931743287221282
ACH-001367,-0.13268676111458896
ACH-001368,-0.09275025171669216
ACH-001374,-0.4472687537659091
ACH-001377,-0.08744361646096856
ACH-001380,-0.018809948198362358
ACH-001391,-0.24061660723241265
ACH-001408,-0.18849508142174695
ACH-001430,0.16194824765914248
ACH-001431,0.07932577856970742
ACH-001450,-0.2906820653457738
ACH-001496,-0.12109934015882805
ACH-001500,-0.049901259206790664
ACH-001523,-0.03459796874862125
ACH-001532,-0.06933717190687776
ACH-001550,-0.13710712371767894
ACH-001552,0.08109361291312865
ACH-001554,-0.14732685385358735
ACH-001654,-0.07044480712085574
ACH-001735,-0.1255313237097874
ACH-001736,0.030654232131837357
ACH-001737,-0.34803897438581977
ACH-001740,-0.09682259821193398
ACH-001745,-0.08042106235345536
ACH-001765,-0.20370567188069455
