,PIGL (9487)
ACH-000004,-0.10367364667809176
ACH-000005,-0.2346460234172921
ACH-000007,-0.2907042551167677
ACH-000009,-0.3199751700582476
ACH-000011,-0.21001827310633286
ACH-000012,-0.21338255280007135
ACH-000013,-0.19520341387314805
ACH-000014,-0.11735508651411113
ACH-000015,-0.1723739495088268
ACH-000017,0.01991042665469451
ACH-000018,-0.21823219461155105
ACH-000019,-0.35958212598125017
ACH-000021,-0.2313278432241869
ACH-000022,-0.4206076049269972
ACH-000025,-0.08239182908279956
ACH-000028,-0.11466092489322592
ACH-000030,-0.12506796637867362
ACH-000035,-0.15265048388682964
ACH-000036,0.01578341978050374
ACH-000037,-0.2695739963515835
ACH-000039,-0.18833917342176848
ACH-000040,-0.11764836216094438
ACH-000041,-0.14930259911902838
ACH-000042,-0.2925607935381286
ACH-000045,-0.1790829686419496
ACH-000047,-0.21507867085166885
ACH-000052,-0.5232464540069167
ACH-000053,-0.1560501063825053
ACH-000054,-0.1923451990096673
ACH-000055,-0.02235405157981129
ACH-000060,-0.17826106119300905
ACH-000067,-0.2544727978147857
ACH-000070,-0.1031244365617989
ACH-000075,-0.06840895392592823
ACH-000078,-0.13887027937295834
ACH-000082,-0.3614161366035177
ACH-000085,-0.17504021410942858
ACH-000086,-0.059644175011712264
ACH-000087,-0.4422591261548859
ACH-000092,-0.1085922431486937
ACH-000095,-0.17775759345271294
ACH-000097,-0.07646985013023037
ACH-000098,-0.3915546145119903
ACH-000099,-0.14583495472326385
ACH-000108,-0.12916609839599416
ACH-000113,-0.08015641513145325
ACH-000116,-0.09266243063469667
ACH-000118,-0.28191161601567866
ACH-000120,-0.002702450664212733
ACH-000123,-0.2676161086184485
ACH-000127,-0.15366252727700144
ACH-000128,-0.0296608996667198
ACH-000132,-0.21705195885299267
ACH-000133,-0.16623515509058553
ACH-000137,-0.14695442652021032
ACH-000138,-0.26970299319761964
ACH-000142,-0.1939583923468204
ACH-000143,-0.31485029632064204
ACH-000146,-0.10902169798104948
ACH-000148,-0.10379543367383312
ACH-000150,-0.06844636225681804
ACH-000152,-0.19819959347849986
ACH-000153,-0.5461212129619266
ACH-000159,-0.07526510220293786
ACH-000160,-0.08704923506261593
ACH-000163,-0.1501479831398522
ACH-000167,-0.7590822425163217
ACH-000168,-0.07723980556095994
ACH-000169,-0.17449755300040845
ACH-000178,-0.14428091804405085
ACH-000183,-0.16958523102971554
ACH-000188,-0.18611634912651648
ACH-000189,-0.2465603809884352
ACH-000190,-0.008704005987686945
ACH-000198,-0.04154146797057436
ACH-000203,-0.44381393419573417
ACH-000204,0.10539187523089112
ACH-000206,-0.39093358742611584
ACH-000207,-0.14740043167146322
ACH-000208,-0.3459240685833749
ACH-000210,-0.2532597376092031
ACH-000211,-0.19966916035491827
ACH-000215,-0.1910536742383939
ACH-000221,-0.2836790974306836
ACH-000222,-0.1754079469188296
ACH-000223,-0.17195927995624566
ACH-000226,-0.11515493499459027
